"Età","Sesso","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"0","Maschi","1","2","1","3","1","2","4","3","1","3","2","1","4","1","0","2","1","0"
"0","Femmine","1","0","0","1","1","1","4","1","0","3","0","0","2","0","1","1","1","1"
"0","Totale","2","2","1","4","2","3","8","4","1","6","2","1","6","1","1","3","2","1"
"1","Maschi","0","1","1","2","3","1","2","4","3","1","3","2","1","4","1","0","2","0"
"1","Femmine","2","1","0","1","1","1","1","4","0","0","2","0","0","2","0","1","1","1"
"1","Totale","2","2","1","3","4","2","3","8","3","1","5","2","1","6","1","1","3","1"
"2","Maschi","2","0","1","1","1","3","1","2","3","3","1","3","2","1","4","1","0","2"
"2","Femmine","1","1","1","0","1","1","1","1","4","0","0","2","0","0","2","0","1","1"
"2","Totale","3","1","2","1","2","4","2","3","7","3","1","5","2","1","6","1","1","3"
"3","Maschi","2","2","0","1","1","1","3","1","2","3","1","2","3","2","1","3","1","0"
"3","Femmine","2","2","1","1","0","1","1","1","1","4","0","0","2","0","0","1","0","1"
"3","Totale","4","4","1","2","1","2","4","2","3","7","1","2","5","2","1","4","1","1"
"4","Maschi","3","2","2","1","1","1","1","3","1","1","3","1","2","3","2","1","3","1"
"4","Femmine","0","2","2","1","1","0","1","1","1","1","4","0","0","2","0","0","2","0"
"4","Totale","3","4","4","2","2","1","2","4","2","2","7","1","2","5","2","1","5","1"
"5","Maschi","1","2","3","2","1","1","1","1","2","1","1","3","1","2","3","3","1","3"
"5","Femmine","0","0","2","1","1","1","0","1","1","1","1","4","0","0","1","0","0","2"
"5","Totale","1","2","5","3","2","2","1","2","3","2","2","7","1","2","4","3","1","5"
"6","Maschi","0","1","2","3","2","1","1","1","1","3","1","1","2","1","2","3","3","0"
"6","Femmine","1","0","0","2","1","1","1","1","1","1","0","1","4","0","0","1","0","0"
"6","Totale","1","1","2","5","3","2","2","2","2","4","1","2","6","1","2","4","3","0"
"7","Maschi","1","0","1","2","3","2","1","1","1","1","3","1","1","2","1","2","3","3"
"7","Femmine","3","1","0","0","2","2","1","1","0","1","1","0","1","4","0","0","1","0"
"7","Totale","4","1","1","2","5","4","2","2","1","2","4","1","2","6","1","2","4","3"
"8","Maschi","0","1","0","1","2","3","2","1","1","1","1","3","0","1","2","1","2","2"
"8","Femmine","0","3","1","0","0","2","2","1","1","0","1","1","0","1","4","0","0","1"
"8","Totale","0","4","1","1","2","5","4","2","2","1","2","4","0","2","6","1","2","3"
"9","Maschi","2","0","1","0","1","2","3","2","0","1","1","1","3","0","1","2","1","2"
"9","Femmine","2","0","3","1","0","0","2","2","1","1","0","1","0","0","1","4","0","0"
"9","Totale","4","0","4","1","1","2","5","4","1","2","1","2","3","0","2","6","1","2"
"10","Maschi","1","2","0","1","0","1","3","3","2","0","1","1","0","3","0","1","2","1"
"10","Femmine","2","1","0","3","1","0","0","2","2","1","1","0","1","0","0","1","4","0"
"10","Totale","3","3","0","4","1","1","3","5","4","1","2","1","1","3","0","2","6","1"
"11","Maschi","1","2","2","0","1","0","1","3","2","2","0","1","2","0","3","0","1","2"
"11","Femmine","1","2","1","0","3","1","0","0","2","2","1","1","0","1","0","0","1","2"
"11","Totale","2","4","3","0","4","1","1","3","4","4","1","2","2","1","3","0","2","4"
"12","Maschi","2","1","2","2","0","1","0","1","3","2","2","0","1","2","0","3","1","1"
"12","Femmine","2","1","2","1","0","3","1","0","0","2","2","1","1","0","1","0","0","1"
"12","Totale","4","2","4","3","0","4","1","1","3","4","4","1","2","2","1","3","1","2"
"13","Maschi","4","2","1","2","2","0","1","0","1","3","2","2","0","1","2","1","3","1"
"13","Femmine","2","2","1","2","1","0","3","1","0","0","1","2","1","1","0","1","0","0"
"13","Totale","6","4","2","4","3","0","4","1","1","3","3","4","1","2","2","2","3","1"
"14","Maschi","0","4","2","0","2","2","0","1","0","1","4","2","1","0","1","2","2","3"
"14","Femmine","1","2","1","0","2","1","0","3","1","0","0","2","2","1","1","0","1","0"
"14","Totale","1","6","3","0","4","3","0","4","1","1","4","4","3","1","2","2","3","3"
"15","Maschi","0","0","4","2","0","2","2","0","1","0","1","4","2","1","0","1","2","2"
"15","Femmine","1","1","2","1","0","2","1","0","3","1","0","0","2","2","1","1","0","1"
"15","Totale","1","1","6","3","0","4","3","0","4","1","1","4","4","3","1","2","2","3"
"16","Maschi","1","0","0","4","2","0","2","2","0","1","0","1","4","2","1","0","1","1"
"16","Femmine","1","2","1","2","1","0","2","1","0","3","1","0","1","2","2","0","2","0"
"16","Totale","2","2","1","6","3","0","4","3","0","4","1","1","5","4","3","0","3","1"
"17","Maschi","0","1","0","0","4","2","0","2","2","0","2","0","1","4","2","1","0","1"
"17","Femmine","2","1","2","1","2","1","1","2","1","0","2","1","0","1","2","2","0","2"
"17","Totale","2","2","2","1","6","3","1","4","3","0","4","1","1","5","4","3","0","3"
"18","Maschi","1","0","1","0","0","4","2","0","2","2","0","2","0","1","4","2","1","0"
"18","Femmine","2","2","1","2","1","2","1","1","2","1","0","2","1","0","0","1","2","0"
"18","Totale","3","2","2","2","1","6","3","1","4","3","0","4","1","1","4","3","3","0"
"19","Maschi","1","1","0","2","0","0","4","2","0","2","2","0","2","0","1","4","2","1"
"19","Femmine","1","1","2","0","2","1","2","1","1","2","1","0","2","1","0","0","2","2"
"19","Totale","2","2","2","2","2","1","6","3","1","4","3","0","4","1","1","4","4","3"
"20","Maschi","1","1","1","0","2","0","0","4","3","0","2","2","0","2","0","1","4","2"
"20","Femmine","3","1","1","2","0","1","1","2","1","1","2","1","0","2","1","0","0","2"
"20","Totale","4","2","2","2","2","1","1","6","4","1","4","3","0","4","1","1","4","4"
"21","Maschi","0","1","1","1","1","1","0","0","4","4","0","2","2","0","2","0","1","4"
"21","Femmine","1","3","1","1","2","0","2","1","2","1","1","2","1","0","2","1","0","0"
"21","Totale","1","4","2","2","3","1","2","1","6","5","1","4","3","0","4","1","1","4"
"22","Maschi","3","0","1","1","1","1","1","0","1","4","5","0","2","2","0","2","0","1"
"22","Femmine","4","1","2","2","1","2","0","2","2","1","1","1","2","1","0","2","1","0"
"22","Totale","7","1","3","3","2","3","1","2","3","5","6","1","4","3","0","4","1","1"
"23","Maschi","0","3","0","1","1","1","1","1","0","2","4","5","1","2","2","0","2","0"
"23","Femmine","0","4","1","2","2","0","2","0","2","1","1","1","1","2","1","0","2","0"
"23","Totale","0","7","1","3","3","1","3","1","2","3","5","6","2","4","3","0","4","0"
"24","Maschi","1","0","3","3","2","1","1","1","1","0","2","4","5","1","0","2","0","2"
"24","Femmine","3","0","5","1","2","2","0","2","0","2","1","1","1","1","3","1","0","3"
"24","Totale","4","0","8","4","4","3","1","3","1","2","3","5","6","2","3","3","0","5"
"25","Maschi","1","1","0","2","3","2","0","1","1","1","0","2","4","4","1","0","2","0"
"25","Femmine","0","3","1","4","3","2","2","0","2","2","4","1","1","1","1","3","1","0"
"25","Totale","1","4","1","6","6","4","2","1","3","3","4","3","5","5","2","3","3","0"
"26","Maschi","1","1","2","0","1","1","1","0","1","1","1","1","2","4","4","1","0","1"
"26","Femmine","4","0","3","1","4","4","2","2","0","2","2","4","1","1","1","1","3","2"
"26","Totale","5","1","5","1","5","5","3","2","1","3","3","5","3","5","5","2","3","3"
"27","Maschi","3","0","1","3","0","0","2","1","0","1","1","1","1","2","4","4","1","0"
"27","Femmine","3","3","0","5","1","4","3","2","2","1","2","2","5","1","0","1","1","3"
"27","Totale","6","3","1","8","1","4","5","3","2","2","3","3","6","3","4","5","2","3"
"28","Maschi","2","3","1","1","4","0","0","2","1","1","1","0","1","0","2","4","4","0"
"28","Femmine","1","4","3","0","5","1","4","4","2","2","1","1","2","5","1","1","1","1"
"28","Totale","3","7","4","1","9","1","4","6","3","3","2","1","3","5","3","5","5","1"
"29","Maschi","5","1","6","2","1","3","2","0","2","1","1","1","1","1","1","2","4","4"
"29","Femmine","2","2","4","3","0","5","1","4","2","3","2","2","1","2","6","1","1","0"
"29","Totale","7","3","10","5","1","8","3","4","4","4","3","3","2","3","7","3","5","4"
"30","Maschi","3","4","1","7","5","1","3","2","0","2","1","2","2","1","1","1","2","5"
"30","Femmine","2","2","2","6","3","1","5","2","4","2","3","2","3","1","2","5","1","1"
"30","Totale","5","6","3","13","8","2","8","4","4","4","4","4","5","2","3","6","3","6"
"31","Maschi","1","2","5","1","8","5","1","1","1","0","2","1","3","2","1","1","1","1"
"31","Femmine","3","2","2","1","7","1","1","4","2","5","1","3","2","3","1","1","5","1"
"31","Totale","4","4","7","2","15","6","2","5","3","5","3","4","5","5","2","2","6","2"
"32","Maschi","2","1","2","3","2","9","5","1","1","1","0","2","1","3","2","1","1","1"
"32","Femmine","4","3","3","3","1","9","2","1","5","1","5","1","4","2","3","1","1","3"
"32","Totale","6","4","5","6","3","18","7","2","6","2","5","3","5","5","5","2","2","4"
"33","Maschi","3","2","1","2","2","1","9","4","1","1","1","0","2","1","2","2","1","1"
