"Età","Sesso","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"0","Maschi","39","30","45","36","45","38","38","44","42","28","43","28","29","42","34","29","19","32"
"0","Femmine","25","28","31","36","34","36","44","37","39","32","33","32","30","34","31","22","20","26"
"0","Totale","64","58","76","72","79","74","82","81","81","60","76","60","59","76","65","51","39","58"
"1","Maschi","31","38","33","43","37","44","37","35","47","45","30","43","29","29","42","33","27","19"
"1","Femmine","19","27","29","36","34","38","33","45","40","39","32","34","35","29","39","30","19","24"
"1","Totale","50","65","62","79","71","82","70","80","87","84","62","77","64","58","81","63","46","43"
"2","Maschi","29","31","39","33","39","37","41","34","36","48","47","31","38","29","31","41","31","25"
"2","Femmine","35","22","27","29","34","33","42","34","43","40","36","32","33","33","27","36","32","19"
"2","Totale","64","53","66","62","73","70","83","68","79","88","83","63","71","62","58","77","63","44"
"3","Maschi","27","32","33","41","35","41","35","45","37","36","48","46","30","37","29","31","40","33"
"3","Femmine","39","33","25","28","28","35","32","43","36","41","39","35","34","32","31","27","34","34"
"3","Totale","66","65","58","69","63","76","67","88","73","77","87","81","64","69","60","58","74","67"
"4","Maschi","32","27","32","35","41","37","37","35","46","37","37","49","47","28","38","28","27","39"
"4","Femmine","28","40","35","25","26","28","35","31","40","39","39","39","35","31","35","32","25","34"
"4","Totale","60","67","67","60","67","65","72","66","86","76","76","88","82","59","73","60","52","73"
"5","Maschi","18","33","25","33","32","38","38","38","34","46","37","38","47","46","28","36","28","30"
"5","Femmine","28","26","39","35","24","26","29","38","33","40","35","43","39","34","31","37","31","26"
"5","Totale","46","59","64","68","56","64","67","76","67","86","72","81","86","80","59","73","59","56"
"6","Maschi","25","20","32","24","35","30","37","37","39","35","48","36","39","45","47","29","36","27"
"6","Femmine","29","28","25","38","35","24","27","31","37","34","44","37","44","39","33","29","34","33"
"6","Totale","54","48","57","62","70","54","64","68","76","69","92","73","83","84","80","58","70","60"
"7","Maschi","32","25","22","31","22","34","29","38","36","41","33","49","34","38","47","48","29","34"
"7","Femmine","27","29","28","26","39","33","25","27","31","36","35","43","36","45","41","34","27","31"
"7","Totale","59","54","50","57","61","67","54","65","67","77","68","92","70","83","88","82","56","65"
"8","Maschi","20","32","22","23","32","23","34","31","38","37","41","34","49","33","37","46","46","29"
"8","Femmine","17","28","33","30","27","40","34","23","26","32","36","35","41","34","46","38","37","26"
"8","Totale","37","60","55","53","59","63","68","54","64","69","77","69","90","67","83","84","83","55"
"9","Maschi","23","18","33","23","21","32","25","34","32","38","37","38","35","49","33","39","46","44"
"9","Femmine","27","17","29","35","29","29","40","35","24","26","32","35","35","43","36","47","40","39"
"9","Totale","50","35","62","58","50","61","65","69","56","64","69","73","70","92","69","86","86","83"
"10","Maschi","25","24","20","33","23","20","32","27","35","34","39","37","36","35","49","33","38","47"
"10","Femmine","17","27","17","29","31","30","31","39","34","24","27","33","36","35","44","35","47","40"
"10","Totale","42","51","37","62","54","50","63","66","69","58","66","70","72","70","93","68","85","87"
"11","Maschi","28","27","24","20","33","25","23","33","26","36","34","39","38","37","35","55","32","38"
"11","Femmine","14","17","28","16","29","31","29","29","37","35","24","26","32","36","35","45","36","47"
"11","Totale","42","44","52","36","62","56","52","62","63","71","58","65","70","73","70","100","68","85"
"12","Maschi","20","28","27","25","19","31","26","24","32","26","36","34","40","40","36","34","54","30"
"12","Femmine","23","14","18","29","16","29","34","30","30","37","35","25","28","33","37","34","42","34"
"12","Totale","43","42","45","54","35","60","60","54","62","63","71","59","68","73","73","68","96","64"
"13","Maschi","22","20","28","27","25","19","31","29","27","30","27","35","35","40","41","36","32","51"
"13","Femmine","26","21","14","18","28","16","29","34","30","30","37","36","25","29","34","37","36","42"
"13","Totale","48","41","42","45","53","35","60","63","57","60","64","71","60","69","75","73","68","93"
"14","Maschi","27","20","21","29","28","27","21","30","27","27","31","28","35","35","39","41","37","33"
"14","Femmine","23","29","23","14","18","29","17","29","34","30","30","36","36","24","28","34","36","39"
"14","Totale","50","49","44","43","46","56","38","59","61","57","61","64","71","59","67","75","73","72"
"15","Maschi","31","25","20","25","29","28","27","23","29","25","27","30","28","35","36","39","39","36"
"15","Femmine","19","22","29","23","17","18","31","18","26","32","30","32","35","36","25","27","34","35"
"15","Totale","50","47","49","48","46","46","58","41","55","57","57","62","63","71","61","66","73","71"
"16","Maschi","21","30","24","21","25","31","29","30","23","29","26","27","30","28","36","33","40","39"
"16","Femmine","19","20","23","28","22","17","21","29","18","26","33","30","30","34","35","26","26","32"
"16","Totale","40","50","47","49","47","48","50","59","41","55","59","57","60","62","71","59","66","71"
"17","Maschi","20","22","30","25","22","25","29","30","30","23","28","26","26","31","27","34","33","40"
"17","Femmine","30","21","20","21","29","22","17","22","28","17","26","33","29","30","33","34","26","23"
"17","Totale","50","43","50","46","51","47","46","52","58","40","54","59","55","61","60","68","59","63"
"18","Maschi","20","20","24","30","26","22","26","29","29","29","23","28","28","26","30","27","35","32"
"18","Femmine","22","28","20","19","21","27","22","17","22","28","18","26","33","29","30","30","33","26"
"18","Totale","42","48","44","49","47","49","48","46","51","57","41","54","61","55","60","57","68","58"
"19","Maschi","28","21","21","24","31","27","24","27","28","29","28","23","29","27","26","30","28","35"
"19","Femmine","25","22","28","21","19","24","26","23","20","24","29","17","25","32","29","30","31","33"
"19","Totale","53","43","49","45","50","51","50","50","48","53","57","40","54","59","55","60","59","68"
"20","Maschi","34","28","22","23","25","32","29","25","26","29","29","30","23","30","27","26","29","28"
"20","Femmine","25","23","22","32","21","18","21","27","24","21","23","30","16","25","34","30","30","31"
"20","Totale","59","51","44","55","46","50","50","52","50","50","52","60","39","55","61","56","59","59"
"21","Maschi","28","34","29","22","24","26","33","30","24","27","30","29","28","24","31","27","26","27"
"21","Femmine","28","26","24","25","32","24","17","23","28","28","21","23","34","16","25","35","30","30"
"21","Totale","56","60","53","47","56","50","50","53","52","55","51","52","62","40","56","62","56","57"
"22","Maschi","29","30","33","29","24","25","26","32","29","24","28","30","29","29","23","32","27","28"
"22","Femmine","29","32","24","27","27","33","24","23","24","30","27","22","25","31","16","25","34","32"
"22","Totale","58","62","57","56","51","58","50","55","53","54","55","52","54","60","39","57","61","60"
"23","Maschi","39","30","33","34","27","29","25","27","31","29","24","28","30","29","31","23","33","28"
"23","Femmine","27","29","36","28","25","28","32","22","24","28","30","28","23","24","34","19","27","33"
"23","Totale","66","59","69","62","52","57","57","49","55","57","54","56","53","53","65","42","60","61"
"24","Maschi","47","41","32","36","35","29","29","29","27","32","28","26","26","34","28","32","23","31"
"24","Femmine","42","28","27","40","28","31","31","33","21","28","29","28","26","22","20","32","20","28"
"24","Totale","89","69","59","76","63","60","60","62","48","60","57","54","52","56","48","64","43","59"
"25","Maschi","33","48","38","32","36","38","30","28","28","29","34","29","25","26","33","27","31","22"
"25","Femmine","46","43","27","29","41","35","29","29","37","23","32","30","25","27","22","23","31","21"
"25","Totale","79","91","65","61","77","73","59","57","65","52","66","59","50","53","55","50","62","43"
"26","Maschi","47","35","48","43","36","37","41","33","29","26","32","35","30","25","28","35","27","27"
