"Età","Sesso","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"0","Maschi","497","535","538","518","531","585","471","522","566","492","510","541","521","464","428","460","431","437"
"0","Femmine","493","522","492","519","521","446","516","492","514","464","472","451","441","446","388","419","427","451"
"0","Totale","990","1057","1030","1037","1052","1031","987","1014","1080","956","982","992","962","910","816","879","858","888"
"1","Maschi","488","487","527","546","517","524","564","481","491","558","484","509","537","512","474","430","466","421"
"1","Femmine","474","484","516","492","517","504","431","517","494","525","455","474","447","442","445","397","419","442"
"1","Totale","962","971","1043","1038","1034","1028","995","998","985","1083","939","983","984","954","919","827","885","863"
"2","Maschi","513","492","474","524","536","508","506","555","463","506","559","496","494","546","520","480","436","466"
"2","Femmine","481","467","469","523","501","514","505","446","536","502","512","461","479","438","453","442","395","422"
"2","Totale","994","959","943","1047","1037","1022","1011","1001","999","1008","1071","957","973","984","973","922","831","888"
"3","Maschi","495","503","483","485","504","525","491","489","545","465","511","548","509","498","546","531","474","445"
"3","Femmine","440","468","472","479","519","496","486","498","448","529","496","490","455","476","435","463","455","404"
"3","Totale","935","971","955","964","1023","1021","977","987","993","994","1007","1038","964","974","981","994","929","849"
"4","Maschi","474","486","497","500","484","503","520","495","505","541","471","513","554","505","501","545","522","473"
"4","Femmine","468","441","462","484","474","515","489","495","501","463","514","491","501","456","477","446","463","461"
"4","Totale","942","927","959","984","958","1018","1009","990","1006","1004","985","1004","1055","961","978","991","985","934"
"5","Maschi","466","480","482","515","505","481","515","517","492","520","547","479","507","562","514","506","535","532"
"5","Femmine","467","463","445","468","493","476","514","482","506","515","464","514","492","504","459","490","440","476"
"5","Totale","933","943","927","983","998","957","1029","999","998","1035","1011","993","999","1066","973","996","975","1008"
"6","Maschi","457","467","482","492","520","510","494","520","515","509","522","547","481","502","571","520","503","543"
"6","Femmine","503","469","473","468","473","499","471","515","494","493","523","461","522","508","515","470","493","442"
"6","Totale","960","936","955","960","993","1009","965","1035","1009","1002","1045","1008","1003","1010","1086","990","996","985"
"7","Maschi","444","463","483","502","505","524","512","501","521","530","506","525","553","485","509","572","520","509"
"7","Femmine","456","502","476","496","468","467","500","476","520","498","496","518","462","525","511","526","470","497"
"7","Totale","900","965","959","998","973","991","1012","977","1041","1028","1002","1043","1015","1010","1020","1098","990","1006"
"8","Maschi","460","446","466","500","504","508","528","519","506","527","539","510","523","563","488","518","566","519"
"8","Femmine","445","456","500","496","500","460","468","508","489","517","505","503","527","466","550","516","525","464"
"8","Totale","905","902","966","996","1004","968","996","1027","995","1044","1044","1013","1050","1029","1038","1034","1091","983"
"9","Maschi","476","455","443","480","496","499","517","533","535","515","530","535","516","526","561","493","525","572"
"9","Femmine","431","434","459","515","497","501","465","480","525","499","528","509","510","524","475","560","522","530"
"9","Totale","907","889","902","995","993","1000","982","1013","1060","1014","1058","1044","1026","1050","1036","1053","1047","1102"
"10","Maschi","460","481","451","469","496","498","515","522","548","554","526","529","539","512","528","577","495","533"
"10","Femmine","479","427","443","481","511","506","511","464","495","523","501","535","516","510","528","474","558","529"
"10","Totale","939","908","894","950","1007","1004","1026","986","1043","1077","1027","1064","1055","1022","1056","1051","1053","1062"
"11","Maschi","494","459","486","456","483","498","500","524","534","554","562","529","542","546","516","544","582","518"
"11","Femmine","430","483","430","459","490","506","513","510","475","509","536","506","538","522","508","532","487","559"
"11","Totale","924","942","916","915","973","1004","1013","1034","1009","1063","1098","1035","1080","1068","1024","1076","1069","1077"
"12","Maschi","440","497","465","502","462","480","506","501","542","540","558","565","520","539","543","526","544","598"
"12","Femmine","449","421","475","452","468","491","512","525","513","490","513","538","508","539","521","517","529","496"
"12","Totale","889","918","940","954","930","971","1018","1026","1055","1030","1071","1103","1028","1078","1064","1043","1073","1094"
