"Età","Sesso","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"0","Maschi","2","4","5","4","9","6","11","5","9","5","9","5","3","3","7","3","4","7"
"0","Femmine","5","4","4","3","1","7","3","1","9","7","5","7","7","3","5","1","9","5"
"0","Totale","7","8","9","7","10","13","14","6","18","12","14","12","10","6","12","4","13","12"
"1","Maschi","4","2","4","4","3","9","7","11","5","9","4","10","5","2","3","6","3","4"
"1","Femmine","6","7","4","4","3","1","9","3","2","9","6","4","7","10","3","7","0","10"
"1","Totale","10","9","8","8","6","10","16","14","7","18","10","14","12","12","6","13","3","14"
"2","Maschi","4","4","2","4","5","3","9","8","11","5","8","5","9","5","3","2","6","3"
"2","Femmine","2","6","7","4","4","3","5","9","2","2","9","6","4","7","10","2","6","0"
"2","Totale","6","10","9","8","9","6","14","17","13","7","17","11","13","12","13","4","12","3"
"3","Maschi","2","5","4","2","6","4","5","7","9","13","5","8","5","10","4","3","3","5"
"3","Femmine","4","2","6","7","4","4","3","5","8","3","3","10","6","4","4","10","2","6"
"3","Totale","6","7","10","9","10","8","8","12","17","16","8","18","11","14","8","13","5","11"
"4","Maschi","5","2","5","4","2","6","5","6","7","10","12","4","7","5","10","6","3","3"
"4","Femmine","5","4","2","6","7","5","4","4","5","9","3","2","7","6","5","5","7","2"
"4","Totale","10","6","7","10","9","11","9","10","12","19","15","6","14","11","15","11","10","5"
"5","Maschi","4","4","2","5","4","2","6","5","6","7","10","13","3","5","5","9","5","4"
"5","Femmine","3","5","4","2","6","7","3","5","4","5","8","4","2","7","6","4","5","7"
"5","Totale","7","9","6","7","10","9","9","10","10","12","18","17","5","12","11","13","10","11"
"6","Maschi","6","4","4","2","6","6","1","6","3","6","6","10","12","3","5","5","7","4"
"6","Femmine","1","3","4","4","2","5","9","3","4","4","6","6","3","2","7","6","4","6"
"6","Totale","7","7","8","6","8","11","10","9","7","10","12","16","15","5","12","11","11","10"
"7","Maschi","3","6","4","3","1","6","4","1","6","3","6","7","8","11","3","5","5","7"
"7","Femmine","7","1","2","5","3","2","5","8","3","3","4","6","7","3","1","7","5","5"
"7","Totale","10","7","6","8","4","8","9","9","9","6","10","13","15","14","4","12","10","12"
"8","Maschi","3","3","6","4","4","2","6","4","1","4","3","7","8","8","11","5","7","5"
"8","Femmine","0","7","1","2","5","3","3","5","10","4","3","4","6","6","3","1","6","5"
"8","Totale","3","10","7","6","9","5","9","9","11","8","6","11","14","14","14","6","13","10"
"9","Maschi","2","4","2","7","4","4","0","6","4","2","5","3","7","7","7","9","5","9"
"9","Femmine","4","0","7","1","2","5","3","3","5","10","4","3","4","6","6","3","1","6"
"9","Totale","6","4","9","8","6","9","3","9","9","12","9","6","11","13","13","12","6","15"
"10","Maschi","2","3","4","2","7","5","4","0","5","4","2","5","3","7","7","7","10","6"
"10","Femmine","0","4","0","7","1","2","5","3","3","5","10","5","2","4","6","6","2","1"
"10","Totale","2","7","4","9","8","7","9","3","8","9","12","10","5","11","13","13","12","7"
"11","Maschi","4","4","3","4","1","7","4","3","1","5","4","2","4","3","8","6","7","9"
"11","Femmine","0","0","2","0","7","1","2","5","3","4","4","10","6","2","4","6","6","2"
"11","Totale","4","4","5","4","8","8","6","8","4","9","8","12","10","5","12","12","13","11"
"12","Maschi","6","4","4","3","4","1","8","6","3","1","5","4","3","5","3","6","6","7"
"12","Femmine","4","0","0","1","0","7","1","2","5","2","4","4","9","6","2","4","7","7"
"12","Totale","10","4","4","4","4","8","9","8","8","3","9","8","12","11","5","10","13","14"
"13","Maschi","10","6","4","4","3","4","2","9","6","3","1","5","4","3","6","2","6","6"
"13","Femmine","5","4","0","0","1","0","8","2","2","5","2","3","4","10","6","2","3","7"
"13","Totale","15","10","4","4","4","4","10","11","8","8","3","8","8","13","12","4","9","13"
"14","Maschi","7","9","6","4","4","3","4","1","9","6","3","0","5","4","3","6","4","6"
"14","Femmine","4","5","5","0","0","0","1","8","2","3","5","3","4","4","10","6","2","3"
"14","Totale","11","14","11","4","4","3","5","9","11","9","8","3","9","8","13","12","6","9"
"15","Maschi","10","7","9","6","4","4","3","3","1","9","6","3","0","5","4","3","8","4"
"15","Femmine","4","5","5","5","0","0","0","1","8","2","4","5","3","4","4","8","6","2"
"15","Totale","14","12","14","11","4","4","3","4","9","11","10","8","3","9","8","11","14","6"
"16","Maschi","8","11","7","9","7","4","4","3","4","4","9","6","3","0","5","4","4","6"
"16","Femmine","4","4","5","5","5","0","0","2","1","8","2","3","6","3","4","3","8","6"
"16","Totale","12","15","12","14","12","4","4","5","5","12","11","9","9","3","9","7","12","12"
"17","Maschi","9","8","11","7","8","7","5","4","3","5","4","9","5","3","0","5","4","4"
"17","Femmine","7","4","4","5","5","6","0","2","2","1","9","2","3","6","3","3","3","9"
"17","Totale","16","12","15","12","13","13","5","6","5","6","13","11","8","9","3","8","7","13"
"18","Maschi","3","8","6","10","7","8","7","5","4","1","5","4","8","6","3","0","5","5"
"18","Femmine","6","8","4","4","5","5","6","1","2","4","1","9","1","3","5","4","4","4"
"18","Totale","9","16","10","14","12","13","13","6","6","5","6","13","9","9","8","4","9","9"
"19","Maschi","9","3","8","8","10","7","8","5","5","3","1","7","4","8","6","3","0","5"
"19","Femmine","4","7","7","4","4","5","5","6","1","2","4","1","9","1","3","5","6","3"
"19","Totale","13","10","15","12","14","12","13","11","6","5","5","8","13","9","9","8","6","8"
"20","Maschi","4","9","4","7","8","10","5","8","5","5","4","1","7","4","7","6","3","0"
"20","Femmine","3","3","7","7","4","5","4","5","6","3","3","4","1","9","2","3","4","5"
"20","Totale","7","12","11","14","12","15","9","13","11","8","7","5","8","13","9","9","7","5"
"21","Maschi","7","6","8","4","7","8","11","6","9","5","5","3","1","7","4","7","6","3"
"21","Femmine","3","3","3","6","7","4","6","4","6","6","3","3","4","1","9","2","1","4"
"21","Totale","10","9","11","10","14","12","17","10","15","11","8","6","5","8","13","9","7","7"
"22","Maschi","7","7","6","9","4","7","8","10","8","9","5","5","3","3","7","4","8","6"
"22","Femmine","5","3","2","3","6","8","5","7","4","6","6","3","2","6","1","9","4","1"
"22","Totale","12","10","8","12","10","15","13","17","12","15","11","8","5","9","8","13","12","7"
"23","Maschi","8","8","7","5","9","3","7","9","11","7","7","6","5","3","3","7","4","7"
"23","Femmine","7","6","3","2","5","5","7","7","7","4","4","7","3","3","6","2","9","2"
"23","Totale","15","14","10","7","14","8","14","16","18","11","11","13","8","6","9","9","13","9"
"24","Maschi","7","8","11","7","7","8","5","8","7","12","8","7","5","5","3","1","6","6"
"24","Femmine","9","7","6","3","2","5","6","6","8","7","2","4","5","3","4","7","2","7"
"24","Totale","16","15","17","10","9","13","11","14","15","19","10","11","10","8","7","8","8","13"
"25","Maschi","11","7","9","11","11","7","8","4","8","8","9","8","7","4","5","3","1","5"
"25","Femmine","10","8","7","6","4","4","5","5","6","9","7","3","4","5","3","3","10","2"
"25","Totale","21","15","16","17","15","11","13","9","14","17","16","11","11","9","8","6","11","7"
"26","Maschi","9","11","5","10","12","10","7","9","6","8","8","9","7","8","5","5","2","1"
"26","Femmine","17","12","6","7","6","4","4","5","6","6","9","6","3","4","6","3","0","11"
"26","Totale","26","23","11","17","18","14","11","14","12","14","17","15","10","12","11","8","2","12"
"27","Maschi","7","10","11","6","8","11","10","6","10","8","8","8","9","8","8","5","5","2"
"27","Femmine","8","16","13","10","7","6","4","4","4","5","6","10","5","3","2","5","4","1"
"27","Totale","15","26","24","16","15","17","14","10","14","13","14","18","14","11","10","10","9","3"
"28","Maschi","14","8","10","11","8","7","14","7","4","10","8","9","8","9","7","9","5","4"
"28","Femmine","3","6","14","13","10","7","9","4","4","4","6","6","12","5","3","4","5","6"
"28","Totale","17","14","24","24","18","14","23","11","8","14","14","15","20","14","10","13","10","10"
"29","Maschi","7","17","6","10","12","7","7","14","6","4","9","9","9","7","10","6","10","5"
"29","Femmine","2","1","6","15","14","11","9","7","4","4","5","6","6","13","1","6","4","7"
"29","Totale","9","18","12","25","26","18","16","21","10","8","14","15","15","20","11","12","14","12"
"30","Maschi","6","7","14","9","10","14","9","10","13","7","4","9","9","9","6","10","6","11"
"30","Femmine","11","1","4","6","15","16","8","9","6","4","5","5","6","5","11","1","7","4"
"30","Totale","17","8","18","15","25","30","17","19","19","11","9","14","15","14","17","11","13","15"
"31","Maschi","8","6","8","13","7","12","12","8","10","12","8","5","10","9","9","6","11","6"
"31","Femmine","9","12","2","3","7","14","15","7","8","6","4","5","5","7","4","11","1","8"
"31","Totale","17","18","10","16","14","26","27","15","18","18","12","10","15","16","13","17","12","14"
"32","Maschi","6","8","6","7","13","7","11","13","9","9","12","7","5","9","8","7","5","10"
"32","Femmine","6","9","13","3","4","7","13","15","8","8","6","4","3","4","7","4","10","4"
"32","Totale","12","17","19","10","17","14","24","28","17","17","18","11","8","13","15","11","15","14"
"33","Maschi","10","4","8","8","9","14","10","8","11","9","9","12","7","5","9","8","7","7"
"33","Femmine","7","8","9","13","3","5","7","13","13","8","7","7","4","3","4","7","4","8"
"33","Totale","17","12","17","21","12","19","17","21","24","17","16","19","11","8","13","15","11","15"
"34","Maschi","8","9","7","7","8","9","13","8","8","11","9","11","13","6","4","9","8","7"
"34","Femmine","10","8","8","10","10","3","5","7","11","13","9","7","8","4","5","5","6","4"
