"Età","Sesso","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"0","Maschi","19","29","18","23","19","22","16","18","22","12","19","26","19","24","12","21","17","21"
"0","Femmine","12","19","29","20","23","21","19","16","25","16","17","20","13","12","20","16","13","13"
"0","Totale","31","48","47","43","42","43","35","34","47","28","36","46","32","36","32","37","30","34"
"1","Maschi","31","18","26","19","23","20","24","13","19","21","12","18","26","20","23","12","23","17"
"1","Femmine","20","15","21","26","20","20","18","19","12","25","16","18","19","16","12","19","16","12"
"1","Totale","51","33","47","45","43","40","42","32","31","46","28","36","45","36","35","31","39","29"
"2","Maschi","15","30","18","27","19","22","20","24","13","17","22","10","17","27","20","25","12","24"
"2","Femmine","22","18","18","19","26","19","19","19","18","13","25","15","15","21","16","12","19","15"
"2","Totale","37","48","36","46","45","41","39","43","31","30","47","25","32","48","36","37","31","39"
"3","Maschi","18","15","30","19","25","19","19","21","23","15","17","20","12","16","28","18","25","11"
"3","Femmine","18","21","20","17","19","28","19","19","19","18","13","25","16","16","18","15","12","18"
"3","Totale","36","36","50","36","44","47","38","40","42","33","30","45","28","32","46","33","37","29"
"4","Maschi","22","18","16","29","19","25","19","18","21","21","17","18","20","13","16","27","18","25"
"4","Femmine","14","19","20","20","18","18","27","20","20","18","17","15","26","17","16","18","16","12"
"4","Totale","36","37","36","49","37","43","46","38","41","39","34","33","46","30","32","45","34","37"
"5","Maschi","19","22","17","16","29","19","24","19","16","21","20","17","18","21","14","16","25","17"
"5","Femmine","22","14","20","21","21","17","19","28","20","21","18","17","14","26","18","16","17","14"
"5","Totale","41","36","37","37","50","36","43","47","36","42","38","34","32","47","32","32","42","31"
"6","Maschi","22","19","20","18","17","29","19","24","20","16","21","20","16","19","20","14","16","25"
"6","Femmine","17","21","15","20","22","22","15","20","31","19","21","21","18","15","26","17","15","16"
"6","Totale","39","40","35","38","39","51","34","44","51","35","42","41","34","34","46","31","31","41"
"7","Maschi","20","23","20","22","18","17","29","19","23","20","17","21","23","16","18","20","14","16"
