"Età","Sesso","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"0","Maschi","4","2","1","4","7","1","3","4","4","4","1","6","1","5","3","6","1","6"
"0","Femmine","2","9","1","1","2","2","2","4","4","1","3","2","4","2","4","2","4","1"
"0","Totale","6","11","2","5","9","3","5","8","8","5","4","8","5","7","7","8","5","7"
"1","Maschi","4","4","2","2","3","9","2","4","3","3","3","2","4","1","7","4","6","1"
"1","Femmine","6","2","6","1","1","2","2","2","4","3","1","2","2","4","2","4","2","4"
"1","Totale","10","6","8","3","4","11","4","6","7","6","4","4","6","5","9","8","8","5"
"2","Maschi","4","3","4","1","3","4","9","1","4","4","2","3","3","2","0","6","4","5"
"2","Femmine","1","6","4","4","1","2","2","3","2","4","3","1","2","2","3","1","4","2"
"2","Totale","5","9","8","5","4","6","11","4","6","8","5","4","5","4","3","7","8","7"
"3","Maschi","3","4","2","4","1","4","4","9","1","5","4","3","3","3","2","0","7","3"
"3","Femmine","2","1","6","3","5","2","3","1","3","3","4","4","2","2","2","4","1","4"
"3","Totale","5","5","8","7","6","6","7","10","4","8","8","7","5","5","4","4","8","7"
"4","Maschi","3","3","4","1","5","2","3","5","8","2","4","4","2","4","3","2","0","7"
"4","Femmine","3","2","2","4","2","5","1","3","1","3","3","4","4","2","2","2","4","1"
"4","Totale","6","5","6","5","7","7","4","8","9","5","7","8","6","6","5","4","4","8"
"5","Maschi","3","3","3","4","1","5","2","3","5","8","2","3","4","2","4","3","2","0"
"5","Femmine","3","3","1","2","4","4","6","1","3","1","3","3","3","4","2","2","2","5"
"5","Totale","6","6","4","6","5","9","8","4","8","9","5","6","7","6","6","5","4","5"
"6","Maschi","4","3","4","1","4","2","4","2","3","5","8","2","5","4","2","4","2","2"
"6","Femmine","3","3","4","1","3","5","3","4","1","3","1","3","3","3","4","2","2","2"
"6","Totale","7","6","8","2","7","7","7","6","4","8","9","5","8","7","6","6","4","4"
"7","Maschi","2","4","3","4","0","5","2","4","2","3","5","8","2","5","4","2","3","2"
"7","Femmine","2","3","3","4","1","4","6","3","3","1","3","1","3","3","3","4","2","3"
"7","Totale","4","7","6","8","1","9","8","7","5","4","8","9","5","8","7","6","5","5"
"8","Maschi","3","2","2","3","4","0","3","2","3","2","2","5","8","2","6","4","2","3"
"8","Femmine","2","3","3","2","4","2","4","6","2","3","1","4","1","3","3","3","4","2"
"8","Totale","5","5","5","5","8","2","7","8","5","5","3","9","9","5","9","7","6","5"
"9","Maschi","0","3","2","2","3","6","0","3","2","3","3","1","6","7","2","6","4","2"
"9","Femmine","4","2","3","2","2","4","2","4","6","2","3","1","4","1","3","3","5","4"
"9","Totale","4","5","5","4","5","10","2","7","8","5","6","2","10","8","5","9","9","6"
"10","Maschi","4","0","4","2","2","3","6","0","4","1","3","3","1","5","7","2","5","4"
"10","Femmine","4","4","2","3","2","2","4","2","3","6","1","3","1","4","1","3","3","5"
"10","Totale","8","4","6","5","4","5","10","2","7","7","4","6","2","9","8","5","8","9"
"11","Maschi","6","4","0","4","2","2","2","6","0","4","1","3","4","1","5","7","2","5"
"11","Femmine","3","4","4","3","3","2","2","4","2","3","7","1","3","1","4","1","3","3"
"11","Totale","9","8","4","7","5","4","4","10","2","7","8","4","7","2","9","8","5","8"
"12","Maschi","1","7","5","0","3","2","2","2","6","0","4","0","3","4","3","5","7","2"
"12","Femmine","2","2","4","4","3","2","2","2","3","2","3","6","1","3","1","4","1","3"
"12","Totale","3","9","9","4","6","4","4","4","9","2","7","6","4","7","4","9","8","5"
"13","Maschi","2","1","6","5","0","3","3","2","2","5","0","4","0","3","4","3","5","7"
"13","Femmine","4","1","2","4","4","2","2","2","2","3","2","3","6","1","2","1","4","1"
"13","Totale","6","2","8","9","4","5","5","4","4","8","2","7","6","4","6","4","9","8"
"14","Maschi","8","2","1","6","5","0","3","3","2","2","5","0","2","0","3","4","4","5"
"14","Femmine","2","4","1","2","5","5","2","2","2","2","2","2","3","7","1","2","1","4"
"14","Totale","10","6","2","8","10","5","5","5","4","4","7","2","5","7","4","6","5","9"
"15","Maschi","5","7","2","1","6","5","0","3","3","2","2","5","0","2","0","3","4","3"
"15","Femmine","5","2","8","1","3","5","4","2","2","2","2","2","2","3","7","1","3","1"
"15","Totale","10","9","10","2","9","10","4","5","5","4","4","7","2","5","7","4","7","4"
"16","Maschi","3","5","11","2","1","6","5","0","3","3","2","2","5","0","3","0","4","4"
