"Età","Sesso","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"0","Maschi","7","3","6","3","2","6","3","3","4","0","5","4","5","3","9","6","3","3"
"0","Femmine","5","5","7","5","2","3","4","6","3","4","1","7","4","4","2","4","6","1"
"0","Totale","12","8","13","8","4","9","7","9","7","4","6","11","9","7","11","10","9","4"
"1","Maschi","5","8","3","6","3","3","4","3","4","3","0","5","3","5","4","7","5","4"
"1","Femmine","3","5","5","7","5","2","3","4","5","4","4","1","7","3","4","2","4","5"
"1","Totale","8","13","8","13","8","5","7","7","9","7","4","6","10","8","8","9","9","9"
"2","Maschi","1","3","6","5","7","3","4","4","5","4","4","0","5","3","6","4","6","5"
"2","Femmine","3","5","5","6","7","7","2","3","4","6","3","4","1","7","3","5","1","4"
"2","Totale","4","8","11","11","14","10","6","7","9","10","7","4","6","10","9","9","7","9"
"3","Maschi","5","0","2","6","4","8","3","4","4","4","4","5","0","5","5","6","5","7"
"3","Femmine","5","3","4","6","7","7","6","2","3","4","6","3","3","1","6","4","4","1"
"3","Totale","10","3","6","12","11","15","9","6","7","8","10","8","3","6","11","10","9","8"
"4","Maschi","5","4","0","2","5","5","7","2","4","7","4","5","4","0","5","5","6","6"
"4","Femmine","1","6","3","5","6","8","7","5","2","4","3","6","4","3","1","6","3","3"
"4","Totale","6","10","3","7","11","13","14","7","6","11","7","11","8","3","6","11","9","9"
"5","Maschi","6","3","4","0","4","6","6","7","2","4","7","4","5","4","1","5","5","6"
"5","Femmine","4","2","6","3","5","6","8","7","5","2","4","6","3","6","4","1","7","2"
"5","Totale","10","5","10","3","9","12","14","14","7","6","11","10","8","10","5","6","12","8"
"6","Maschi","1","6","3","3","0","4","8","7","7","2","3","8","4","5","4","1","5","6"
"6","Femmine","11","5","2","6","3","4","6","7","7","5","2","5","7","4","5","4","1","6"
"6","Totale","12","11","5","9","3","8","14","14","14","7","5","13","11","9","9","5","6","12"
"7","Maschi","4","1","5","3","3","0","5","8","9","7","1","3","8","4","5","4","1","6"
"7","Femmine","1","11","5","2","7","4","4","6","7","5","5","2","5","6","4","6","5","1"
"7","Totale","5","12","10","5","10","4","9","14","16","12","6","5","13","10","9","10","6","7"
"8","Maschi","5","2","2","6","3","3","2","5","9","8","8","1","3","7","4","4","5","2"
"8","Femmine","5","1","12","6","2","6","3","4","6","7","6","5","2","5","4","4","6","3"
"8","Totale","10","3","14","12","5","9","5","9","15","15","14","6","5","12","8","8","11","5"
"9","Maschi","3","3","2","1","7","5","4","2","5","7","8","9","3","3","7","4","3","5"
"9","Femmine","3","5","2","13","6","2","6","3","4","5","6","5","4","2","5","4","3","6"
"9","Totale","6","8","4","14","13","7","10","5","9","12","14","14","7","5","12","8","6","11"
"10","Maschi","6","2","3","2","1","7","5","4","2","6","7","8","9","4","3","7","3","3"
"10","Femmine","3","3","5","3","13","6","1","6","2","4","5","6","5","4","2","5","6","5"
"10","Totale","9","5","8","5","14","13","6","10","4","10","12","14","14","8","5","12","9","8"
"11","Maschi","4","6","3","3","2","1","5","4","4","2","3","7","8","8","5","3","7","3"
"11","Femmine","7","3","3","5","4","11","5","0","6","2","4","5","7","5","4","2","4","5"
"11","Totale","11","9","6","8","6","12","10","4","10","4","7","12","15","13","9","5","11","8"
"12","Maschi","8","4","7","5","3","2","1","6","4","4","2","4","7","7","9","5","3","6"
"12","Femmine","6","8","3","3","5","3","11","4","0","6","2","4","5","7","6","4","2","4"
"12","Totale","14","12","10","8","8","5","12","10","4","10","4","8","12","14","15","9","5","10"
"13","Maschi","5","8","4","7","5","3","2","1","6","4","5","2","6","7","7","9","5","3"
"13","Femmine","4","7","8","3","3","5","3","10","4","0","6","2","4","5","8","5","4","2"
"13","Totale","9","15","12","10","8","8","5","11","10","4","11","4","10","12","15","14","9","5"
"14","Maschi","4","5","9","4","7","4","3","2","1","6","5","5","1","6","8","8","9","5"
"14","Femmine","5","4","9","7","3","4","5","3","9","4","0","6","2","4","5","9","5","5"
"14","Totale","9","9","18","11","10","8","8","5","10","10","5","11","3","10","13","17","14","10"
"15","Maschi","10","4","5","9","5","7","3","3","3","1","6","6","6","1","5","6","7","8"
"15","Femmine","4","5","4","9","8","4","4","4","2","9","4","0","5","2","4","5","9","5"
"15","Totale","14","9","9","18","13","11","7","7","5","10","10","6","11","3","9","11","16","13"
"16","Maschi","4","9","3","5","9","5","7","3","3","6","1","5","6","7","1","6","5","6"
"16","Femmine","6","5","5","2","9","9","4","4","4","1","10","6","0","5","4","4","5","9"
"16","Totale","10","14","8","7","18","14","11","7","7","7","11","11","6","12","5","10","10","15"
"17","Maschi","1","4","9","2","5","9","5","6","3","3","6","1","5","6","7","1","6","5"
"17","Femmine","5","7","5","5","2","9","8","4","4","4","1","10","6","0","5","3","4","5"
"17","Totale","6","11","14","7","7","18","13","10","7","7","7","11","11","6","12","4","10","10"
"18","Maschi","8","0","4","9","3","6","10","5","7","3","3","6","2","5","6","9","2","6"
"18","Femmine","6","5","6","5","5","3","7","8","4","4","3","1","10","6","0","4","3","5"
"18","Totale","14","5","10","14","8","9","17","13","11","7","6","7","12","11","6","13","5","11"
"19","Maschi","6","8","0","4","9","3","8","10","5","8","3","3","5","2","5","8","8","2"
"19","Femmine","6","6","7","6","6","5","3","6","7","4","5","3","1","11","7","3","4","3"
"19","Totale","12","14","7","10","15","8","11","16","12","12","8","6","6","13","12","11","12","5"
"20","Maschi","7","7","8","0","4","10","5","9","10","6","8","3","3","4","2","5","8","8"
