"Età","Sesso","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"0","Maschi","28","17","19","20","12","26","19","22","18","27","28","23","27","26","22","20","23","18"
"0","Femmine","24","31","14","21","19","20","14","27","29","17","31","26","11","17","13","27","18","9"
"0","Totale","52","48","33","41","31","46","33","49","47","44","59","49","38","43","35","47","41","27"
"1","Maschi","22","28","17","20","20","10","25","18","25","20","27","28","24","26","26","22","22","22"
"1","Femmine","17","25","31","15","22","20","19","14","30","28","16","30","24","13","17","14","27","20"
"1","Totale","39","53","48","35","42","30","44","32","55","48","43","58","48","39","43","36","49","42"
"2","Maschi","23","24","28","16","20","22","11","23","16","24","19","24","23","23","30","26","23","23"
"2","Femmine","31","17","24","29","16","24","19","20","14","29","28","16","30","23","12","17","12","25"
"2","Totale","54","41","52","45","36","46","30","43","30","53","47","40","53","46","42","43","35","48"
"3","Maschi","20","22","24","27","17","17","25","9","23","16","23","19","23","23","21","30","24","20"
"3","Femmine","26","30","18","25","30","18","24","18","22","15","26","31","18","30","23","12","17","14"
"3","Totale","46","52","42","52","47","35","49","27","45","31","49","50","41","53","44","42","41","34"
"4","Maschi","23","21","24","24","27","19","18","25","12","23","18","25","18","22","24","22","29","25"
"4","Femmine","18","23","26","17","25","29","17","24","19","21","15","26","33","18","30","20","14","16"
"4","Totale","41","44","50","41","52","48","35","49","31","44","33","51","51","40","54","42","43","41"
"5","Maschi","21","24","21","24","25","27","19","18","25","14","21","18","24","19","22","25","20","27"
"5","Femmine","16","19","25","25","16","27","29","16","22","21","22","15","27","33","15","31","21","13"
"5","Totale","37","43","46","49","41","54","48","34","47","35","43","33","51","52","37","56","41","40"
"6","Maschi","23","21","24","21","24","25","25","20","17","27","14","22","19","24","21","24","25","19"
"6","Femmine","24","13","19","25","24","17","26","28","15","20","21","21","15","26","33","13","31","22"
"6","Totale","47","34","43","46","48","42","51","48","32","47","35","43","34","50","54","37","56","41"
"7","Maschi","30","23","21","24","22","25","24","24","20","17","28","13","24","18","25","20","24","25"
"7","Femmine","29","23","14","20","25","28","17","26","27","17","21","23","19","16","26","31","15","31"
"7","Totale","59","46","35","44","47","53","41","50","47","34","49","36","43","34","51","51","39","56"
"8","Maschi","16","31","23","21","25","21","25","23","24","20","17","27","14","23","18","28","20","24"
"8","Femmine","23","29","23","15","22","27","29","18","26","25","16","22","21","19","15","26","28","15"
"8","Totale","39","60","46","36","47","48","54","41","50","45","33","49","35","42","33","54","48","39"
"9","Maschi","22","15","30","23","22","27","20","25","24","25","20","18","26","13","25","18","26","20"
