"Età","Sesso","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"0","Maschi","4","6","2","6","0","1","2","2","2","4","4","2","8","3","4","1","2","4"
"0","Femmine","0","4","2","3","4","5","5","6","4","5","4","2","3","5","3","5","0","2"
"0","Totale","4","10","4","9","4","6","7","8","6","9","8","4","11","8","7","6","2","6"
"1","Maschi","4","4","6","3","6","0","1","3","2","2","4","5","2","7","2","4","1","3"
"1","Femmine","2","0","4","2","3","4","3","6","6","4","4","4","2","4","5","3","7","0"
"1","Totale","6","4","10","5","9","4","4","9","8","6","8","9","4","11","7","7","8","3"
"2","Maschi","5","4","4","5","3","5","0","2","3","3","2","4","4","2","6","2","6","3"
"2","Femmine","5","2","0","6","2","2","7","3","6","7","4","6","4","2","4","7","3","8"
"2","Totale","10","6","4","11","5","7","7","5","9","10","6","10","8","4","10","9","9","11"
"3","Maschi","3","4","4","4","5","3","4","0","3","3","3","2","4","3","2","5","2","6"
"3","Femmine","1","6","2","0","6","2","1","8","3","6","7","4","6","5","2","4","5","2"
"3","Totale","4","10","6","4","11","5","5","8","6","9","10","6","10","8","4","9","7","8"
"4","Maschi","3","4","4","3","4","3","3","4","1","2","3","2","3","4","2","2","5","2"
"4","Femmine","2","1","6","3","4","6","4","1","7","5","6","7","5","5","5","2","3","6"
"4","Totale","5","5","10","6","8","9","7","5","8","7","9","9","8","9","7","4","8","8"
"5","Maschi","3","3","4","5","6","4","3","3","4","1","2","4","2","2","4","3","3","7"
"5","Femmine","3","2","1","6","3","3","6","5","1","8","5","6","8","5","5","5","2","4"
"5","Totale","6","5","5","11","9","7","9","8","5","9","7","10","10","7","9","8","5","11"
"6","Maschi","1","3","3","4","5","6","4","3","3","4","0","2","4","2","2","4","2","4"
"6","Femmine","3","4","3","1","5","4","3","6","5","2","7","5","5","7","5","5","2","2"
"6","Totale","4","7","6","5","10","10","7","9","8","6","7","7","9","9","7","9","4","6"
"7","Maschi","7","1","4","4","3","6","7","4","3","3","4","0","3","5","2","1","4","2"
"7","Femmine","3","3","4","5","1","4","4","3","6","5","2","6","5","5","6","5","5","2"
"7","Totale","10","4","8","9","4","10","11","7","9","8","6","6","8","10","8","6","9","4"
"8","Maschi","3","7","1","4","4","3","7","8","4","4","3","4","0","3","3","3","1","5"
"8","Femmine","3","2","2","5","6","2","4","4","3","5","5","2","6","5","5","6","5","6"
"8","Totale","6","9","3","9","10","5","11","12","7","9","8","6","6","8","8","9","6","11"
"9","Maschi","6","4","7","1","3","4","3","6","8","4","3","4","3","0","3","3","4","1"
