"Età","Sesso","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"0","Maschi","3","3","2","0","4","2","1","1","4","1","0","3","2","0","0","1","3","2"
"0","Femmine","1","1","0","2","4","1","5","2","3","2","0","3","2","4","0","4","0","1"
"0","Totale","4","4","2","2","8","3","6","3","7","3","0","6","4","4","0","5","3","3"
"1","Maschi","2","3","2","1","0","4","3","1","1","3","1","0","3","2","0","0","1","2"
"1","Femmine","1","1","1","1","2","4","1","5","1","3","2","0","3","2","4","0","3","0"
"1","Totale","3","4","3","2","2","8","4","6","2","6","3","0","6","4","4","0","4","2"
"2","Maschi","1","2","3","2","1","0","4","3","1","2","3","1","0","3","2","0","0","0"
"2","Femmine","3","0","1","2","1","2","4","1","4","1","3","2","0","3","2","4","1","3"
"2","Totale","4","2","4","4","2","2","8","4","5","3","6","3","0","6","4","4","1","3"
"3","Maschi","0","1","2","3","2","1","0","4","3","1","2","3","1","0","3","2","0","0"
"3","Femmine","1","3","0","1","1","0","2","4","1","4","1","3","2","0","3","2","4","0"
"3","Totale","1","4","2","4","3","1","2","8","4","5","3","6","3","0","6","4","4","0"
"4","Maschi","2","0","1","2","2","2","1","0","4","3","1","2","3","1","0","4","1","0"
"4","Femmine","2","4","4","0","1","1","0","2","4","1","3","1","3","2","0","3","2","4"
"4","Totale","4","4","5","2","3","3","1","2","8","4","4","3","6","3","0","7","3","4"
"5","Maschi","1","2","0","2","2","2","2","3","0","4","3","1","2","3","1","0","4","1"
"5","Femmine","2","2","3","4","0","1","1","0","2","4","1","1","1","3","2","0","3","2"
"5","Totale","3","4","3","6","2","3","3","3","2","8","4","2","3","6","3","0","7","3"
"6","Maschi","1","3","2","0","1","2","2","2","3","0","4","3","1","2","3","2","0","3"
"6","Femmine","1","2","3","3","3","0","2","1","0","2","2","1","1","1","3","2","0","3"
"6","Totale","2","5","5","3","4","2","4","3","3","2","6","4","2","3","6","4","0","6"
"7","Maschi","1","1","3","2","0","0","2","2","2","2","0","4","2","1","2","3","2","1"
"7","Femmine","0","1","2","2","3","3","0","2","1","0","3","2","1","1","1","3","2","0"
"7","Totale","1","2","5","4","3","3","2","4","3","2","3","6","3","2","3","6","4","1"
"8","Maschi","5","2","1","1","3","0","0","2","2","2","3","0","4","2","1","2","3","1"
"8","Femmine","2","0","1","2","2","3","3","0","2","1","0","3","2","1","1","1","3","2"
"8","Totale","7","2","2","3","5","3","3","2","4","3","3","3","6","3","2","3","6","3"
"9","Maschi","1","6","5","3","1","3","0","0","2","2","2","3","0","4","2","1","2","3"
"9","Femmine","5","2","1","1","2","2","3","3","0","2","1","0","3","2","1","1","1","4"
"9","Totale","6","8","6","4","3","5","3","3","2","4","3","3","3","6","3","2","3","7"
"10","Maschi","0","1","6","5","3","1","3","0","0","2","2","1","3","0","4","2","1","2"
"10","Femmine","0","4","2","1","1","2","2","3","3","0","2","1","0","3","2","1","1","1"
"10","Totale","0","5","8","6","4","3","5","3","3","2","4","2","3","3","6","3","2","3"
"11","Maschi","0","0","1","5","5","3","1","3","0","1","2","2","1","3","0","3","2","1"
