"Età","Sesso","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"0","Maschi","519","599","585","613","601","590","576","591","544","546","490","508","549","492","478","473","509","472"
"0","Femmine","542","559","592","593","550","558","529","577","483","527","485","504","474","445","440","452","424","472"
"0","Totale","1061","1158","1177","1206","1151","1148","1105","1168","1027","1073","975","1012","1023","937","918","925","933","944"
"1","Maschi","548","521","595","588","596","587","574","586","599","553","539","518","505","547","498","489","501","513"
"1","Femmine","520","562","550","593","587","544","539","539","582","495","526","505","522","482","459","424","460","430"
"1","Totale","1068","1083","1145","1181","1183","1131","1113","1125","1181","1048","1065","1023","1027","1029","957","913","961","943"
"2","Maschi","556","541","522","592","575","579","562","578","595","607","562","556","520","511","566","509","495","528"
"2","Femmine","540","524","569","535","617","579","547","543","536","578","490","534","514","532","479","468","443","481"
"2","Totale","1096","1065","1091","1127","1192","1158","1109","1121","1131","1185","1052","1090","1034","1043","1045","977","938","1009"
"3","Maschi","586","558","545","522","596","558","560","562","573","600","601","574","548","526","505","559","528","512"
"3","Femmine","491","539","525","552","527","590","577","560","549","565","574","492","536","522","546","500","501","454"
"3","Totale","1077","1097","1070","1074","1123","1148","1137","1122","1122","1165","1175","1066","1084","1048","1051","1059","1029","966"
"4","Maschi","561","580","556","548","522","592","570","565","559","578","589","596","579","547","531","515","564","540"
"4","Femmine","502","484","556","526","554","516","584","573","559","555","567","584","494","536","522","548","509","506"
"4","Totale","1063","1064","1112","1074","1076","1108","1154","1138","1118","1133","1156","1180","1073","1083","1053","1063","1073","1046"
"5","Maschi","522","552","585","555","557","525","591","578","568","565","580","595","600","581","553","537","540","583"
"5","Femmine","486","510","483","551","518","546","517","584","571","562","557","580","588","507","541","526","562","504"
"5","Totale","1008","1062","1068","1106","1075","1071","1108","1162","1139","1127","1137","1175","1188","1088","1094","1063","1102","1087"
"6","Maschi","551","519","551","577","544","546","509","597","568","565","576","595","605","600","581","555","549","541"
"6","Femmine","481","495","506","485","552","514","536","515","590","562","563","565","589","585","519","543","544","567"
"6","Totale","1032","1014","1057","1062","1096","1060","1045","1112","1158","1127","1139","1160","1194","1185","1100","1098","1093","1108"
"7","Maschi","502","554","521","557","577","538","543","519","603","562","558","584","606","602","615","586","557","552"
"7","Femmine","472","487","490","508","476","555","514","547","507","597","559","572","569","591","593","522","544","546"
"7","Totale","974","1041","1011","1065","1053","1093","1057","1066","1110","1159","1117","1156","1175","1193","1208","1108","1101","1098"
"8","Maschi","495","506","548","519","568","583","533","559","524","616","562","569","578","604","610","618","585","559"
"8","Femmine","460","478","490","499","517","483","551","518","553","507","590","558","576","580","588","598","536","541"
"8","Totale","955","984","1038","1018","1085","1066","1084","1077","1077","1123","1152","1127","1154","1184","1198","1216","1121","1100"
"9","Maschi","490","493","510","550","516","562","581","541","569","525","616","565","573","585","619","613","627","594"
"9","Femmine","484","468","478","490","506","514","486","561","533","560","502","592","561","577","575","592","593","543"
"9","Totale","974","961","988","1040","1022","1076","1067","1102","1102","1085","1118","1157","1134","1162","1194","1205","1220","1137"
"10","Maschi","535","492","493","513","546","522","561","593","543","577","526","630","572","578","594","623","622","623"
"10","Femmine","495","475","468","486","477","499","510","494","566","539","548","510","594","570","581","574","601","601"
"10","Totale","1030","967","961","999","1023","1021","1071","1087","1109","1116","1074","1140","1166","1148","1175","1197","1223","1224"
"11","Maschi","525","536","499","499","509","545","513","570","597","557","573","534","630","579","585","589","620","627"
"11","Femmine","501","490","460","462","488","489","499","508","494","575","538","553","516","592","574","584","581","598"
"11","Totale","1026","1026","959","961","997","1034","1012","1078","1091","1132","1111","1087","1146","1171","1159","1173","1201","1225"
"12","Maschi","484","520","542","509","495","501","544","522","578","614","568","575","545","631","588","594","603","627"
"12","Femmine","469","507","488","462","454","486","487","504","516","502","573","542","560","525","598","577","581","581"
"12","Totale","953","1027","1030","971","949","987","1031","1026","1094","1116","1141","1117","1105","1156","1186","1171","1184","1208"
"13","Maschi","484","485","514","540","511","495","509","555","529","596","613","575","575","541","631","587","596","606"
"13","Femmine","505","471","499","494","468","447","484","496","514","516","504","572","548","566","535","595","583","574"
"13","Totale","989","956","1013","1034","979","942","993","1051","1043","1112","1117","1147","1123","1107","1166","1182","1179","1180"
"14","Maschi","465","482","487","508","543","507","498","518","562","534","598","626","586","588","546","644","588","603"
"14","Femmine","464","511","464","499","494","471","446","489","496","524","517","511","580","555","582","541","594","581"
"14","Totale","929","993","951","1007","1037","978","944","1007","1058","1058","1115","1137","1166","1143","1128","1185","1182","1184"
"15","Maschi","464","462","481","494","507","541","500","492","528","573","540","606","629","592","584","559","651","587"
"15","Femmine","417","468","507","471","496","491","472","456","489","500","532","524","513","590","564","576","539","596"
"15","Totale","881","930","988","965","1003","1032","972","948","1017","1073","1072","1130","1142","1182","1148","1135","1190","1183"
"16","Maschi","478","458","459","483","496","500","542","506","497","543","581","548","616","635","596","576","559","663"
"16","Femmine","443","420","474","513","471","493","496","477","461","488","505","541","526","514","595","567","573","547"
"16","Totale","921","878","933","996","967","993","1038","983","958","1031","1086","1089","1142","1149","1191","1143","1132","1210"
"17","Maschi","468","476","457","470","487","485","495","541","500","512","540","583","557","628","647","597","581","561"
"17","Femmine","464","449","420","475","510","468","493","499","484","465","494","506","546","528","522","597","576","575"
"17","Totale","932","925","877","945","997","953","988","1040","984","977","1034","1089","1103","1156","1169","1194","1157","1136"
"18","Maschi","506","460","477","455","478","498","484","505","547","513","525","555","594","559","632","665","606","594"
"18","Femmine","525","472","450","422","486","516","464","494","508","479","466","498","509","555","525","528","596","564"
"18","Totale","1031","932","927","877","964","1014","948","999","1055","992","991","1053","1103","1114","1157","1193","1202","1158"
"19","Maschi","536","507","457","483","456","475","510","502","517","555","519","541","555","596","574","646","699","607"
"19","Femmine","510","525","466","456","426","481","526","474","501","518","477","470","502","514","556","537","534","594"
"19","Totale","1046","1032","923","939","882","956","1036","976","1018","1073","996","1011","1057","1110","1130","1183","1233","1201"
"20","Maschi","540","531","520","453","476","449","475","509","509","533","563","527","562","556","607","609","680","710"
"20","Femmine","517","514","530","468","464","429","481","544","483","501","540","479","475","513","512","553","555","539"
"20","Totale","1057","1045","1050","921","940","878","956","1053","992","1034","1103","1006","1037","1069","1119","1162","1235","1249"
"21","Maschi","578","533","530","523","450","468","449","474","508","510","544","584","542","569","568","626","609","678"
"21","Femmine","570","522","512","528","463","474","439","492","551","484","513","550","493","486","527","524","573","550"
"21","Totale","1148","1055","1042","1051","913","942","888","966","1059","994","1057","1134","1035","1055","1095","1150","1182","1228"
"22","Maschi","571","572","545","536","519","441","471","472","481","517","519","565","583","558","564","576","636","624"
"22","Femmine","582","576","538","534","535","461","483","446","496","561","504","533","559","497","489","541","524","568"
"22","Totale","1153","1148","1083","1070","1054","902","954","918","977","1078","1023","1098","1142","1055","1053","1117","1160","1192"
"23","Maschi","686","564","581","556","539","520","451","495","492","497","547","533","568","591","563","573","608","639"
"23","Femmine","633","592","592","554","538","538","468","493","451","518","589","515","548","570","500","505","551","527"
"23","Totale","1319","1156","1173","1110","1077","1058","919","988","943","1015","1136","1048","1116","1161","1063","1078","1159","1166"
"24","Maschi","742","682","597","590","568","538","516","461","499","506","520","563","544","568","603","579","582","603"
"24","Femmine","731","625","604","610","545","528","534","500","504","484","525","603","532","552","578","523","530","557"
"24","Totale","1473","1307","1201","1200","1113","1066","1050","961","1003","990","1045","1166","1076","1120","1181","1102","1112","1160"
"25","Maschi","796","724","703","607","573","558","546","544","493","511","529","543","573","555","590","608","597","574"
"25","Femmine","737","720","652","595","617","529","517","552","520","520","490","538","614","539","548","582","534","538"
"25","Totale","1533","1444","1355","1202","1190","1087","1063","1096","1013","1031","1019","1081","1187","1094","1138","1190","1131","1112"
"26","Maschi","872","799","735","729","624","581","556","566","556","514","542","538","556","575","566","596","643","596"
"26","Femmine","838","747","743","644","594","620","533","528","556","534","537","496","546","610","540","544","601","556"
"26","Totale","1710","1546","1478","1373","1218","1201","1089","1094","1112","1048","1079","1034","1102","1185","1106","1140","1244","1152"
"27","Maschi","836","868","808","767","742","609","576","565","578","579","532","564","539","557","600","581","622","633"
"27","Femmine","907","843","752","729","667","590","605","560","542","570","553","560","509","545","627","554","561","608"
"27","Totale","1743","1711","1560","1496","1409","1199","1181","1125","1120","1149","1085","1124","1048","1102","1227","1135","1183","1241"
"28","Maschi","985","824","883","840","774","720","604","599","571","594","588","546","537","550","557","610","611","628"
"28","Femmine","930","911","867","758","728","641","583","628","566","568","585","561","568","507","574","640","604","568"
"28","Totale","1915","1735","1750","1598","1502","1361","1187","1227","1137","1162","1173","1107","1105","1057","1131","1250","1215","1196"
"29","Maschi","992","969","824","916","817","745","703","627","607","575","600","591","556","551","568","583","626","630"
"29","Femmine","1012","948","916","877","767","716","629","604","621","612","591","608","571","574","538","571","664","620"
"29","Totale","2004","1917","1740","1793","1584","1461","1332","1231","1228","1187","1191","1199","1127","1125","1106","1154","1290","1250"
"30","Maschi","1046","990","1001","851","929","770","733","706","654","622","605","630","614","578","575","565","605","639"
"30","Femmine","981","1009","933","949","858","759","697","640","611","640","597","609","610","567","572","589","612","678"
"30","Totale","2027","1999","1934","1800","1787","1529","1430","1346","1265","1262","1202","1239","1224","1145","1147","1154","1217","1317"
"31","Maschi","1011","1052","996","1007","847","885","773","717","689","687","625","641","648","620","597","609","581","605"
"31","Femmine","1032","987","1029","918","915","849","742","703","656","645","644","608","620","616","593","593","611","628"
"31","Totale","2043","2039","2025","1925","1762","1734","1515","1420","1345","1332","1269","1249","1268","1236","1190","1202","1192","1233"
"32","Maschi","1115","1021","1088","1020","1007","814","858","768","727","716","678","643","647","651","640","607","660","605"
"32","Femmine","1071","1039","1014","1038","897","895","819","765","718","683","674","660","602","616","639","601","619","615"
"32","Totale","2186","2060","2102","2058","1904","1709","1677","1533","1445","1399","1352","1303","1249","1267","1279","1208","1279","1220"
"33","Maschi","1114","1117","1031","1102","1015","1009","800","867","780","745","736","714","656","661","644","634","624","668"
"33","Femmine","1051","1091","1080","1008","1031","898","897","840","779","757","672","668","661","614","620","647","620","623"
"33","Totale","2165","2208","2111","2110","2046","1907","1697","1707","1559","1502","1408","1382","1317","1275","1264","1281","1244","1291"
"34","Maschi","1111","1125","1130","1062","1080","987","980","812","872","804","731","764","744","663","678","657","644","631"
