"Età","Sesso","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"0","Maschi","10","10","7","9","15","19","13","13","13","17","11","9","13","6","9","14","6","9"
"0","Femmine","13","14","9","5","12","10","5","20","16","11","13","10","12","14","9","11","13","6"
"0","Totale","23","24","16","14","27","29","18","33","29","28","24","19","25","20","18","25","19","15"
"1","Maschi","10","13","12","9","10","16","21","9","15","12","15","12","8","15","6","9","12","6"
"1","Femmine","10","10","16","8","4","15","11","6","21","16","11","11","10","13","13","8","12","15"
"1","Totale","20","23","28","17","14","31","32","15","36","28","26","23","18","28","19","17","24","21"
"2","Maschi","9","11","10","12","7","8","15","18","11","14","12","13","12","8","14","5","8","11"
"2","Femmine","8","9","11","16","13","3","15","11","11","17","14","13","11","10","15","14","8","10"
"2","Totale","17","20","21","28","20","11","30","29","22","31","26","26","23","18","29","19","16","21"
"3","Maschi","9","9","10","10","11","8","8","10","18","10","13","14","11","10","10","14","4","7"
"3","Femmine","11","8","6","10","15","13","5","13","13","10","16","13","14","12","9","15","13","7"
"3","Totale","20","17","16","20","26","21","13","23","31","20","29","27","25","22","19","29","17","14"
"4","Maschi","9","9","10","13","9","11","9","7","10","19","10","15","15","11","13","8","10","6"
"4","Femmine","7","10","8","6","13","14","8","6","14","14","10","16","14","14","12","10","18","13"
"4","Totale","16","19","18","19","22","25","17","13","24","33","20","31","29","25","25","18","28","19"
"5","Maschi","15","10","9","10","12","10","13","10","11","11","19","9","15","13","13","11","10","9"
"5","Femmine","5","6","9","9","8","14","13","7","5","13","13","10","12","14","14","10","13","18"
"5","Totale","20","16","18","19","20","24","26","17","16","24","32","19","27","27","27","21","23","27"
"6","Maschi","8","16","9","9","11","14","10","13","8","11","10","20","10","14","13","13","13","11"
"6","Femmine","9","3","4","8","10","8","14","13","7","4","12","13","10","14","14","13","11","12"
"6","Totale","17","19","13","17","21","22","24","26","15","15","22","33","20","28","27","26","24","23"
"7","Maschi","11","7","16","9","10","10","13","10","13","10","9","9","21","10","16","13","11","11"
