"Età","Sesso","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"0","Maschi","4","6","2","6","3","2","6","6","7","7","6","8","5","4","3","4","2","3"
"0","Femmine","3","5","5","2","4","5","5","6","3","6","2","3","4","1","2","9","3","1"
"0","Totale","7","11","7","8","7","7","11","12","10","13","8","11","9","5","5","13","5","4"
"1","Maschi","8","4","10","2","5","3","4","5","7","8","7","5","8","5","4","3","4","1"
"1","Femmine","5","4","5","5","2","4","4","5","4","3","4","2","3","5","1","2","8","4"
"1","Totale","13","8","15","7","7","7","8","10","11","11","11","7","11","10","5","5","12","5"
"2","Maschi","1","8","4","10","3","6","3","4","3","7","6","8","4","8","5","5","3","3"
"2","Femmine","6","5","5","5","5","4","2","3","5","4","3","4","2","4","2","1","2","8"
"2","Totale","7","13","9","15","8","10","5","7","8","11","9","12","6","12","7","6","5","11"
"3","Maschi","5","2","8","3","10","3","7","4","4","4","8","6","7","4","9","5","5","3"
"3","Femmine","2","7","8","6","6","5","4","2","5","5","5","3","4","2","4","4","1","2"
"3","Totale","7","9","16","9","16","8","11","6","9","9","13","9","11","6","13","9","6","5"
"4","Maschi","1","5","3","6","3","8","3","7","4","4","3","7","6","4","6","6","4","5"
"4","Femmine","2","3","7","8","6","4","7","3","1","5","6","3","3","4","2","6","5","2"
"4","Totale","3","8","10","14","9","12","10","10","5","9","9","10","9","8","8","12","9","7"
"5","Maschi","7","1","5","2","6","3","7","3","6","4","4","4","7","6","4","5","6","4"
"5","Femmine","5","2","3","8","6","8","3","7","2","1","5","5","3","3","4","2","6","5"
"5","Totale","12","3","8","10","12","11","10","10","8","5","9","9","10","9","8","7","12","9"
"6","Maschi","3","9","2","5","2","8","3","7","2","6","4","4","3","6","5","6","5","6"
"6","Femmine","4","5","2","5","7","5","8","3","7","3","1","5","4","2","3","4","2","5"
"6","Totale","7","14","4","10","9","13","11","10","9","9","5","9","7","8","8","10","7","11"
"7","Maschi","4","3","9","1","5","1","8","4","6","2","8","3","4","3","7","5","6","5"
"7","Femmine","4","5","6","3","4","8","5","8","4","7","3","0","3","5","3","4","5","2"
"7","Totale","8","8","15","4","9","9","13","12","10","9","11","3","7","8","10","9","11","7"
"8","Maschi","2","4","5","8","1","5","1","8","3","6","2","7","3","4","3","7","4","5"
