latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
45.51845,8.901099,186.0,3600,Europe/Berlin,CET

time,temperature_2m_mean (°C),precipitation_sum (mm),precipitation_hours (h),wind_speed_10m_max (km/h),shortwave_radiation_sum (MJ/m²)
2010-01-01,3.1,0.00,0.0,6.5,3.03
2010-01-02,2.0,0.00,0.0,31.0,6.87
2010-01-03,-1.3,0.00,0.0,12.6,5.51
2010-01-04,-1.3,1.00,5.0,9.2,2.99
2010-01-05,-0.3,0.00,0.0,6.9,4.28
2010-01-06,0.7,0.00,0.0,6.1,6.60
2010-01-07,1.4,1.80,3.0,12.5,4.30
2010-01-08,1.5,30.70,24.0,13.9,1.02
2010-01-09,2.5,17.40,18.0,12.1,1.06
2010-01-10,3.4,5.00,8.0,10.8,4.33
2010-01-11,1.3,0.00,0.0,5.4,4.10
2010-01-12,1.7,0.70,4.0,8.1,4.33
2010-01-13,2.2,2.60,10.0,10.1,2.61
2010-01-14,1.6,0.20,1.0,8.4,1.97
2010-01-15,1.9,0.00,0.0,7.6,6.27
2010-01-16,1.2,0.00,0.0,7.4,3.32
2010-01-17,0.9,0.00,0.0,6.6,5.82
2010-01-18,0.9,0.00,0.0,6.1,6.99
2010-01-19,-0.4,0.00,0.0,6.2,6.42
2010-01-20,0.1,0.00,0.0,6.5,4.27
2010-01-21,0.1,0.00,0.0,7.6,7.06
2010-01-22,-0.6,0.00,0.0,7.8,4.95
2010-01-23,-0.2,0.00,0.0,6.9,4.67
2010-01-24,-0.8,0.00,0.0,7.0,5.54
2010-01-25,0.3,0.00,0.0,8.6,3.79
2010-01-26,0.4,0.60,3.0,9.2,5.63
2010-01-27,0.0,0.00,0.0,8.0,6.49
2010-01-28,0.7,0.00,0.0,10.5,8.19
2010-01-29,-0.2,0.50,3.0,8.5,6.23
2010-01-30,0.5,0.00,0.0,18.1,8.65
2010-01-31,0.4,0.00,0.0,18.4,8.89
2010-02-01,-1.0,0.00,0.0,9.3,9.84
2010-02-02,-0.2,0.00,0.0,8.2,9.43
2010-02-03,0.2,0.00,0.0,8.3,9.39
2010-02-04,1.8,0.60,3.0,8.3,5.17
2010-02-05,1.4,31.80,24.0,9.4,1.27
2010-02-06,2.2,0.20,1.0,8.7,8.55
2010-02-07,1.4,0.00,0.0,7.2,10.32
2010-02-08,1.1,0.00,0.0,8.9,5.06
2010-02-09,0.9,0.00,0.0,9.0,4.35
2010-02-10,2.3,0.00,0.0,13.7,9.68
2010-02-11,1.6,2.70,10.0,13.0,5.50
2010-02-12,2.1,1.50,5.0,8.4,10.85
2010-02-13,1.6,0.00,0.0,10.4,11.56
2010-02-14,1.4,0.60,2.0,8.6,8.73
2010-02-15,0.5,0.10,1.0,8.0,9.03
2010-02-16,2.2,0.10,1.0,9.5,3.97
2010-02-17,3.2,8.20,14.0,8.6,1.77
2010-02-18,5.1,5.20,8.0,8.4,7.10
2010-02-19,5.0,29.30,18.0,18.7,1.10
2010-02-20,5.0,0.00,0.0,19.9,9.88
2010-02-21,3.0,2.90,5.0,12.2,12.00
2010-02-22,3.8,6.50,17.0,12.2,2.80
2010-02-23,5.2,4.20,8.0,6.4,5.79
2010-02-24,5.0,0.10,1.0,8.2,8.09
2010-02-25,6.3,2.20,4.0,7.4,9.45
2010-02-26,8.1,8.20,10.0,9.4,8.80
2010-02-27,6.1,0.60,3.0,11.0,12.13
2010-02-28,5.5,5.40,15.0,10.8,3.13
2010-03-01,5.0,0.00,0.0,7.0,11.82
2010-03-02,7.9,0.00,0.0,9.1,14.27
2010-03-03,6.2,13.90,12.0,12.1,4.64
2010-03-04,7.0,6.70,8.0,12.8,9.05
2010-03-05,4.3,0.00,0.0,31.3,13.47
2010-03-06,2.4,0.00,0.0,9.1,16.01
2010-03-07,2.1,3.30,11.0,18.1,7.34
2010-03-08,1.4,0.00,0.0,12.7,13.68
2010-03-09,0.4,3.70,10.0,13.0,9.93
2010-03-10,-0.2,11.70,24.0,9.3,4.64
2010-03-11,1.9,0.90,6.0,5.4,11.46
2010-03-12,3.4,0.00,0.0,7.1,16.32
2010-03-13,5.2,0.00,0.0,7.5,17.09
2010-03-14,5.4,0.00,0.0,9.3,17.53
2010-03-15,7.5,0.00,0.0,15.5,17.43
2010-03-16,7.0,0.00,0.0,10.9,17.40
2010-03-17,7.8,0.00,0.0,9.1,16.67
2010-03-18,8.1,0.00,0.0,9.8,10.01
2010-03-19,9.6,0.00,0.0,7.1,9.86
2010-03-20,9.0,1.70,13.0,7.3,2.24
2010-03-21,9.9,0.30,2.0,6.1,3.98
2010-03-22,10.5,2.30,12.0,7.9,3.45
2010-03-23,12.1,0.30,3.0,8.0,10.87
2010-03-24,11.3,8.00,13.0,6.8,11.64
2010-03-25,11.7,10.70,22.0,9.2,9.55
2010-03-26,11.1,14.40,18.0,27.8,6.40
2010-03-27,8.7,0.00,0.0,8.4,15.26
2010-03-28,10.3,0.00,0.0,11.2,19.35
2010-03-29,10.8,0.80,6.0,12.4,11.22
2010-03-30,9.8,28.90,20.0,21.1,5.67
2010-03-31,9.7,0.00,0.0,10.0,19.45
2010-04-01,7.5,6.70,11.0,15.9,13.64
2010-04-02,7.1,0.00,0.0,9.2,20.75
2010-04-03,7.3,10.70,16.0,10.5,8.31
2010-04-04,7.7,23.90,23.0,16.2,4.37
2010-04-05,9.9,0.00,0.0,22.8,22.76
