"","x"
"1",5707
"2",5707
"3",5707
"4",5707
"5",5707
"6",5707
"7",5707
"8",5707
"9",5707
"10",5707
"11",5707
"12",5707
"13",5707
"14",5707
"15",5707
"16",5707
"17",5707
"18",5707
"19",5707
"20",5707
"21",5707
"22",5707
"23",5707
"24",5707
"25",5707
"26",5707
"27",5707
"28",5707
"29",5707
"30",5707
"31",5707
"32",5707
"33",5707
"34",5707
"35",5707
"36",5707
"37",5707
"38",5707
"39",5707
"40",5707
"41",5710
"42",5710
"43",5710
"44",5710
"45",5710
"46",5710
"47",5710
"48",5710
"49",5710
"50",5710
"51",5710
"52",5710
"53",5710
"54",5710
"55",5710
"56",5710
"57",5710
"58",5710
"59",5710
"60",5710
"61",5710
"62",5710
"63",5710
"64",5710
"65",5717
"66",5717
"67",5717
"68",5717
"69",5717
"70",5717
"71",5717
"72",5717
"73",5717
"74",5717
"75",5717
"76",5717
"77",5717
"78",5717
"79",5717
"80",5717
"81",5717
"82",5717
"83",5717
"84",5717
"85",5717
"86",5717
"87",5717
"88",5717
"89",5718
"90",5718
"91",5718
"92",5718
"93",5718
"94",5718
"95",5718
"96",5718
"97",5718
"98",5718
"99",5718
"100",5718
"101",5718
"102",5718
"103",5718
"104",5718
"105",5718
"106",5718
"107",5718
"108",5718
"109",5719
"110",5719
"111",5719
"112",5719
"113",5719
"114",5719
"115",5719
"116",5719
"117",5719
"118",5719
"119",5719
"120",5719
"121",5719
"122",5719
"123",5719
"124",5719
"125",5719
"126",5719
"127",5719
"128",5719
"129",5719
"130",5719
"131",5719
"132",5719
"133",5719
"134",5719
"135",5719
"136",5719
"137",5719
"138",5719
"139",5719
"140",5719
"141",5719
"142",5719
"143",5719
"144",5719
"145",5719
"146",5719
"147",5719
"148",5719
"149",5721
"150",5721
"151",5721
"152",5721
"153",5721
"154",5721
"155",5721
"156",5721
"157",5721
"158",5721
"159",5721
"160",5721
"161",5721
"162",5721
"163",5721
"164",5721
"165",5721
"166",5721
"167",5721
"168",5721
"169",5725
"170",5725
"171",5725
"172",5725
"173",5725
"174",5725
"175",5725
"176",5725
"177",5725
"178",5725
"179",5725
"180",5725
"181",5725
"182",5725
"183",5725
"184",5730
"185",5730
"186",5730
"187",5730
"188",5730
"189",5730
"190",5730
"191",5730
"192",5730
"193",5730
"194",5730
"195",5730
"196",5730
"197",5730
"198",5730
"199",5730
"200",5730
"201",5730
"202",5730
"203",5730
"204",5730
"205",5730
"206",5730
"207",5730
"208",5730
"209",5730
"210",5730
"211",5730
"212",5730
"213",5730
"214",5730
"215",5730
"216",5730
"217",5730
"218",5730
"219",5730
"220",5730
"221",5730
"222",5730
"223",5730
"224",5730
"225",5730
"226",5730
"227",5730
"228",5730
"229",5730
"230",5730
"231",5730
"232",5730
"233",5730
"234",5732
"235",5732
"236",5732
"237",5732
"238",5732
"239",5732
"240",5732
"241",5732
"242",5732
"243",5732
"244",5732
"245",5732
"246",5732
"247",5732
"248",5732
"249",5732
"250",5732
"251",5732
"252",5732
"253",5732
"254",5732
"255",5732
"256",5732
"257",5732
"258",5732
"259",5732
"260",5732
"261",5732
"262",5732
"263",5732
"264",5735
"265",5735
"266",5735
"267",5735
"268",5735
"269",5735
"270",5735
"271",5735
"272",5735
"273",5735
"274",5735
"275",5735
"276",5735
"277",5735
"278",5735
"279",5735
"280",5735
"281",5735
"282",5735
"283",5735
"284",5735
"285",5735
"286",5738
"287",5738
"288",5738
"289",5738
"290",5738
"291",5738
"292",5738
"293",5738
"294",5738
"295",5738
"296",5738
"297",5738
"298",5738
"299",5738
"300",5738
"301",5738
"302",5738
"303",5738
"304",5738
"305",5738
"306",5738
"307",5738
"308",5738
"309",5738
"310",5739
"311",5742
"312",5742
"313",5742
"314",5742
"315",5742
"316",5742
"317",5742
"318",5742
"319",5742
"320",5742
"321",5742
"322",5742
"323",5742
"324",5742
"325",5742
"326",5742
"327",5742
"328",5742
"329",5742
"330",5742
"331",5742
"332",5749
"333",5749
"334",5749
"335",5749
"336",5749
"337",5749
"338",5749
"339",5749
"340",5749
"341",5749
"342",5749
"343",5749
"344",5749
"345",5749
"346",5749
"347",5749
"348",5749
"349",5749
"350",5749
"351",5749
"352",5749
"353",5749
"354",5749
"355",5749
"356",5749
"357",5749
"358",5749
"359",5749
"360",5749
"361",5749
"362",5749
"363",5749
"364",5749
"365",5749
"366",5749
"367",5749
"368",5749
"369",5749
"370",5749
"371",5749
"372",5749
"373",5749
"374",5749
"375",5749
"376",5749
"377",5749
"378",5749
"379",5749
"380",5749
"381",5750
"382",5750
"383",5750
"384",5750
"385",5750
"386",5750
"387",5750
"388",5750
"389",5750
"390",5750
"391",5750
"392",5750
"393",5750
"394",5750
"395",5750
"396",5750
"397",5750
"398",5750
"399",5750
"400",5750
"401",5750
"402",5750
"403",5750
"404",5750
"405",5750
"406",5750
"407",5750
"408",5750
"409",5750
"410",5750
"411",5750
"412",5750
"413",5750
"414",5750
"415",5750
"416",5750
"417",5750
"418",5750
"419",5750
"420",5750
"421",5750
"422",5750
"423",5750
"424",5952
"425",5952
"426",5952
"427",5952
"428",5952
"429",5952
"430",5952
"431",5952
"432",5952
"433",5952
"434",5952
"435",5952
"436",5952
"437",5952
"438",5952
"439",5952
"440",5952
"441",5952
"442",5952
"443",5952
"444",5952
"445",5960
"446",5960
"447",5960
"448",5960
"449",5960
"450",5960
"451",5960
"452",5960
"453",5960
"454",5960
"455",5960
"456",5960
"457",5960
"458",5960
"459",5960
"460",5960
"461",5960
"462",5960
"463",5960
"464",5960
"465",5960
"466",5960
"467",5960
"468",5960
"469",5960
"470",5960
"471",5960
"472",6582
"473",6582
"474",6582
"475",6582
"476",6582
"477",6582
"478",6582
"479",6582
"480",6582
"481",6582
"482",6582
"483",6582
"484",6582
"485",6582
