latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
45.199997,9.900009,50.0,3600,Europe/Berlin,CET

time,temperature_2m_mean (°C),precipitation_sum (mm),precipitation_hours (h),windspeed_10m_max (km/h)
2010-01-01,4.4,1.60,6.0,8.1
2010-01-02,3.5,1.90,5.0,14.6
2010-01-03,-0.1,0.00,0.0,11.6
2010-01-04,-0.1,0.30,3.0,7.0
2010-01-05,-0.3,2.10,7.0,6.4
2010-01-06,1.6,0.70,5.0,6.8
2010-01-07,2.9,1.40,7.0,12.8
2010-01-08,2.7,20.90,24.0,12.8
2010-01-09,3.7,21.40,17.0,12.0
2010-01-10,3.8,1.10,3.0,14.1
2010-01-11,1.1,0.00,0.0,8.7
2010-01-12,2.9,0.00,0.0,6.6
2010-01-13,3.1,3.20,12.0,5.8
2010-01-14,3.0,0.00,0.0,9.5
2010-01-15,4.1,0.00,0.0,7.6
2010-01-16,2.5,0.00,0.0,7.4
2010-01-17,2.5,0.00,0.0,5.3
2010-01-18,1.1,0.00,0.0,8.0
2010-01-19,-0.3,0.00,0.0,8.2
2010-01-20,-0.1,0.00,0.0,5.5
2010-01-21,-0.5,0.00,0.0,6.6
2010-01-22,-0.4,0.00,0.0,4.8
2010-01-23,1.2,0.00,0.0,5.4
2010-01-24,0.5,0.00,0.0,8.0
2010-01-25,0.6,0.00,0.0,8.3
2010-01-26,1.0,1.10,5.0,10.4
2010-01-27,0.2,0.00,0.0,7.1
2010-01-28,0.5,0.00,0.0,14.3
2010-01-29,0.3,2.20,5.0,10.6
2010-01-30,1.0,0.50,2.0,8.6
2010-01-31,-1.2,6.70,9.0,10.0
2010-02-01,-1.3,0.00,0.0,11.5
2010-02-02,-1.1,0.00,0.0,13.0
2010-02-03,2.0,0.00,0.0,11.5
2010-02-04,2.5,0.00,0.0,5.0
2010-02-05,3.3,22.60,24.0,14.5
2010-02-06,4.6,3.60,5.0,13.0
2010-02-07,3.7,0.00,0.0,6.7
2010-02-08,2.6,0.00,0.0,9.7
2010-02-09,2.3,0.00,0.0,13.2
2010-02-10,3.4,1.10,4.0,8.3
2010-02-11,2.8,5.90,18.0,17.7
2010-02-12,3.0,1.10,4.0,10.3
2010-02-13,3.5,0.00,0.0,9.1
2010-02-14,2.8,0.50,3.0,11.0
2010-02-15,2.2,0.00,0.0,8.2
2010-02-16,3.1,0.60,6.0,9.2
2010-02-17,4.2,7.10,13.0,5.1
2010-02-18,5.8,5.20,8.0,10.9
2010-02-19,7.0,28.10,18.0,26.0
2010-02-20,5.8,5.30,10.0,12.6
2010-02-21,4.3,0.70,2.0,14.2
2010-02-22,5.5,2.60,9.0,12.4
2010-02-23,6.0,5.90,10.0,5.9
2010-02-24,6.6,0.00,0.0,7.2
2010-02-25,7.6,1.10,3.0,10.1
2010-02-26,9.6,9.20,11.0,19.8
2010-02-27,8.6,0.00,0.0,18.4
2010-02-28,7.9,0.00,0.0,9.0
2010-03-01,7.0,0.00,0.0,11.3
2010-03-02,8.7,0.00,0.0,8.4
2010-03-03,7.1,8.90,11.0,23.3
2010-03-04,7.2,7.20,14.0,23.0
2010-03-05,2.8,33.80,23.0,11.6
2010-03-06,2.2,0.00,0.0,16.9
2010-03-07,3.7,0.90,4.0,27.0
2010-03-08,1.9,0.00,0.0,17.7
2010-03-09,1.3,4.30,10.0,26.6
2010-03-10,0.1,21.00,23.0,9.8
2010-03-11,1.9,0.20,2.0,6.1
2010-03-12,4.0,0.00,0.0,6.8
2010-03-13,5.5,0.00,0.0,7.2
2010-03-14,6.5,0.00,0.0,5.7
2010-03-15,7.0,0.60,3.0,8.3
2010-03-16,7.2,0.00,0.0,16.5
2010-03-17,8.7,0.00,0.0,10.9
2010-03-18,9.3,0.00,0.0,9.9
2010-03-19,9.2,0.00,0.0,9.4
2010-03-20,9.8,0.00,0.0,7.4
2010-03-21,10.8,0.00,0.0,4.4
2010-03-22,11.1,11.70,24.0,7.3
2010-03-23,12.2,1.70,6.0,6.4
2010-03-24,12.4,0.10,1.0,9.7
2010-03-25,12.8,0.10,1.0,7.9
2010-03-26,12.8,2.80,12.0,20.1
2010-03-27,11.4,0.00,0.0,9.7
2010-03-28,11.9,0.00,0.0,12.4
2010-03-29,12.0,0.00,0.0,8.4
2010-03-30,11.4,8.40,9.0,18.4
2010-03-31,11.2,0.70,3.0,14.4
2010-04-01,9.0,12.90,11.0,14.0
2010-04-02,8.4,0.00,0.0,9.2
2010-04-03,9.7,1.30,5.0,9.3
2010-04-04,10.6,7.90,9.0,19.5
2010-04-05,11.6,4.50,5.0,15.2
2010-04-06,10.6,0.00,0.0,9.6
2010-04-07,11.3,0.00,0.0,8.9
2010-04-08,12.4,0.00,0.0,7.4
2010-04-09,14.4,0.00,0.0,6.5
2010-04-10,14.8,0.00,0.0,16.8
2010-04-11,10.6,5.60,8.0,23.7
2010-04-12,9.6,0.00,0.0,7.8
2010-04-13,9.9,0.00,0.0,8.1
2010-04-14,10.8,0.00,0.0,12.6
2010-04-15,11.1,0.00,0.0,8.2
2010-04-16,11.7,6.10,8.0,8.9
2010-04-17,11.5,8.80,17.0,12.4
2010-04-18,11.6,5.00,12.0,9.0
2010-04-19,13.3,0.00,0.0,9.4
2010-04-20,14.5,0.00,0.0,13.2
2010-04-21,15.2,0.00,0.0,13.0
2010-04-22,14.9,0.20,1.0,10.8
2010-04-23,13.6,8.80,21.0,12.3
2010-04-24,14.4,2.80,9.0,11.1
2010-04-25,16.3,0.00,0.0,8.3
2010-04-26,18.2,2.20,4.0,7.0
2010-04-27,16.2,9.40,12.0,9.5
2010-04-28,16.7,0.00,0.0,6.3
2010-04-29,18.1,0.00,0.0,5.9
2010-04-30,17.7,0.00,0.0,8.5
2010-05-01,17.1,0.00,0.0,8.9
2010-05-02,16.5,9.70,17.0,14.4
2010-05-03,16.7,8.80,16.0,12.5
2010-05-04,14.4,28.60,23.0,23.6
2010-05-05,14.6,54.20,21.0,30.3
2010-05-06,12.4,3.50,5.0,11.2
2010-05-07,12.9,1.20,6.0,6.9
2010-05-08,14.0,0.00,0.0,9.7
2010-05-09,14.9,1.30,4.0,7.6
2010-05-10,14.9,3.30,11.0,10.7
2010-05-11,14.9,20.20,22.0,14.4
2010-05-12,15.7,12.30,18.0,9.0
2010-05-13,14.8,8.60,19.0,8.8
2010-05-14,14.8,5.70,14.0,6.2
2010-05-15,14.1,3.00,9.0,12.6
2010-05-16,15.7,0.00,0.0,11.0
2010-05-17,16.0,0.00,0.0,12.4
2010-05-18,16.6,0.00,0.0,15.6
2010-05-19,14.8,2.30,6.0,9.4
2010-05-20,16.2,0.00,0.0,9.0
2010-05-21,18.1,1.30,2.0,6.9
2010-05-22,18.8,0.80,1.0,6.6
2010-05-23,20.2,0.00,0.0,8.7
2010-05-24,20.9,0.00,0.0,9.4
2010-05-25,20.0,0.00,0.0,13.3
2010-05-26,19.7,0.00,0.0,11.0
2010-05-27,17.2,3.90,5.0,11.9
2010-05-28,18.2,0.50,1.0,6.1
2010-05-29,18.7,1.40,6.0,7.3
2010-05-30,19.1,1.20,4.0,14.1
2010-05-31,20.0,0.20,2.0,23.5
2010-06-01,18.7,0.00,0.0,13.4
2010-06-02,20.0,0.70,3.0,11.4
2010-06-03,18.8,1.80,4.0,15.2
2010-06-04,21.3,0.00,0.0,9.0
2010-06-05,22.4,0.00,0.0,10.7
2010-06-06,23.5,0.00,0.0,8.1
2010-06-07,21.7,2.50,7.0,8.7
2010-06-08,22.6,0.20,1.0,8.3
2010-06-09,23.2,0.00,0.0,11.2
2010-06-10,24.5,0.00,0.0,15.5
2010-06-11,24.5,0.00,0.0,10.6
2010-06-12,24.6,3.40,5.0,11.7
2010-06-13,23.4,0.90,2.0,12.6
2010-06-14,21.5,0.00,0.0,11.6
2010-06-15,20.6,10.50,18.0,18.4
2010-06-16,20.4,33.10,17.0,15.7
2010-06-17,18.3,20.20,14.0,13.8
2010-06-18,19.2,0.20,1.0,14.0
2010-06-19,18.3,18.20,14.0,10.5
2010-06-20,15.2,27.00,23.0,8.7
2010-06-21,18.4,1.40,5.0,8.8
2010-06-22,19.7,0.00,0.0,6.4
2010-06-23,20.8,0.00,0.0,8.7
2010-06-24,21.4,0.00,0.0,7.8
2010-06-25,22.0,0.00,0.0,9.4
2010-06-26,22.9,0.10,1.0,7.6
2010-06-27,23.6,0.00,0.0,8.3
2010-06-28,24.4,0.40,1.0,8.7
2010-06-29,24.3,2.20,6.0,8.8
2010-06-30,24.7,0.00,0.0,6.7
2010-07-01,25.5,0.00,0.0,6.1
2010-07-02,26.3,0.00,0.0,5.1
2010-07-03,26.7,0.30,1.0,8.2
2010-07-04,27.1,0.30,1.0,9.0
2010-07-05,25.7,2.10,7.0,13.4
2010-07-06,24.5,7.00,6.0,12.6
2010-07-07,24.3,0.00,0.0,16.9
2010-07-08,24.4,0.00,0.0,13.7
2010-07-09,24.9,0.00,0.0,7.9
2010-07-10,26.6,0.00,0.0,7.4
2010-07-11,27.4,0.00,0.0,7.8
2010-07-12,27.5,0.40,2.0,8.2
2010-07-13,27.2,0.00,0.0,8.7
2010-07-14,27.3,0.10,1.0,5.9
2010-07-15,28.2,0.00,0.0,10.2
2010-07-16,28.5,0.00,0.0,8.0
2010-07-17,29.1,0.00,0.0,11.8
2010-07-18,27.0,0.00,0.0,16.7
2010-07-19,26.0,0.00,0.0,10.5
2010-07-20,26.0,0.00,0.0,9.7
2010-07-21,26.9,0.00,0.0,7.9
2010-07-22,27.7,0.00,0.0,7.2
2010-07-23,26.1,4.60,7.0,9.8
2010-07-24,24.6,0.00,0.0,14.8
2010-07-25,24.1,0.40,2.0,11.3
2010-07-26,22.5,0.00,0.0,17.8
2010-07-27,22.1,2.80,4.0,7.9
2010-07-28,24.4,0.00,0.0,9.5
2010-07-29,21.3,26.80,15.0,11.6
2010-07-30,20.1,6.10,11.0,10.2
2010-07-31,21.4,0.00,0.0,6.9
2010-08-01,23.3,0.00,0.0,6.2
2010-08-02,25.0,0.00,0.0,7.1
2010-08-03,24.3,0.10,1.0,12.1
2010-08-04,22.8,4.00,3.0,11.2
2010-08-05,18.2,72.20,16.0,17.5
2010-08-06,21.0,0.30,1.0,10.1
2010-08-07,21.7,0.00,0.0,6.9
