"Età","Sesso","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"0","Maschi","844","943","852","965","868","893","913","932","891","921","912","830","819","788","784","783","762","774"
"0","Femmine","865","787","815","945","826","888","880","907","805","923","841","810","761","759","748","758","682","690"
"0","Totale","1709","1730","1667","1910","1694","1781","1793","1839","1696","1844","1753","1640","1580","1547","1532","1541","1444","1464"
"1","Maschi","884","843","961","830","928","853","861","916","916","890","911","900","824","823","797","794","783","758"
"1","Femmine","829","849","771","799","912","799","866","853","915","791","913","846","812","761","791","767","770","691"
"1","Totale","1713","1692","1732","1629","1840","1652","1727","1769","1831","1681","1824","1746","1636","1584","1588","1561","1553","1449"
"2","Maschi","821","890","842","943","801","914","851","855","905","933","879","911","892","816","826","799","803","789"
"2","Femmine","791","832","839","770","786","884","801","866","839","908","782","898","840","827","770","776","766","782"
"2","Totale","1612","1722","1681","1713","1587","1798","1652","1721","1744","1841","1661","1809","1732","1643","1596","1575","1569","1571"
"3","Maschi","821","823","929","841","922","899","898","884","868","928","941","892","899","907","836","818","812","807"
"3","Femmine","777","782","831","823","756","829","857","804","852","862","903","807","915","853","856","776","788","764"
"3","Totale","1598","1605","1760","1664","1678","1728","1755","1688","1720","1790","1844","1699","1814","1760","1692","1594","1600","1571"
"4","Maschi","828","832","828","925","843","899","882","882","875","874","940","920","871","923","902","857","805","821"
"4","Femmine","753","764","783","833","822","752","818","849","799","862","854","898","802","919","858","849","791","785"
"4","Totale","1581","1596","1611","1758","1665","1651","1700","1731","1674","1736","1794","1818","1673","1842","1760","1706","1596","1606"
"5","Maschi","764","843","823","825","919","844","892","877","886","888","867","961","923","893","912","897","867","804"
"5","Femmine","781","750","776","789","845","808","740","822","834","812","865","866","910","820","922","852","848","799"
"5","Totale","1545","1593","1599","1614","1764","1652","1632","1699","1720","1700","1732","1827","1833","1713","1834","1749","1715","1603"
"6","Maschi","748","754","856","817","814","910","854","895","851","892","878","857","946","919","895","929","879","879"
"6","Femmine","762","775","749","773","786","844","797","749","826","834","815","850","876","914","830","926","861","836"
"6","Totale","1510","1529","1605","1590","1600","1754","1651","1644","1677","1726","1693","1707","1822","1833","1725","1855","1740","1715"
"7","Maschi","740","755","771","860","827","797","898","878","874","861","874","865","866","934","919","897","916","883"
"7","Femmine","692","760","787","752","773","785","851","805","755","837","819","814","842","871","910","829","918","861"
"7","Totale","1432","1515","1558","1612","1600","1582","1749","1683","1629","1698","1693","1679","1708","1805","1829","1726","1834","1744"
"8","Maschi","840","749","768","762","867","835","794","907","882","881","853","868","864","859","947","921","886","928"
"8","Femmine","716","707","767","791","767","776","792","860","813","767","840","821","806","847","872","916","825","923"
"8","Totale","1556","1456","1535","1553","1634","1611","1586","1767","1695","1648","1693","1689","1670","1706","1819","1837","1711","1851"
"9","Maschi","805","847","758","776","783","856","843","804","909","890","877","853","875","866","865","951","916","892"
"9","Femmine","705","730","716","765","807","772","766","794","856","820","772","840","823","812","843","878","902","839"
"9","Totale","1510","1577","1474","1541","1590","1628","1609","1598","1765","1710","1649","1693","1698","1678","1708","1829","1818","1731"
"10","Maschi","745","824","861","769","807","782","861","865","812","918","895","874","851","874","882","864","950","913"
"10","Femmine","783","696","735","728","771","804","780","778","797","873","818","760","843","827","808","851","881","917"
"10","Totale","1528","1520","1596","1497","1578","1586","1641","1643","1609","1791","1713","1634","1694","1701","1690","1715","1831","1830"
"11","Maschi","790","758","834","874","781","805","788","882","871","821","918","890","881","854","873","891","863","958"
"11","Femmine","741","772","715","733","740","779","807","787","782","819","886","821","758","850","829","819","871","889"
"11","Totale","1531","1530","1549","1607","1521","1584","1595","1669","1653","1640","1804","1711","1639","1704","1702","1710","1734","1847"
"12","Maschi","739","787","767","848","890","794","808","801","906","895","832","934","890","893","871","880","888","877"
"12","Femmine","707","751","779","730","743","743","784","818","791","790","826","881","826","783","863","835","831","903"
"12","Totale","1446","1538","1546","1578","1633","1537","1592","1619","1697","1685","1658","1815","1716","1676","1734","1715","1719","1780"
"13","Maschi","808","747","787","780","871","898","812","826","813","923","897","851","939","893","890","872","889","893"
"13","Femmine","711","713","758","789","730","751","740","802","823","815","810","819","891","836","780","860","834","842"
"13","Totale","1519","1460","1545","1569","1601","1649","1552","1628","1636","1738","1707","1670","1830","1729","1670","1732","1723","1735"
"14","Maschi","694","810","759","797","800","888","908","825","830","841","941","907","867","949","900","905","879","913"
"14","Femmine","648","716","724","766","802","729","760","749","826","835","822","809","826","900","846","774","856","849"
"14","Totale","1342","1526","1483","1563","1602","1617","1668","1574","1656","1676","1763","1716","1693","1849","1746","1679","1735","1762"
"15","Maschi","721","708","832","767","811","803","896","938","845","855","859","962","931","881","970","906","912","885"
"15","Femmine","604","657","724","735","783","803","740","786","763","848","851","828","826","839","908","855","774","871"
"15","Totale","1325","1365","1556","1502","1594","1606","1636","1724","1608","1703","1710","1790","1757","1720","1878","1761","1686","1756"
"16","Maschi","732","725","720","859","789","812","816","925","947","867","866","869","973","950","894","968","906","932"
"16","Femmine","683","623","670","739","758","804","814","760","807","798","862","862","822","835","843","916","845","793"
"16","Totale","1415","1348","1390","1598","1547","1616","1630","1685","1754","1665","1728","1731","1795","1785","1737","1884","1751","1725"
"17","Maschi","769","740","734","741","883","798","818","830","959","981","892","879","880","979","958","913","972","923"
"17","Femmine","707","685","625","697","747","760","815","833","777","831","812","871","876","835","842","855","922","863"
"17","Totale","1476","1425","1359","1438","1630","1558","1633","1663","1736","1812","1704","1750","1756","1814","1800","1768","1894","1786"
"18","Maschi","779","805","771","762","776","903","801","848","846","981","1001","910","887","902","992","968","943","990"
"18","Femmine","751","714","695","632","726","745","753","840","841","790","833","816","871","891","852","835","861","929"
"18","Totale","1530","1519","1466","1394","1502","1648","1554","1688","1687","1771","1834","1726","1758","1793","1844","1803","1804","1919"
"19","Maschi","774","782","818","764","776","785","936","827","880","901","996","989","923","907","923","1010","1005","975"
"19","Femmine","776","764","742","697","649","728","771","769","857","873","804","841","824","892","911","867","858","895"
"19","Totale","1550","1546","1560","1461","1425","1513","1707","1596","1737","1774","1800","1830","1747","1799","1834","1877","1863","1870"
"20","Maschi","796","755","813","803","760","772","800","940","842","915","896","1004","1003","945","923","945","1037","1043"
"20","Femmine","779","776","785","745","713","662","749","781","786","893","902","811","869","847","914","926","873","875"
"20","Totale","1575","1531","1598","1548","1473","1434","1549","1721","1628","1808","1798","1815","1872","1792","1837","1871","1910","1918"
"21","Maschi","867","791","777","808","810","759","782","818","950","863","906","904","1005","1015","957","920","957","1070"
"21","Femmine","918","782","809","782","772","722","678","783","800","833","903","917","827","885","865","918","934","908"
"21","Totale","1785","1573","1586","1590","1582","1481","1460","1601","1750","1696","1809","1821","1832","1900","1822","1838","1891","1978"
"22","Maschi","862","866","834","806","826","803","760","805","848","979","874","924","909","1029","1019","968","927","983"
"22","Femmine","894","923","827","815","793","781","755","704","781","863","855","907","927","853","899","873","918","963"
"22","Totale","1756","1789","1661","1621","1619","1584","1515","1509","1629","1842","1729","1831","1836","1882","1918","1841","1845","1946"
"23","Maschi","960","883","931","885","827","830","788","791","824","877","995","882","932","924","1033","1026","967","968"
"23","Femmine","959","916","944","852","834","781","810","778","734","838","901","875","925","964","874","903","879","932"
"23","Totale","1919","1799","1875","1737","1661","1611","1598","1569","1558","1715","1896","1757","1857","1888","1907","1929","1846","1900"
"24","Maschi","1066","965","948","977","869","828","868","803","832","875","900","1012","878","955","939","1034","1023","993"
"24","Femmine","1046","955","953","940","885","848","798","858","784","794","877","921","885","956","981","917","915","909"
"24","Totale","2112","1920","1901","1917","1754","1676","1666","1661","1616","1669","1777","1933","1763","1911","1920","1951","1938","1902"
"25","Maschi","1144","1076","1034","1018","992","875","852","882","814","874","909","929","1037","904","970","947","1050","1066"
"25","Femmine","1104","1049","1021","974","974","896","841","837","895","844","828","882","923","908","986","989","939","966"
"25","Totale","2248","2125","2055","1992","1966","1771","1693","1719","1709","1718","1737","1811","1960","1812","1956","1936","1989","2032"
"26","Maschi","1369","1170","1119","1103","1021","998","884","886","911","873","919","923","948","1060","922","989","962","1076"
"26","Femmine","1302","1106","1126","1012","965","974","893","884","850","954","892","852","896","974","936","1009","998","992"
"26","Totale","2671","2276","2245","2115","1986","1972","1777","1770","1761","1827","1811","1775","1844","2034","1858","1998","1960","2068"
"27","Maschi","1437","1372","1227","1151","1059","986","1002","910","911","948","932","941","924","968","1079","936","1008","1026"
"27","Femmine","1369","1295","1172","1150","991","940","991","930","902","935","988","910","877","962","998","969","1053","1013"
"27","Totale","2806","2667","2399","2301","2050","1926","1993","1840","1813","1883","1920","1851","1801","1930","2077","1905","2061","2039"
"28","Maschi","1491","1444","1443","1269","1154","1083","994","997","906","945","983","960","977","940","980","1111","960","1082"
"28","Femmine","1382","1348","1380","1168","1137","1018","963","1029","967","972","948","993","920","909","1002","1022","1004","1074"
"28","Totale","2873","2792","2823","2437","2291","2101","1957","2026","1873","1917","1931","1953","1897","1849","1982","2133","1964","2156"
"29","Maschi","1556","1501","1494","1495","1261","1112","1056","1012","961","938","976","1015","990","1013","960","1011","1129","1009"
"29","Femmine","1425","1391","1391","1401","1124","1154","995","1022","1022","1042","1012","938","1003","964","932","1048","1052","1037"
"29","Totale","2981","2892","2885","2896","2385","2266","2051","2034","1983","1980","1988","1953","1993","1977","1892","2059","2181","2046"
"30","Maschi","1564","1535","1551","1525","1442","1237","1114","1051","994","1000","990","982","1031","1024","1067","955","1045","1203"
"30","Femmine","1389","1380","1430","1401","1356","1116","1138","1005","1037","1070","1046","1021","954","1038","998","984","1073","1062"
"30","Totale","2953","2915","2981","2926","2798","2353","2252","2056","2031","2070","2036","2003","1985","2062","2065","1939","2118","2265"
"31","Maschi","1597","1561","1589","1539","1528","1430","1219","1099","1026","1026","1022","1015","997","1070","1028","1052","959","1125"
"31","Femmine","1409","1409","1451","1413","1397","1370","1145","1133","1009","1095","1087","1051","1021","1036","1081","1016","1011","1110"
"31","Totale","3006","2970","3040","2952","2925","2800","2364","2232","2035","2121","2109","2066","2018","2106","2109","2068","1970","2235"
"32","Maschi","1661","1596","1604","1579","1538","1502","1440","1212","1079","1073","1060","1065","1033","1036","1095","1017","1070","1022"
"32","Femmine","1496","1407","1505","1468","1393","1379","1369","1181","1155","1054","1128","1118","1062","1039","1043","1077","1063","1029"
"32","Totale","3157","3003","3109","3047","2931","2881","2809","2393","2234","2127","2188","2183","2095","2075","2138","2094","2133","2051"
"33","Maschi","1527","1662","1724","1609","1593","1599","1569","1376","1220","1145","1159","1068","1097","1050","1084","1141","1046","1096"
"33","Femmine","1529","1471","1492","1501","1492","1440","1429","1431","1203","1197","1104","1150","1125","1087","1053","1046","1075","1080"
"33","Totale","3056","3133","3216","3110","3085","3039","2998","2807","2423","2342","2263","2218","2222","2137","2137","2187","2121","2176"
"34","Maschi","1576","1533","1763","1725","1642","1594","1611","1545","1364","1217","1181","1158","1060","1116","1083","1093","1170","1118"
"34","Femmine","1535","1524","1545","1504","1481","1477","1447","1422","1427","1251","1202","1092","1171","1157","1117","1060","1039","1092"
"34","Totale","3111","3057","3308","3229","3123","3071","3058","2967","2791","2468","2383","2250","2231","2273","2200","2153","2209","2210"
"35","Maschi","1719","1585","1614","1763","1710","1623","1599","1563","1496","1351","1203","1195","1167","1068","1142","1121","1105","1199"
"35","Femmine","1578","1518","1559","1516","1490","1441","1466","1448","1414","1409","1251","1192","1088","1182","1177","1110","1085","1076"
"35","Totale","3297","3103","3173","3279","3200","3064","3065","3011","2910","2760","2454","2387","2255","2250","2319","2231","2190","2275"
"36","Maschi","1507","1708","1602","1590","1752","1672","1630","1547","1504","1455","1330","1218","1215","1201","1109","1170","1142","1148"
"36","Femmine","1517","1580","1567","1572","1505","1479","1429","1470","1430","1416","1396","1249","1205","1104","1205","1182","1124","1090"
"36","Totale","3024","3288","3169","3162","3257","3151","3059","3017","2934","2871","2726","2467","2420","2305","2314","2352","2266","2238"
"37","Maschi","1624","1503","1752","1616","1552","1707","1602","1605","1459","1456","1448","1327","1218","1223","1217","1111","1186","1191"
"37","Femmine","1541","1519","1617","1577","1569","1485","1453","1432","1451","1420","1409","1406","1237","1217","1120","1200","1198","1133"
"37","Totale","3165","3022","3369","3193","3121","3192","3055","3037","2910","2876","2857","2733","2455","2440","2337","2311","2384","2324"
"38","Maschi","1568","1624","1530","1736","1578","1521","1678","1578","1573","1443","1411","1441","1331","1246","1230","1228","1128","1217"
"38","Femmine","1410","1529","1564","1616","1557","1545","1490","1454","1429","1464","1401","1419","1421","1266","1236","1139","1182","1209"
"38","Totale","2978","3153","3094","3352","3135","3066","3168","3032","3002","2907","2812","2860","2752","2512","2466","2367","2310","2426"
"39","Maschi","1504","1540","1636","1549","1703","1541","1536","1629","1505","1519","1427","1403","1466","1338","1258","1237","1228","1174"
"39","Femmine","1480","1404","1570","1570","1599","1536","1532","1497","1452","1457","1468","1420","1409","1428","1270","1242","1147","1209"
"39","Totale","2984","2944","3206","3119","3302","3077","3068","3126","2957","2976","2895","2823","2875","2766","2528","2479","2375","2383"
"40","Maschi","1451","1486","1555","1615","1547","1674","1537","1514","1582","1464","1486","1410","1404","1462","1350","1257","1246","1264"
"40","Femmine","1399","1489","1438","1595","1572","1584","1538","1548","1481","1468","1457","1468","1419","1416","1441","1258","1253","1168"
"40","Totale","2850","2975","2993","3210","3119","3258","3075","3062","3063","2932","2943","2878","2823","2878","2791","2515","2499","2432"
"41","Maschi","1407","1440","1516","1535","1621","1534","1666","1507","1481","1545","1412","1489","1412","1426","1473","1355","1260","1284"
"41","Femmine","1360","1389","1511","1456","1604","1561","1586","1563","1546","1497","1463","1468","1463","1446","1445","1452","1258","1273"
"41","Totale","2767","2829","3027","2991","3225","3095","3252","3070","3027","3042","2875","2957","2875","2872","2918","2807","2518","2557"
"42","Maschi","1364","1413","1448","1503","1541","1590","1521","1637","1493","1478","1520","1409","1484","1412","1431","1466","1363","1296"
"42","Femmine","1317","1358","1433","1513","1439","1589","1542","1612","1553","1580","1477","1476","1475","1516","1446","1459","1445","1290"
"42","Totale","2681","2771","2881","3016","2980","3179","3063","3249","3046","3058","2997","2885","2959","2928","2877","2925","2808","2586"
"43","Maschi","1312","1348","1413","1434","1499","1511","1566","1518","1625","1476","1471","1540","1403","1487","1437","1459","1464","1395"
"43","Femmine","1298","1316","1383","1441","1513","1420","1582","1570","1619","1569","1592","1497","1479","1469","1518","1457","1463","1456"
