"Età","Sesso","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"0","Maschi","305","353","386","373","381","387","387","395","368","360","389","354","366","353","346","331","312","339"
"0","Femmine","323","335","358","388","349","341","338","343","399","385","337","355","346","337","373","295","304","335"
"0","Totale","628","688","744","761","730","728","725","738","767","745","726","709","712","690","719","626","616","674"
"1","Maschi","363","310","356","391","370","380","391","382","396","371","360","392","370","361","348","337","328","317"
"1","Femmine","297","321","341","359","389","345","341","346","340","392","379","358","354","355","344","368","303","307"
"1","Totale","660","631","697","750","759","725","732","728","736","763","739","750","724","716","692","705","631","624"
"2","Maschi","345","363","313","355","387","376","386","387","382","391","365","358","408","377","378","359","339","332"
"2","Femmine","333","303","324","351","351","397","337","342","350","328","391","395","363","359","361","348","360","302"
"2","Totale","678","666","637","706","738","773","723","729","732","719","756","753","771","736","739","707","699","634"
"3","Maschi","353","342","380","314","361","390","375","389","386","375","388","369","356","422","376","387","359","345"
"3","Femmine","352","331","323","327","355","343","387","355","344","344","337","412","403","360","370","359","341","367"
"3","Totale","705","673","703","641","716","733","762","744","730","719","725","781","759","782","746","746","700","712"
"4","Maschi","321","351","345","383","308","370","388","373","392","387","379","397","369","356","417","366","388","363"
"4","Femmine","310","358","331","335","328","361","340","378","351","332","346","343","414","405","364","365","361","355"
"4","Totale","631","709","676","718","636","731","728","751","743","719","725","740","783","761","781","731","749","718"
"5","Maschi","322","326","352","353","387","314","369","394","364","386","389","386","408","372","360","414","362","381"
"5","Femmine","276","308","358","339","341","338","362","350","372","349","332","348","346","423","405","371","363","365"
"5","Totale","598","634","710","692","728","652","731","744","736","735","721","734","754","795","765","785","725","746"
"6","Maschi","296","319","336","366","358","390","314","374","387","362","384","397","388","401","379","364","422","365"
"6","Femmine","328","275","313","360","338","344","342","360","350","373","346","345","341","340","420","401","377","370"
"6","Totale","624","594","649","726","696","734","656","734","737","735","730","742","729","741","799","765","799","735"
"7","Maschi","297","291","324","342","374","357","387","315","378","387","366","387","396","393","406","387","374","428"
"7","Femmine","327","323","278","317","366","344","347","345","362","353","375","349","339","343","342","421","395","376"
"7","Totale","624","614","602","659","740","701","734","660","740","740","741","736","735","736","748","808","769","804"
"8","Maschi","323","297","304","329","340","383","365","385","312","374","383","370","387","400","383","403","386","371"
"8","Femmine","299","329","325","282","323","369","344","347","338","355","353","386","351","335","342","345","423","397"
"8","Totale","622","626","629","611","663","752","709","732","650","729","736","756","738","735","725","748","809","768"
"9","Maschi","347","326","305","310","336","346","385","371","386","309","372","392","362","387","401","382","403","396"
"9","Femmine","328","301","331","335","284","327","370","350","350","348","356","360","387","348","343","346","345","415"
"9","Totale","675","627","636","645","620","673","755","721","736","657","728","752","749","735","744","728","748","811"
"10","Maschi","354","348","326","317","310","338","343","391","375","386","312","376","390","360","395","404","388","401"
"10","Femmine","310","330","305","331","334","290","329","373","355","357","345","357","368","390","356","339","347","343"
"10","Totale","664","678","631","648","644","628","672","764","730","743","657","733","758","750","751","743","735","744"
"11","Maschi","340","349","355","322","323","314","340","348","383","371","384","316","371","388","366","394","408","394"
"11","Femmine","330","315","335","310","331","334","293","335","380","355","356","350","358","369","390","360","353","349"
"11","Totale","670","664","690","632","654","648","633","683","763","726","740","666","729","757","756","754","761","743"
"12","Maschi","316","341","351","359","322","326","315","346","348","380","373","383","315","372","389","375","396","411"
"12","Femmine","326","327","316","344","317","334","335","303","340","386","354","358","349","361","370","392","359","356"
"12","Totale","642","668","667","703","639","660","650","649","688","766","727","741","664","733","759","767","755","767"
"13","Maschi","366","317","346","353","354","326","328","315","345","352","381","383","383","320","377","388","374","399"
"13","Femmine","301","326","335","313","345","324","341","345","304","340","389","365","363","346","362","371","401","362"
"13","Totale","667","643","681","666","699","650","669","660","649","692","770","748","746","666","739","759","775","761"
"14","Maschi","342","367","318","340","361","363","329","338","314","346","353","385","386","381","323","379","389","377"
"14","Femmine","306","302","324","335","308","352","333","342","342","299","338","392","367","361","355","364","373","402"
