"Età","Sesso","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"0","Maschi","32","25","43","39","40","32","41","34","43","34","31","40","32","44","38","42","40","33"
"0","Femmine","36","34","32","34","38","26","47","43","33","27","43","28","36","37","26","31","34","21"
"0","Totale","68","59","75","73","78","58","88","77","76","61","74","68","68","81","64","73","74","54"
"1","Maschi","47","38","28","43","36","38","33","45","35","42","36","31","41","27","41","43","43","37"
"1","Femmine","35","35","33","32","37","40","26","45","45","32","28","45","31","34","36","27","34","34"
"1","Totale","82","73","61","75","73","78","59","90","80","74","64","76","72","61","77","70","77","71"
"2","Maschi","34","44","34","28","45","34","39","35","43","39","42","38","31","42","28","41","44","42"
"2","Femmine","33","33","35","32","29","37","41","28","44","47","32","31","46","32","36","38","30","33"
"2","Totale","67","77","69","60","74","71","80","63","87","86","74","69","77","74","64","79","74","75"
"3","Maschi","27","33","42","34","31","46","35","42","29","45","41","43","34","33","38","34","40","40"
"3","Femmine","41","34","35","33","32","32","38","40","31","48","44","33","30","46","35","36","42","26"
"3","Totale","68","67","77","67","63","78","73","82","60","93","85","76","64","79","73","70","82","66"
"4","Maschi","36","28","35","42","31","33","53","38","42","32","40","42","42","37","34","39","36","41"
"4","Femmine","24","42","30","37","35","32","31","36","38","31","50","45","31","25","45","36","38","42"
"4","Totale","60","70","65","79","66","65","84","74","80","63","90","87","73","62","79","75","74","83"
"5","Maschi","21","36","30","35","42","32","32","51","42","42","33","42","43","42","38","33","38","38"
"5","Femmine","38","23","39","29","40","41","27","35","36","39","33","55","48","28","25","46","38","36"
"5","Totale","59","59","69","64","82","73","59","86","78","81","66","97","91","70","63","79","76","74"
"6","Maschi","33","23","35","31","32","44","33","31","49","46","39","33","40","46","45","37","30","39"
"6","Femmine","24","40","29","39","26","39","42","29","35","36","40","34","57","43","29","28","48","40"
"6","Totale","57","63","64","70","58","83","75","60","84","82","79","67","97","89","74","65","78","79"
"7","Maschi","43","32","22","34","29","32","47","32","31","48","44","39","33","40","45","48","35","31"
"7","Femmine","39","24","41","30","41","27","39","43","31","35","36","39","34","55","44","30","30","49"
"7","Totale","82","56","63","64","70","59","86","75","62","83","80","78","67","95","89","78","65","80"
"8","Maschi","35","43","32","23","37","29","34","47","32","34","50","47","39","32","44","44","48","32"
"8","Femmine","43","39","26","42","29","40","29","40","42","29","34","35","41","34","52","44","29","30"
"8","Totale","78","82","58","65","66","69","63","87","74","63","84","82","80","66","96","88","77","62"
"9","Maschi","44","32","45","33","23","37","30","35","43","33","33","50","46","40","30","46","45","45"
"9","Femmine","34","43","38","27","39","32","41","29","41","43","29","34","35","40","31","49","44","34"
"9","Totale","78","75","83","60","62","69","71","64","84","76","62","84","81","80","61","95","89","79"
"10","Maschi","43","43","34","49","33","25","38","32","35","42","32","33","49","45","39","31","47","48"
"10","Femmine","37","34","40","37","27","38","34","40","29","40","39","30","34","33","41","33","49","45"
"10","Totale","80","77","74","86","60","63","72","72","64","82","71","63","83","78","80","64","96","93"
"11","Maschi","36","45","44","34","48","34","25","40","35","37","44","33","32","46","47","39","32","43"
"11","Femmine","43","37","36","37","39","28","40","36","39","30","41","40","32","34","31","41","31","48"
"11","Totale","79","82","80","71","87","62","65","76","74","67","85","73","64","80","78","80","63","91"
"12","Maschi","50","36","42","44","34","48","36","25","41","34","37","44","32","32","46","44","39","34"
"12","Femmine","29","44","37","36","36","41","27","41","39","41","29","42","40","32","37","30","40","32"
"12","Totale","79","80","79","80","70","89","63","66","80","75","66","86","72","64","83","74","79","66"
"13","Maschi","55","49","41","41","44","35","48","36","25","42","35","38","44","31","33","45","40","41"
"13","Femmine","48","29","44","37","36","36","41","29","41","39","40","29","43","41","32","37","32","40"
"13","Totale","103","78","85","78","80","71","89","65","66","81","75","67","87","72","65","82","72","81"
"14","Maschi","55","55","49","39","42","44","37","47","37","27","42","35","38","47","32","34","44","39"
"14","Femmine","31","48","28","43","36","39","35","42","29","41","37","42","29","40","44","32","35","30"
"14","Totale","86","103","77","82","78","83","72","89","66","68","79","77","67","87","76","66","79","69"
"15","Maschi","42","55","58","49","39","42","42","41","48","37","28","44","37","36","48","33","32","46"
"15","Femmine","34","32","47","28","41","34","41","36","42","29","39","38","41","29","42","44","33","36"
"15","Totale","76","87","105","77","80","76","83","77","90","66","67","82","78","65","90","77","65","82"
"16","Maschi","53","42","56","58","50","42","42","41","41","46","38","29","46","36","34","46","36","31"
"16","Femmine","36","34","31","50","28","44","35","41","39","42","27","39","39","43","29","40","41","31"
"16","Totale","89","76","87","108","78","86","77","82","80","88","65","68","85","79","63","86","77","62"
"17","Maschi","38","50","46","56","55","48","44","42","45","42","45","38","30","42","36","36","48","36"
"17","Femmine","36","35","36","32","47","29","44","35","42","41","42","31","37","43","41","27","42","43"
"17","Totale","74","85","82","88","102","77","88","77","87","83","87","69","67","85","77","63","90","79"
"18","Maschi","47","38","53","44","56","55","51","44","44","47","42","49","37","31","42","38","36","48"
"18","Femmine","60","37","36","37","34","47","32","45","35","43","41","40","32","34","40","42","29","41"
"18","Totale","107","75","89","81","90","102","83","89","79","90","83","89","69","65","82","80","65","89"
"19","Maschi","59","49","40","54","44","57","55","53","49","43","48","43","51","35","31","45","39","38"
"19","Femmine","38","60","41","38","39","37","44","31","47","33","42","47","43","29","33","38","44","31"
"19","Totale","97","109","81","92","83","94","99","84","96","76","90","90","94","64","64","83","83","69"
"20","Maschi","52","57","47","40","52","45","59","55","50","47","44","48","42","51","39","32","46","37"
"20","Femmine","54","37","59","39","39","36","39","44","35","52","33","40","48","42","29","36","38","44"
"20","Totale","106","94","106","79","91","81","98","99","85","99","77","88","90","93","68","68","84","81"
"21","Maschi","52","49","58","47","41","58","50","58","55","51","45","45","49","44","50","36","34","46"
"21","Femmine","45","52","36","54","38","35","36","40","44","33","52","33","38","47","42","29","38","35"
"21","Totale","97","101","94","101","79","93","86","98","99","84","97","78","87","91","92","65","72","81"
"22","Maschi","47","53","49","59","47","39","56","49","60","57","50","46","46","47","42","51","36","35"
"22","Femmine","54","46","51","37","52","42","41","34","43","42","31","55","30","39","45","39","29","43"
"22","Totale","101","99","100","96","99","81","97","83","103","99","81","101","76","86","87","90","65","78"
"23","Maschi","46","45","54","49","58","44","41","54","47","61","59","48","45","47","44","42","54","39"
"23","Femmine","52","52","46","50","40","54","43","41","36","48","32","34","51","33","41","45","39","29"
"23","Totale","98","97","100","99","98","98","84","95","83","109","91","82","96","80","85","87","93","68"
"24","Maschi","54","44","45","53","55","56","48","41","55","47","62","61","49","42","50","45","39","51"
"24","Femmine","47","47","48","45","51","42","56","43","43","38","46","37","35","50","32","38","46","40"
"24","Totale","101","91","93","98","106","98","104","84","98","85","108","98","84","92","82","83","85","91"
"25","Maschi","65","54","41","45","53","54","58","49","43","55","53","61","63","50","42","48","45","40"
"25","Femmine","45","43","48","51","39","47","44","55","39","42","40","48","36","41","49","34","37","48"
"25","Totale","110","97","89","96","92","101","102","104","82","97","93","109","99","91","91","82","82","88"
"26","Maschi","59","66","55","46","46","55","52","64","45","46","51","51","58","56","46","43","47","44"
"26","Femmine","48","51","44","49","48","42","44","47","54","46","44","43","47","33","42","45","35","40"
"26","Totale","107","117","99","95","94","97","96","111","99","92","95","94","105","89","88","88","82","84"
"27","Maschi","63","61","62","50","47","51","62","52","62","46","44","51","55","57","53","44","42","44"
"27","Femmine","65","48","51","47","54","44","42","40","40","52","44","47","43","52","37","42","48","32"
"27","Totale","128","109","113","97","101","95","104","92","102","98","88","98","98","109","90","86","90","76"
"28","Maschi","64","62","59","57","46","45","47","65","52","66","47","43","50","47","54","53","43","44"
"28","Femmine","51","66","47","46","50","50","45","47","46","42","48","49","43","41","50","38","45","45"
"28","Totale","115","128","106","103","96","95","92","112","98","108","95","92","93","88","104","91","88","89"
"29","Maschi","71","59","57","55","55","39","52","53","64","47","63","46","39","49","51","47","45","41"
"29","Femmine","56","54","71","44","46","48","46","48","45","46","43","51","47","39","42","44","40","47"
"29","Totale","127","113","128","99","101","87","98","101","109","93","106","97","86","88","93","91","85","88"
"30","Maschi","87","64","57","59","59","57","42","56","52","63","51","59","48","40","47","53","44","46"
"30","Femmine","63","52","59","62","45","52","49","46","47","43","45","39","52","45","47","40","47","34"
"30","Totale","150","116","116","121","104","109","91","102","99","106","96","98","100","85","94","93","91","80"
"31","Maschi","72","79","61","55","65","66","60","45","59","48","60","51","60","38","41","50","55","42"
"31","Femmine","80","59","55","62","56","45","53","48","49","45","48","44","38","49","43","47","38","43"
"31","Totale","152","138","116","117","121","111","113","93","108","93","108","95","98","87","84","97","93","85"
"32","Maschi","63","75","79","58","51","66","67","53","43","58","46","55","54","64","40","37","54","55"
"32","Femmine","67","78","58","52","58","57","50","54","46","47","43","46","47","38","47","43","42","37"
"32","Totale","130","153","137","110","109","123","117","107","89","105","89","101","101","102","87","80","96","92"
"33","Maschi","75","64","79","81","64","46","67","72","54","44","61","48","53","55","64","37","39","54"
"33","Femmine","50","67","79","53","56","57","56","56","50","48","47","44","49","46","39","46","40","41"
"33","Totale","125","131","158","134","120","103","123","128","104","92","108","92","102","101","103","83","79","95"
"34","Maschi","69","79","60","76","80","68","43","70","71","57","45","62","48","57","55","61","42","35"
"34","Femmine","68","50","67","77","56","50","61","60","58","55","46","43","41","47","45","42","53","42"
"34","Totale","137","129","127","153","136","118","104","130","129","112","91","105","89","104","100","103","95","77"
"35","Maschi","69","73","76","64","73","75","74","50","70","67","59","43","67","42","58","50","61","42"
"35","Femmine","65","70","50","66","73","57","49","66","58","54","52","44","44","41","49","47","44","54"
"35","Totale","134","143","126","130","146","132","123","116","128","121","111","87","111","83","107","97","105","96"
"36","Maschi","87","64","80","74","64","68","79","76","52","69","66","65","43","62","44","57","49","57"
