"Età","Sesso","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"0","Maschi","22","28","26","16","23","23","24","23","30","20","20","12","23","20","19","17","15","18"
"0","Femmine","21","17","25","20","20","19","23","24","17","19","20","15","20","25","19","17","24","18"
"0","Totale","43","45","51","36","43","42","47","47","47","39","40","27","43","45","38","34","39","36"
"1","Maschi","19","24","29","22","18","21","28","20","22","27","20","25","14","24","18","19","16","13"
"1","Femmine","23","21","19","29","20","16","23","24","25","17","20","21","13","20","24","16","15","23"
"1","Totale","42","45","48","51","38","37","51","44","47","44","40","46","27","44","42","35","31","36"
"2","Maschi","16","18","25","28","23","19","21","27","24","18","28","19","24","13","25","17","15","17"
"2","Femmine","17","23","23","19","28","16","14","25","24","25","15","21","20","14","18","19","17","17"
"2","Totale","33","41","48","47","51","35","35","52","48","43","43","40","44","27","43","36","32","34"
"3","Maschi","18","16","18","22","24","24","20","24","28","23","18","27","17","22","12","20","14","16"
"3","Femmine","22","16","27","26","16","27","16","17","28","20","25","18","22","22","15","13","19","17"
"3","Totale","40","32","45","48","40","51","36","41","56","43","43","45","39","44","27","33","33","33"
"4","Maschi","13","18","20","20","23","23","25","18","24","26","21","16","27","18","21","13","20","17"
"4","Femmine","9","23","17","25","26","16","27","17","18","28","19","24","18","21","22","16","15","24"
"4","Totale","22","41","37","45","49","39","52","35","42","54","40","40","45","39","43","29","35","41"
"5","Maschi","20","13","16","17","20","21","22","22","17","24","27","24","18","25","18","19","12","18"
"5","Femmine","20","8","23","16","21","24","14","27","19","17","28","18","24","19","19","22","15","15"
"5","Totale","40","21","39","33","41","45","36","49","36","41","55","42","42","44","37","41","27","33"
"6","Maschi","15","20","13","17","21","18","23","22","22","18","25","25","26","18","22","16","19","13"
"6","Femmine","16","24","6","23","16","19","23","14","27","21","17","29","19","24","17","20","21","15"
"6","Totale","31","44","19","40","37","37","46","36","49","39","42","54","45","42","39","36","40","28"
"7","Maschi","14","15","23","13","18","18","23","24","22","23","19","25","24","23","14","26","15","20"
"7","Femmine","19","16","25","6","25","17","20","24","15","27","20","18","30","21","20","15","19","20"
"7","Totale","33","31","48","19","43","35","43","48","37","50","39","43","54","44","34","41","34","40"
"8","Maschi","15","16","16","21","12","18","17","23","24","23","23","18","25","25","25","16","26","14"
"8","Femmine","18","17","20","25","6","24","16","17","24","15","27","20","16","29","20","20","15","19"
"8","Totale","33","33","36","46","18","42","33","40","48","38","50","38","41","54","45","36","41","33"
"9","Maschi","8","15","16","15","21","12","19","19","23","24","22","22","15","24","24","24","16","26"
"9","Femmine","17","19","18","20","22","6","21","16","15","25","15","28","22","19","27","22","20","18"
"9","Totale","25","34","34","35","43","18","40","35","38","49","37","50","37","43","51","46","36","44"
"10","Maschi","15","9","16","13","16","21","12","19","18","24","24","24","21","17","24","24","24","17"
"10","Femmine","14","19","18","19","19","23","6","21","15","16","24","15","28","23","19","26","22","21"
"10","Totale","29","28","34","32","35","44","18","40","33","40","48","39","49","40","43","50","46","38"
