"Età","Sesso","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"0","Maschi","334","337","320","373","415","346","361","363","376","333","374","400","367","319","325","307","315","310"
"0","Femmine","284","323","326","342","352","341","328","352","341","367","316","303","327","325","299","319","283","316"
"0","Totale","618","660","646","715","767","687","689","715","717","700","690","703","694","644","624","626","598","626"
"1","Maschi","348","340","341","323","368","411","346","363","366","374","323","391","399","368","315","326","306","313"
"1","Femmine","283","283","318","338","343","343","338","330","338","342","360","330","306","330","312","303","318","277"
"1","Totale","631","623","659","661","711","754","684","693","704","716","683","721","705","698","627","629","624","590"
"2","Maschi","315","349","329","344","322","360","409","334","374","358","369","330","390","393","362","323","319","313"
"2","Femmine","323","298","293","313","331","327","351","340","324","338","333","359","332","302","335","321","301","325"
"2","Totale","638","647","622","657","653","687","760","674","698","696","702","689","722","695","697","644","620","638"
"3","Maschi","328","323","343","328","339","311","368","419","344","382","356","377","338","392","373","357","319","322"
"3","Femmine","300","321","291","293","308","333","319","354","338","314","343","327","360","338","288","349","313","303"
"3","Totale","628","644","634","621","647","644","687","773","682","696","699","704","698","730","661","706","632","625"
"4","Maschi","334","339","322","354","333","328","302","373","417","350","382","371","381","347","394","362","369","311"
"4","Femmine","270","306","320","302","298","310","326","318","356","343","316","344","331","358","339","284","347","301"
"4","Totale","604","645","642","656","631","638","628","691","773","693","698","715","712","705","733","646","716","612"
"5","Maschi","311","336","341","329","355","335","324","303","375","406","351","382","376","386","351","397","355","372"
"5","Femmine","311","276","310","330","303","311","307","336","323","347","349","330","354","338","361","345","287","346"
"5","Totale","622","612","651","659","658","646","631","639","698","753","700","712","730","724","712","742","642","718"
"6","Maschi","309","311","339","348","316","364","330","324","313","361","395","365","378","382","385","366","387","349"
"6","Femmine","295","313","283","312","339","300","309","311","333","327","350","355","332","354","335","371","348","287"
"6","Totale","604","624","622","660","655","664","639","635","646","688","745","720","710","736","720","737","735","636"
"7","Maschi","283","309","314","345","351","320","370","331","327","311","358","400","378","387","378","383","361","388"
"7","Femmine","299","305","316","289","315","350","305","318","319","332","320","351","355","342","355","329","365","344"
"7","Totale","582","614","630","634","666","670","675","649","646","643","678","751","733","729","733","712","726","732"
"8","Maschi","326","289","316","325","354","348","329","380","339","329","320","366","400","369","373","383","383","358"
"8","Femmine","276","310","312","319","299","316","358","314","323","324","331","323","357","353","343","354","325","372"
"8","Totale","602","599","628","644","653","664","687","694","662","653","651","689","757","722","716","737","708","730"
"9","Maschi","299","325","305","316","336","355","355","338","374","348","334","325","368","406","369","372","377","381"
"9","Femmine","318","278","315","318","317","308","313","359","315","330","326","338","321","365","356","346","354","330"
"9","Totale","617","603","620","634","653","663","668","697","689","678","660","663","689","771","725","718","731","711"
"10","Maschi","319","303","329","300","318","331","365","360","354","379","350","338","324","371","404","372","369","379"
"10","Femmine","314","323","283","317","318","325","315","324","363","322","330","325","344","328","370","352","343","361"
"10","Totale","633","626","612","617","636","656","680","684","717","701","680","663","668","699","774","724","712","740"
"11","Maschi","303","321","310","339","311","318","338","372","367","365","380","344","335","316","367","413","362","375"
"11","Femmine","294","318","333","292","325","314","324","333","327","364","320","324","331","344","331","366","350","344"
"11","Totale","597","639","643","631","636","632","662","705","694","729","700","668","666","660","698","779","712","719"
"12","Maschi","316","306","321","319","348","313","314","345","377","381","369","392","350","337","320","367","410","364"
"12","Femmine","322","299","323","340","295","322","319","328","338","327","358","323","326","330","348","338","367","356"
"12","Totale","638","605","644","659","643","635","633","673","715","708","727","715","676","667","668","705","777","720"
"13","Maschi","349","316","308","328","325","350","314","324","350","377","388","380","392","354","341","321","369","415"
"13","Femmine","302","324","308","326","342","294","318","322","331","349","331","364","332","329","331","345","339","370"
"13","Totale","651","640","616","654","667","644","632","646","681","726","719","744","724","683","672","666","708","785"
"14","Maschi","331","348","324","318","326","321","366","328","335","360","384","396","400","402","365","340","320","370"
"14","Femmine","267","305","332","317","341","346","302","325","328","336","364","342","366","340","337","336","347","351"
"14","Totale","598","653","656","635","667","667","668","653","663","696","748","738","766","742","702","676","667","721"
"15","Maschi","310","337","361","341","325","325","331","374","340","346","365","402","409","419","416","364","346","333"
"15","Femmine","299","269","311","338","322","353","355","305","335","328","338","371","340","370","344","338","332","349"
"15","Totale","609","606","672","679","647","678","686","679","675","674","703","773","749","789","760","702","678","682"
"16","Maschi","352","317","339","371","335","328","328","336","381","344","353","386","414","419","433","412","358","356"
"16","Femmine","314","302","271","318","343","329","354","360","314","344","332","345","378","352","374","347","341","336"
"16","Totale","666","619","610","689","678","657","682","696","695","688","685","731","792","771","807","759","699","692"
"17","Maschi","326","357","321","347","372","343","326","341","337","388","361","368","402","426","437","444","415","365"
"17","Femmine","294","311","301","279","338","350","335","364","367","311","352","339","353","380","365","375","351","345"
"17","Totale","620","668","622","626","710","693","661","705","704","699","713","707","755","806","802","819","766","710"
"18","Maschi","338","332","363","329","354","375","348","350","344","345","401","385","380","413","443","449","458","421"
"18","Femmine","325","295","314","315","291","342","349","346","373","369","316","365","348","356","390","373","379","354"
"18","Totale","663","627","677","644","645","717","697","696","717","714","717","750","728","769","833","822","837","775"
"19","Maschi","305","338","346","366","327","360","369","367","363","358","356","422","393","387","420","469","471","472"
"19","Femmine","333","330","296","325","317","290","344","362","343","386","379","331","386","345","362","394","379","385"
"19","Totale","638","668","642","691","644","650","713","729","706","744","735","753","779","732","782","863","850","857"
"20","Maschi","365","317","339","348","372","318","362","396","373","366","360","371","436","401","391","453","477","484"
"20","Femmine","341","326","335","303","333","314","300","356","380","347","398","399","348","392","358","370","392","383"
"20","Totale","706","643","674","651","705","632","662","752","753","713","758","770","784","793","749","823","869","867"
"21","Maschi","383","362","321","350","345","383","317","380","392","371","379","379","387","434","412","423","475","499"
"21","Femmine","345","346","337","353","303","349","311","313","377","394","352","413","423","361","401","358","378","393"
"21","Totale","728","708","658","703","648","732","628","693","769","765","731","792","810","795","813","781","853","892"
"22","Maschi","400","392","373","336","362","342","380","329","401","403","365","404","413","414","444","438","430","483"
"22","Femmine","380","349","357","357","362","308","349","332","326","380","394","368","418","409","379","415","358","371"
"22","Totale","780","741","730","693","724","650","729","661","727","783","759","772","831","823","823","853","788","854"
"23","Maschi","436","401","411","395","354","364","339","405","338","402","423","386","427","418","424","467","436","457"
"23","Femmine","402","397","366","367","364","365","317","374","354","340","406","414","382","442","410","388","418","366"
"23","Totale","838","798","777","762","718","729","656","779","692","742","829","800","809","860","834","855","854","823"
"24","Maschi","469","443","421","417","392","348","382","362","420","363","411","448","417","445","441","455","478","454"
"24","Femmine","457","408","412","377","364","367","367","339","383","364","360","415","410","398","445","426","393","421"
"24","Totale","926","851","833","794","756","715","749","701","803","727","771","863","827","843","886","881","871","875"
"25","Maschi","510","459","454","445","417","395","345","401","377","431","400","431","468","432","462","466","476","485"
"25","Femmine","497","461","428","420","383","360","364","371","356","399","397","384","440","424","427","469","428","397"
"25","Totale","1007","920","882","865","800","755","709","772","733","830","797","815","908","856","889","935","904","882"
"26","Maschi","584","510","467","493","453","428","408","365","425","406","466","429","453","496","491","495","487","484"
"26","Femmine","474","496","460","456","431","375","365","386","410","373","422","418","402","458","455","450","462","432"
"26","Totale","1058","1006","927","949","884","803","773","751","835","779","888","847","855","954","946","945","949","916"
"27","Maschi","590","576","543","492","493","460","425","432","373","417","419","487","456","458","523","502","507","495"
"27","Femmine","571","482","500","493","451","439","382","367","401","443","387","447","445","408","481","482","454","466"
"27","Totale","1161","1058","1043","985","944","899","807","799","774","860","806","934","901","866","1004","984","961","961"
"28","Maschi","614","585","581","543","483","506","455","438","440","381","446","445","508","481","490","551","518","529"
"28","Femmine","578","580","491","505","490","454","429","399","379","436","468","416","460","485","447","477","496","459"
"28","Totale","1192","1165","1072","1048","973","960","884","837","819","817","914","861","968","966","937","1028","1014","988"
"29","Maschi","609","614","621","598","534","476","505","456","456","437","427","466","459","526","502","543","567","508"
"29","Femmine","532","587","595","495","507","476","462","450","412","404","474","492","431","459","504","481","476","481"
"29","Totale","1141","1201","1216","1093","1041","952","967","906","868","841","901","958","890","985","1006","1024","1043","989"
"30","Maschi","592","601","619","611","580","528","473","506","457","465","468","470","489","465","541","525","555","580"
"30","Femmine","529","530","594","620","491","510","470","477","472","439","410","483","500","453","486","517","472","464"
"30","Totale","1121","1131","1213","1231","1071","1038","943","983","929","904","878","953","989","918","1027","1042","1027","1044"
"31","Maschi","618","600","616","618","597","577","516","499","514","469","499","492","481","496","493","560","519","561"
"31","Femmine","550","546","545","586","619","501","518","490","466","487","453","422","492","510","463","502","506","482"
"31","Totale","1168","1146","1161","1204","1216","1078","1034","989","980","956","952","914","973","1006","956","1062","1025","1043"
"32","Maschi","611","613","639","615","594","572","560","512","482","516","494","499","508","479","516","504","568","528"
"32","Femmine","606","553","569","563","587","613","512","525","492","466","490","477","440","483","530","473","492","513"
"32","Totale","1217","1166","1208","1178","1181","1185","1072","1037","974","982","984","976","948","962","1046","977","1060","1041"
"33","Maschi","621","618","639","655","618","573","570","591","519","489","519","520","518","508","503","527","488","565"
"33","Femmine","561","621","582","600","573","577","615","528","535","507","479","483","490","459","502","532","463","486"
"33","Totale","1182","1239","1221","1255","1191","1150","1185","1119","1054","996","998","1003","1008","967","1005","1059","951","1051"
"34","Maschi","624","628","648","636","647","601","571","604","608","528","506","542","533","529","511","528","540","475"
"34","Femmine","602","569","635","581","610","569","576","636","529","554","512","494","499","507","483","513","525","482"
"34","Totale","1226","1197","1283","1217","1257","1170","1147","1240","1137","1082","1018","1036","1032","1036","994","1041","1065","957"
"35","Maschi","691","630","661","648","627","616","619","576","619","606","541","520","555","553","566","519","533","548"
"35","Femmine","584","618","602","625","583","613","574","588","639","534","587","539","499","496","518","499","521","528"
"35","Totale","1275","1248","1263","1273","1210","1229","1193","1164","1258","1140","1128","1059","1054","1049","1084","1018","1054","1076"
"36","Maschi","629","693","665","661","661","625","604","647","581","618","640","566","542","565","559","562","534","532"
"36","Femmine","657","590","637","600","632","575","621","593","587","657","546","573","535","501","511","526","500","534"
"36","Totale","1286","1283","1302","1261","1293","1200","1225","1240","1168","1275","1186","1139","1077","1066","1070","1088","1034","1066"
"37","Maschi","654","624","702","668","645","655","618","612","631","571","604","654","577","543","561","579","580","529"
"37","Femmine","627","663","594","652","597","633","585","642","606","605","660","557","595","537","515","512","527","508"
"37","Totale","1281","1287","1296","1320","1242","1288","1203","1254","1237","1176","1264","1211","1172","1080","1076","1091","1107","1037"
"38","Maschi","561","652","643","700","664","640","657","624","636","629","582","613","652","579","560","560","570","575"
"38","Femmine","605","626","675","621","650","607","644","578","646","610","609","659","567","599","540","533","513","532"
"38","Totale","1166","1278","1318","1321","1314","1247","1301","1202","1282","1239","1191","1272","1219","1178","1100","1093","1083","1107"
"39","Maschi","548","563","661","650","698","655","632","672","624","639","634","589","630","656","562","571","567","560"
"39","Femmine","586","601","649","688","616","645","597","662","588","650","616","628","664","584","599","544","528","501"
"39","Totale","1134","1164","1310","1338","1314","1300","1229","1334","1212","1289","1250","1217","1294","1240","1161","1115","1095","1061"
"40","Maschi","593","539","573","654","639","686","645","638","679","611","630","660","614","642","663","560","580","570"
"40","Femmine","598","585","621","664","696","626","644","601","658","594","656","603","644","682","579","609","545","525"
"40","Totale","1191","1124","1194","1318","1335","1312","1289","1239","1337","1205","1286","1263","1258","1324","1242","1169","1125","1095"
"41","Maschi","565","599","547","572","648","638","665","641","645","683","611","652","683","606","639","665","562","588"
"41","Femmine","590","599","603","643","652","703","636","653","616","653","598","658","616","651","675","597","615","540"
"41","Totale","1155","1198","1150","1215","1300","1341","1301","1294","1261","1336","1209","1310","1299","1257","1314","1262","1177","1128"
"42","Maschi","519","571","604","559","568","648","637","672","655","655","695","628","659","692","635","652","662","568"
"42","Femmine","530","595","607","618","645","652","698","647","662","642","665","606","643","616","658","671","582","616"
"42","Totale","1049","1166","1211","1177","1213","1300","1335","1319","1317","1297","1360","1234","1302","1308","1293","1323","1244","1184"
"43","Maschi","495","518","579","606","554","577","641","648","670","639","656","707","624","662","691","644","642","669"
"43","Femmine","481","531","590","611","624","644","659","713","659","676","649","665","609","636","622","656","663","571"
"43","Totale","976","1049","1169","1217","1178","1221","1300","1361","1329","1315","1305","1372","1233","1298","1313","1300","1305","1240"
"44","Maschi","487","496","515","600","621","546","562","640","658","679","648","659","709","631","673","699","635","644"
"44","Femmine","555","478","546","604","609","622","643","675","729","669","681","656","678","630","644","621","653","660"
"44","Totale","1042","974","1061","1204","1230","1168","1205","1315","1387","1348","1329","1315","1387","1261","1317","1320","1288","1304"
"45","Maschi","493","488","499","529","592","619","552","569","652","663","683","657","662","700","626","677","697","627"
"45","Femmine","534","558","480","559","600","625","635","649","697","716","672","685","659","687","628","654","621","644"
"45","Totale","1027","1046","979","1088","1192","1244","1187","1218","1349","1379","1355","1342","1321","1387","1254","1331","1318","1271"
"46","Maschi","491","497","493","506","536","585","613","538","590","654","677","701","669","688","707","620","681","693"
"46","Femmine","519","540","566","498","566","604","627","648","659","698","713","689","690","665","698","641","654","626"
"46","Totale","1010","1037","1059","1004","1102","1189","1240","1186","1249","1352","1390","1390","1359","1353","1405","1261","1335","1319"
"47","Maschi","482","495","510","492","516","528","586","618","552","597","669","693","712","680","693","706","623","682"
"47","Femmine","531","517","542","574","502","569","607","624","650","677","708","716","696","697","660","705","644","651"
"47","Totale","1013","1012","1052","1066","1018","1097","1193","1242","1202","1274","1377","1409","1408","1377","1353","1411","1267","1333"
"48","Maschi","461","487","502","525","494","522","540","586","629","561","603","672","680","709","680","700","704","635"
"48","Femmine","500","528","531","548","576","510","561","618","628","656","691","722","735","702","700","656","700","630"
"48","Totale","961","1015","1033","1073","1070","1032","1101","1204","1257","1217","1294","1394","1415","1411","1380","1356","1404","1265"
"49","Maschi","493","455","485","500","529","493","523","540","593","614","559","614","689","672","711","686","692","689"
"49","Femmine","533","506","533","549","546","572","510","581","629","632","667","692","717","735","699","696","650","703"
"49","Totale","1026","961","1018","1049","1075","1065","1033","1121","1222","1246","1226","1306","1406","1407","1410","1382","1342","1392"
"50","Maschi","446","485","458","486","500","530","494","539","553","593","625","569","620","684","677","708","685","699"
"50","Femmine","511","530","507","538","557","551","582","517","587","629","640","676","683","734","738","694","690","645"
"50","Totale","957","1015","965","1024","1057","1081","1076","1056","1140","1222","1265","1245","1303","1418","1415","1402","1375","1344"
"51","Maschi","481","452","486","463","481","500","530","490","537","551","600","629","573","629","681","673","712","672"
"51","Femmine","558","514","536","504","541","565","549","584","517","590","632","645","678","682","732","744","687","683"
"51","Totale","1039","966","1022","967","1022","1065","1079","1074","1054","1141","1232","1274","1251","1311","1413","1417","1399","1355"
"52","Maschi","562","477","455","486","465","476","501","530","492","535","551","595","628","579","632","678","679","710"
"52","Femmine","533","560","517","536","501","532","564","557","598","523","588","630","646","678","682","727","745","691"
"52","Totale","1095","1037","972","1022","966","1008","1065","1087","1090","1058","1139","1225","1274","1257","1314","1405","1424","1401"
"53","Maschi","546","567","474","457","481","468","475","502","525","489","532","546","597","640","578","636","681","670"
"53","Femmine","569","533","556","518","535","497","534","574","569","605","527","591","630","642","686","683","725","735"
"53","Totale","1115","1100","1030","975","1016","965","1009","1076","1094","1094","1059","1137","1227","1282","1264","1319","1406","1405"
"54","Maschi","486","548","570","468","464","477","466","478","499","527","489","532","543","587","632","578","639","689"
"54","Femmine","629","574","542","553","518","544","499","535","584","576","599","531","582","638","638","681","685","715"
"54","Totale","1115","1122","1112","1021","982","1021","965","1013","1083","1103","1088","1063","1125","1225","1270","1259","1324","1404"
"55","Maschi","524","486","541","575","464","461","478","462","477","491","533","488","534","542","594","623","573","634"
"55","Femmine","654","631","576","542","542","515","551","512","545","595","574","610","527","576","634","646","674","681"
"55","Totale","1178","1117","1117","1117","1006","976","1029","974","1022","1086","1107","1098","1061","1118","1228","1269","1247","1315"
"56","Maschi","457","520","488","533","578","455","459","480","458","478","483","537","491","517","542","602","613","571"
"56","Femmine","495","658","624","572","530","543","514","559","506","538","597","574","602","532","582","634","648","667"
"56","Totale","952","1178","1112","1105","1108","998","973","1039","964","1016","1080","1111","1093","1049","1124","1236","1261","1238"
"57","Maschi","472","447","520","479","521","571","448","454","483","459","479","485","523","493","516","543","600","608"
"57","Femmine","544","485","661","619","566","535","539","515","559","505","547","595","573","602","536","586","625","651"
"57","Totale","1016","932","1181","1098","1087","1106","987","969","1042","964","1026","1080","1096","1095","1052","1129","1225","1259"
"58","Maschi","445","465","444","519","484","515","563","443","458","484","466","472","481","517","492","517","534","597"
"58","Femmine","557","542","477","661","615","570","536","547","515","567","503","549","591","584","602","530","581","624"
"58","Totale","1002","1007","921","1180","1099","1085","1099","990","973","1051","969","1021","1072","1101","1094","1047","1115","1221"
