"Età","Sesso","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"0","Maschi","1","6","3","5","1","9","4","5","8","3","7","5","9","2","1","7","7","5"
"0","Femmine","6","3","4","7","5","3","9","3","5","7","8","4","2","5","5","6","7","7"
"0","Totale","7","9","7","12","6","12","13","8","13","10","15","9","11","7","6","13","14","12"
"1","Maschi","3","1","5","3","8","1","8","5","3","9","4","6","3","8","2","4","9","7"
"1","Femmine","4","6","4","4","6","7","2","9","3","4","6","10","3","2","5","5","6","7"
"1","Totale","7","7","9","7","14","8","10","14","6","13","10","16","6","10","7","9","15","14"
"2","Maschi","5","4","2","5","3","7","2","11","3","2","5","5","6","3","9","2","4","7"
"2","Femmine","1","4","6","6","4","7","7","3","8","4","5","5","9","3","2","4","4","6"
"2","Totale","6","8","8","11","7","14","9","14","11","6","10","10","15","6","11","6","8","13"
"3","Maschi","4","5","4","2","7","6","8","5","9","4","2","6","3","6","6","8","2","4"
"3","Femmine","2","1","4","6","6","6","8","6","2","8","5","5","4","7","6","2","5","5"
"3","Totale","6","6","8","8","13","12","16","11","11","12","7","11","7","13","12","10","7","9"
"4","Maschi","5","3","5","4","2","7","8","8","3","9","4","2","5","3","7","6","7","2"
"4","Femmine","4","3","1","4","7","8","6","8","6","3","9","7","2","6","7","6","2","5"
"4","Totale","9","6","6","8","9","15","14","16","9","12","13","9","7","9","14","12","9","7"
"5","Maschi","4","5","3","5","5","2","6","6","8","4","8","5","2","4","3","6","5","9"
"5","Femmine","4","4","2","1","3","8","8","6","8","6","3","8","6","2","6","7","6","3"
"5","Totale","8","9","5","6","8","10","14","12","16","10","11","13","8","6","9","13","11","12"
"6","Maschi","9","4","5","4","5","3","2","6","7","8","4","9","4","1","4","3","6","4"
"6","Femmine","4","4","4","2","1","3","9","6","6","10","6","4","7","6","4","5","6","7"
"6","Totale","13","8","9","6","6","6","11","12","13","18","10","13","11","7","8","8","12","11"
"7","Maschi","6","10","4","5","5","5","3","3","7","7","4","4","9","6","1","4","3","6"
"7","Femmine","3","4","4","4","2","1","4","9","6","5","10","6","4","7","6","5","6","7"
"7","Totale","9","14","8","9","7","6","7","12","13","12","14","10","13","13","7","9","9","13"
"8","Maschi","8","8","10","4","6","4","6","3","3","6","7","4","4","6","6","1","4","3"
"8","Femmine","1","3","4","4","5","3","1","4","9","6","5","10","5","5","8","6","5","5"
"8","Totale","9","11","14","8","11","7","7","7","12","12","12","14","9","11","14","7","9","8"
"9","Maschi","4","9","8","9","4","7","4","6","3","3","6","7","5","3","5","6","1","4"
"9","Femmine","5","2","3","4","4","5","2","1","4","10","7","5","10","4","4","8","6","3"
"9","Totale","9","11","11","13","8","12","6","7","7","13","13","12","15","7","9","14","7","7"
"10","Maschi","6","3","9","8","9","4","7","4","6","5","3","6","6","5","3","5","4","1"
"10","Femmine","2","5","2","3","5","4","3","2","2","4","10","6","5","9","3","4","9","6"
"10","Totale","8","8","11","11","14","8","10","6","8","9","13","12","11","14","6","9","13","7"
"11","Maschi","4","6","4","9","8","9","3","7","4","6","5","2","6","6","5","3","6","4"
"11","Femmine","3","2","5","2","4","5","7","3","2","2","4","10","5","4","8","3","4","9"
"11","Totale","7","8","9","11","12","14","10","10","6","8","9","12","11","10","13","6","10","13"
"12","Maschi","2","4","6","4","9","8","8","4","7","4","6","5","2","6","6","5","3","6"
"12","Femmine","3","4","2","5","2","5","4","7","3","2","2","4","10","5","5","8","3","4"
"12","Totale","5","8","8","9","11","13","12","11","10","6","8","9","12","11","11","13","6","10"
"13","Maschi","7","2","4","6","4","9","8","7","6","7","4","6","4","2","4","7","4","3"
"13","Femmine","0","3","4","2","5","2","4","4","8","3","2","2","4","9","5","3","8","4"
"13","Totale","7","5","8","8","9","11","12","11","14","10","6","8","8","11","9","10","12","7"
"14","Maschi","1","7","2","6","7","4","10","8","7","6","6","4","6","4","1","4","8","4"
"14","Femmine","3","0","3","4","2","5","2","4","4","8","3","2","2","3","9","4","4","9"
"14","Totale","4","7","5","10","9","9","12","12","11","14","9","6","8","7","10","8","12","13"
"15","Maschi","4","2","7","3","7","6","3","11","8","9","6","6","5","6","4","1","4","7"
"15","Femmine","2","3","1","3","4","2","5","2","4","4","9","3","1","1","3","9","3","2"
"15","Totale","6","5","8","6","11","8","8","13","12","13","15","9","6","7","7","10","7","9"
"16","Maschi","1","4","2","7","3","7","6","3","11","8","9","6","6","5","7","4","1","6"
"16","Femmine","6","2","3","1","3","4","3","5","4","4","4","9","3","1","1","3","9","1"
"16","Totale","7","6","5","8","6","11","9","8","15","12","13","15","9","6","8","7","10","7"
"17","Maschi","3","1","4","2","7","3","8","7","5","12","9","10","4","6","6","10","3","4"
"17","Femmine","2","6","2","3","1","3","6","4","5","5","4","4","9","3","1","1","3","9"
"17","Totale","5","7","6","5","8","6","14","11","10","17","13","14","13","9","7","11","6","13"
"18","Maschi","2","3","1","3","2","8","3","9","8","5","12","9","10","4","8","7","8","4"
"18","Femmine","6","3","6","2","5","1","3","7","3","5","4","4","4","7","4","1","1","3"
"18","Totale","8","6","7","5","7","9","6","16","11","10","16","13","14","11","12","8","9","7"
"19","Maschi","6","3","2","0","4","2","10","5","8","9","5","12","8","10","3","8","8","8"
"19","Femmine","4","6","3","6","4","5","2","5","5","3","5","4","4","4","6","4","1","1"
"19","Totale","10","9","5","6","8","7","12","10","13","12","10","16","12","14","9","12","9","9"
"20","Maschi","8","7","4","3","1","3","4","10","6","8","8","5","12","8","10","3","8","7"
