"Età","Sesso","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"0","Maschi","193","188","186","205","205","213","232","216","235","213","194","212","192","195","163","163","166","180"
"0","Femmine","199","166","177","209","206","195","221","204","195","200","203","191","174","184","198","169","148","148"
"0","Totale","392","354","363","414","411","408","453","420","430","413","397","403","366","379","361","332","314","328"
"1","Maschi","203","192","183","191","204","213","215","233","210","240","208","197","215","193","183","161","168","159"
"1","Femmine","204","197","169","177","209","215","197","215","207","199","199","200","199","170","182","199","172","149"
"1","Totale","407","389","352","368","413","428","412","448","417","439","407","397","414","363","365","360","340","308"
"2","Maschi","234","206","194","188","190","192","212","209","241","213","245","212","194","224","190","187","159","173"
"2","Femmine","191","203","195","175","184","214","216","194","217","207","203","209","201","195","170","181","195","174"
"2","Totale","425","409","389","363","374","406","428","403","458","420","448","421","395","419","360","368","354","347"
"3","Maschi","197","228","207","190","194","195","193","219","209","241","209","248","215","199","218","192","187","159"
"3","Femmine","191","196","200","190","183","185","214","215","196","219","208","211","215","198","198","171","185","181"
"3","Totale","388","424","407","380","377","380","407","434","405","460","417","459","430","397","416","363","372","340"
"4","Maschi","185","199","233","213","195","206","191","186","216","206","241","216","249","209","208","216","192","197"
"4","Femmine","201","193","197","200","192","183","186","207","214","194","218","213","217","211","193","195","168","187"
"4","Totale","386","392","430","413","387","389","377","393","430","400","459","429","466","420","401","411","360","384"
"5","Maschi","206","179","198","225","219","205","208","192","190","218","210","235","216","252","204","203","215","199"
"5","Femmine","183","204","194","193","210","193","183","188","213","214","198","219","218","219","214","197","188","167"
"5","Totale","389","383","392","418","429","398","391","380","403","432","408","454","434","471","418","400","403","366"
"6","Maschi","206","206","185","201","228","217","211","219","195","189","219","212","238","214","247","204","204","211"
"6","Femmine","178","186","205","197","198","210","199","187","189","216","220","199","217","211","216","215","193","194"
"6","Totale","384","392","390","398","426","427","410","406","384","405","439","411","455","425","463","419","397","405"
"7","Maschi","199","210","211","194","201","222","217","216","226","198","189","224","221","236","221","248","201","205"
"7","Femmine","192","178","185","201","203","206","213","204","193","196","223","216","209","219","212","210","215","193"
"7","Totale","391","388","396","395","404","428","430","420","419","394","412","440","430","455","433","458","416","398"
"8","Maschi","186","206","215","216","200","201","221","218","224","230","200","190","218","218","236","222","251","208"
"8","Femmine","180","194","181","187","205","202","208","216","199","200","202","229","214","213","215","213","207","216"
"8","Totale","366","400","396","403","405","403","429","434","423","430","402","419","432","431","451","435","458","424"
"9","Maschi","218","186","209","213","215","202","207","224","224","230","232","203","191","220","216","238","221","252"
"9","Femmine","181","188","192","178","190","204","202","208","217","202","206","207","236","216","216","211","211","207"
"9","Totale","399","374","401","391","405","406","409","432","441","432","438","410","427","436","432","449","432","459"
"10","Maschi","184","216","188","207","222","218","198","206","230","225","233","234","201","196","222","219","238","225"
"10","Femmine","190","183","191","198","184","190","201","208","211","221","206","211","212","234","220","219","217","210"
"10","Totale","374","399","379","405","406","408","399","414","441","446","439","445","413","430","442","438","455","435"
