"Età","Sesso","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"0","Maschi","153","182","174","190","211","205","212","185","200","204","199","224","191","207","183","172","190","152"
"0","Femmine","172","178","159","188","180","174","181","185","195","184","174","158","202","179","142","156","176","141"
"0","Totale","325","360","333","378","391","379","393","370","395","388","373","382","393","386","325","328","366","293"
"1","Maschi","199","166","175","174","185","207","202","214","189","192","201","208","222","194","201","192","167","193"
"1","Femmine","164","168","174","159","182","180","168","188","179","191","174","178","157","202","178","145","152","169"
"1","Totale","363","334","349","333","367","387","370","402","368","383","375","386","379","396","379","337","319","362"
"2","Maschi","219","201","169","175","171","184","208","211","202","192","199","205","206","223","195","199","192","169"
"2","Femmine","163","156","171","170","154","181","178","179","191","177","184","176","179","159","194","180","155","158"
"2","Totale","382","357","340","345","325","365","386","390","393","369","383","381","385","382","389","379","347","327"
"3","Maschi","178","218","205","176","177","177","173","217","212","202","191","207","196","200","220","196","206","192"
"3","Femmine","152","161","154","166","162","148","166","182","183","189","172","184","181","177","166","202","179","151"
"3","Totale","330","379","359","342","339","325","339","399","395","391","363","391","377","377","386","398","385","343"
"4","Maschi","181","182","211","204","170","172","184","169","216","211","200","188","212","195","192","216","205","211"
"4","Femmine","147","152","162","147","164","160","149","171","184","183","194","179","186","182","180","173","197","176"
"4","Totale","328","334","373","351","334","332","333","340","400","394","394","367","398","377","372","389","402","387"
"5","Maschi","189","183","179","207","194","165","173","189","172","211","214","198","190","202","197","205","211","201"
"5","Femmine","164","149","156","161","147","167","159","151","174","186","189","192","175","180","181","178","170","205"
"5","Totale","353","332","335","368","341","332","332","340","346","397","403","390","365","382","378","383","381","406"
"6","Maschi","150","184","186","176","207","193","166","176","184","180","216","217","206","192","208","202","204","213"
"6","Femmine","151","165","151","162","159","143","177","162","162","169","186","192","191","176","185","173","180","170"
"6","Totale","301","349","337","338","366","336","343","338","346","349","402","409","397","368","393","375","384","383"
"7","Maschi","162","146","187","185","178","202","194","174","181","188","178","214","207","208","196","213","209","203"
"7","Femmine","166","148","168","151","162","165","146","184","165","160","162","184","194","194","172","187","180","179"
"7","Totale","328","294","355","336","340","367","340","358","346","348","340","398","401","402","368","400","389","382"
"8","Maschi","165","160","147","182","184","181","203","192","169","180","193","183","215","214","211","199","219","214"
"8","Femmine","171","164","146","165","148","163","163","145","185","165","160","171","180","196","194","177","178","180"
"8","Totale","336","324","293","347","332","344","366","337","354","345","353","354","395","410","405","376","397","394"
"9","Maschi","162","164","155","151","183","186","188","206","192","168","184","199","178","215","218","214","206","225"
"9","Femmine","158","174","165","151","160","158","157","166","145","193","160","165","170","184","197","197","181","179"
"9","Totale","320","338","320","302","343","344","345","372","337","361","344","364","348","399","415","411","387","404"
"10","Maschi","156","164","164","158","150","180","190","194","211","191","167","192","199","177","211","222","209","210"
"10","Femmine","148","160","168","157","152","164","158","161","165","153","199","164","171","173","181","198","196","179"
"10","Totale","304","324","332","315","302","344","348","355","376","344","366","356","370","350","392","420","405","389"
"11","Maschi","138","156","164","163","152","145","178","198","191","208","195","168","195","206","180","220","232","216"
"11","Femmine","162","146","154","165","156","148","159","160","166","167","154","202","166","176","172","183","198","193"
"11","Totale","300","302","318","328","308","293","337","358","357","375","349","370","361","382","352","403","430","409"
"12","Maschi","145","135","159","167","164","155","148","186","203","193","206","203","174","202","207","179","222","234"
"12","Femmine","156","167","150","157","165","161","146","165","155","170","167","161","207","173","181","174","192","203"
"12","Totale","301","302","309","324","329","316","294","351","358","363","373","364","381","375","388","353","414","437"
"13","Maschi","132","146","132","167","166","160","163","149","193","204","187","207","205","169","199","211","181","225"
"13","Femmine","149","153","164","151","157","170","160","150","166","158","170","170","164","208","175","181","185","197"
"13","Totale","281","299","296","318","323","330","323","299","359","362","357","377","369","377","374","392","366","422"
"14","Maschi","147","133","145","142","166","170","161","170","154","197","200","188","215","211","170","200","210","188"
"14","Femmine","151","154","151","166","155","159","167","168","157","159","160","174","171","161","208","174","194","190"
"14","Totale","298","287","296","308","321","329","328","338","311","356","360","362","386","372","378","374","404","378"
"15","Maschi","157","148","132","144","141","170","171","168","174","157","204","206","187","214","219","175","205","211"
"15","Femmine","148","152","155","149","159","147","156","169","164","154","166","168","175","177","165","209","178","196"
"15","Totale","305","300","287","293","300","317","327","337","338","311","370","374","362","391","384","384","383","407"
"16","Maschi","154","161","148","137","141","146","176","178","168","182","160","212","207","193","212","227","175","204"
"16","Femmine","153","145","148","157","153","160","154","161","168","165","161","167","165","175","174","171","208","180"
"16","Totale","307","306","296","294","294","306","330","339","336","347","321","379","372","368","386","398","383","384"
"17","Maschi","145","151","157","142","140","143","151","193","181","177","177","171","208","208","194","218","234","182"
"17","Femmine","128","148","148","148","158","152","160","159","162","175","167","160","167","170","179","173","174","203"
"17","Totale","273","299","305","290","298","295","311","352","343","352","344","331","375","378","373","391","408","385"
"18","Maschi","168","137","145","157","149","149","145","156","201","190","184","187","177","207","213","206","222","236"
"18","Femmine","138","128","153","153","152","164","150","168","157","169","180","166","166","179","177","186","182","177"
"18","Totale","306","265","298","310","301","313","295","324","358","359","364","353","343","386","390","392","404","413"
"19","Maschi","160","165","141","148","161","152","153","152","154","198","196","191","191","182","208","211","217","232"
"19","Femmine","155","133","127","158","159","157","168","151","171","162","169","185","167","177","182","180","189","184"
"19","Totale","315","298","268","306","320","309","321","303","325","360","365","376","358","359","390","391","406","416"
"20","Maschi","166","157","156","149","149","166","149","164","148","155","189","212","198","197","173","221","213","230"
"20","Femmine","179","152","135","128","153","159","153","182","160","176","167","177","194","171","182","189","185","194"
"20","Totale","345","309","291","277","302","325","302","346","308","331","356","389","392","368","355","410","398","424"
"21","Maschi","179","173","167","163","140","150","173","153","173","158","155","208","213","195","197","177","236","224"
