"Età","Sesso","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"0","Maschi","265","253","303","285","289","269","256","253","260","285","275","245","271","253","287","258","271","240"
"0","Femmine","268","247","250","254","261","256","239","259","260","246","261","291","263","249","257","250","245","247"
"0","Totale","533","500","553","539","550","525","495","512","520","531","536","536","534","502","544","508","516","487"
"1","Maschi","268","264","253","291","262","277","255","251","255","251","266","270","248","277","251","268","257","263"
"1","Femmine","239","272","231","248","245","254","244","240","256","259","237","258","280","260","248","249","238","248"
"1","Totale","507","536","484","539","507","531","499","491","511","510","503","528","528","537","499","517","495","511"
"2","Maschi","257","265","267","256","288","247","258","256","252","265","244","268","279","242","273","252","271","254"
"2","Femmine","230","237","265","229","237","236","247","243","235","265","251","234","258","281","252","246","243","224"
"2","Totale","487","502","532","485","525","483","505","499","487","530","495","502","537","523","525","498","514","478"
"3","Maschi","234","262","264","265","256","285","237","258","257","257","256","235","274","280","256","258","243","263"
"3","Femmine","249","227","240","267","223","230","228","251","248","237","266","250","230","259","274","251","234","258"
"3","Totale","483","489","504","532","479","515","465","509","505","494","522","485","504","539","530","509","477","521"
"4","Maschi","250","231","267","272","258","246","282","240","259","246","257","264","238","291","278","258","253","250"
"4","Femmine","220","250","220","242","267","218","217","221","250","251","234","268","253","235","253","275","255","229"
"4","Totale","470","481","487","514","525","464","499","461","509","497","491","532","491","526","531","533","508","479"
"5","Maschi","234","249","235","272","267","258","243","281","246","260","232","252","276","246","294","288","259","260"
"5","Femmine","246","221","255","214","241","261","210","217","222","249","248","238","256","254","242","255","279","258"
"5","Totale","480","470","490","486","508","519","453","498","468","509","480","490","532","500","536","543","538","518"
"6","Maschi","236","240","246","235","263","259","257","250","286","255","260","237","244","277","247","284","283","257"
"6","Femmine","205","246","225","258","213","233","263","217","221","220","246","244","235","267","264","245","252","284"
"6","Totale","441","486","471","493","476","492","520","467","507","475","506","481","479","544","511","529","535","541"
"7","Maschi","281","237","240","246","232","258","265","266","247","288","248","263","242","248","276","251","291","286"
"7","Femmine","212","211","248","231","255","212","229","263","230","217","218","243","249","232","271","263","248","257"
"7","Totale","493","448","488","477","487","470","494","529","477","505","466","506","491","480","547","514","539","543"
"8","Maschi","229","283","239","242","245","234","251","269","270","247","284","241","260","244","251","280","252","291"
"8","Femmine","239","220","216","254","235","254","213","237","267","231","216","217","242","252","234","265","253","254"
"8","Totale","468","503","455","496","480","488","464","506","537","478","500","458","502","496","485","545","505","545"
