"Età","Sesso","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"0","Maschi","1","2","1","3","3","5","4","3","1","4","3","1","3","5","0","0","1","3"
"0","Femmine","4","3","5","6","2","2","1","1","1","4","6","6","5","2","5","5","3","3"
"0","Totale","5","5","6","9","5","7","5","4","2","8","9","7","8","7","5","5","4","6"
"1","Maschi","2","1","2","2","4","3","5","3","3","2","6","3","1","2","3","1","0","1"
"1","Femmine","4","3","3","5","6","2","1","1","1","0","4","6","6","5","1","4","5","3"
"1","Totale","6","4","5","7","10","5","6","4","4","2","10","9","7","7","4","5","5","4"
"2","Maschi","2","2","1","1","2","4","3","5","3","3","2","6","3","1","2","3","0","0"
"2","Femmine","2","5","2","3","5","6","2","1","1","1","1","4","6","6","5","1","4","5"
"2","Totale","4","7","3","4","7","10","5","6","4","4","3","10","9","7","7","4","4","5"
"3","Maschi","2","2","2","1","1","2","4","3","5","4","3","2","6","2","1","2","3","1"
"3","Femmine","5","2","5","2","4","4","5","2","1","2","3","1","4","4","6","5","1","5"
"3","Totale","7","4","7","3","5","6","9","5","6","6","6","3","10","6","7","7","4","6"
"4","Maschi","7","1","2","2","0","1","2","4","2","5","4","3","2","6","2","1","2","3"
"4","Femmine","2","3","2","5","2","4","3","5","2","1","5","2","1","4","4","6","4","2"
"4","Totale","9","4","4","7","2","5","5","9","4","6","9","5","3","10","6","7","6","5"
"5","Maschi","4","6","2","2","2","0","1","2","4","2","5","3","3","1","5","2","1","2"
"5","Femmine","1","2","3","3","5","2","5","3","5","2","1","5","2","1","4","5","7","4"
"5","Totale","5","8","5","5","7","2","6","5","9","4","6","8","5","2","9","7","8","6"
"6","Maschi","4","3","6","2","2","2","1","1","2","4","2","5","4","3","1","5","2","1"
"6","Femmine","2","1","2","3","3","5","1","4","4","5","2","1","6","2","1","5","3","6"
"6","Totale","6","4","8","5","5","7","2","5","6","9","4","6","10","5","2","10","5","7"
"7","Maschi","0","4","4","5","2","2","3","1","1","2","4","2","5","4","3","1","3","3"
"7","Femmine","4","3","1","3","3","3","5","1","4","4","3","2","1","6","2","1","5","2"
"7","Totale","4","7","5","8","5","5","8","2","5","6","7","4","6","10","5","2","8","5"
"8","Maschi","6","0","5","4","5","2","3","3","1","1","2","4","2","5","4","3","2","3"
"8","Femmine","0","4","3","2","4","3","3","5","1","4","4","3","2","1","6","3","1","5"
"8","Totale","6","4","8","6","9","5","6","8","2","5","6","7","4","6","10","6","3","8"
"9","Maschi","3","6","0","5","4","5","4","3","3","1","1","3","4","2","5","4","3","2"
"9","Femmine","1","0","5","3","2","4","3","3","5","1","4","5","3","2","1","5","2","1"
"9","Totale","4","6","5","8","6","9","7","6","8","2","5","8","7","4","6","9","5","3"
"10","Maschi","4","2","6","0","5","4","5","4","3","3","1","1","3","4","2","5","4","4"
"10","Femmine","1","1","1","5","2","2","5","3","3","5","3","4","5","3","2","1","5","2"
"10","Totale","5","3","7","5","7","6","10","7","6","8","4","5","8","7","4","6","9","6"
"11","Maschi","5","5","2","5","0","4","4","5","4","3","3","0","1","3","4","2","5","4"
"11","Femmine","3","1","1","1","5","2","2","5","3","3","5","3","4","5","3","2","1","5"
"11","Totale","8","6","3","6","5","6","6","10","7","6","8","3","5","8","7","4","6","9"
"12","Maschi","5","6","5","2","5","0","4","4","5","4","4","3","0","1","2","4","1","5"
"12","Femmine","0","3","1","1","1","5","2","2","5","3","3","4","2","4","5","3","2","1"
"12","Totale","5","9","6","3","6","5","6","6","10","7","7","7","2","5","7","7","3","6"
"13","Maschi","4","5","6","6","1","5","0","4","4","5","4","3","3","0","1","2","4","1"
"13","Femmine","4","0","2","1","1","1","5","2","2","5","3","3","4","2","4","3","3","2"
"13","Totale","8","5","8","7","2","6","5","6","6","10","7","6","7","2","5","5","7","3"
"14","Maschi","4","4","5","4","6","1","5","0","4","4","5","4","3","3","0","1","2","4"
