"Età","Sesso","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"0","Maschi","4","8","8","6","5","6","1","6","9","5","10","9","4","4","4","5","7","4"
"0","Femmine","13","7","8","7","7","8","9","4","6","5","5","8","2","6","4","0","0","3"
"0","Totale","17","15","16","13","12","14","10","10","15","10","15","17","6","10","8","5","7","7"
"1","Maschi","8","4","8","8","6","4","7","2","7","7","4","9","6","4","5","3","4","7"
"1","Femmine","8","13","7","5","7","9","11","11","6","6","4","3","9","2","7","2","0","0"
"1","Totale","16","17","15","13","13","13","18","13","13","13","8","12","15","6","12","5","4","7"
"2","Maschi","8","8","4","8","8","8","4","6","2","8","6","4","8","6","5","5","2","4"
"2","Femmine","13","10","14","7","8","5","8","11","10","7","6","5","3","7","2","7","3","0"
"2","Totale","21","18","18","15","16","13","12","17","12","15","12","9","11","13","7","12","5","4"
"3","Maschi","8","7","7","4","8","8","9","5","7","2","10","6","5","8","5","3","5","1"
"3","Femmine","6","12","12","15","7","7","4","8","11","11","8","6","5","3","8","2","7","3"
"3","Totale","14","19","19","19","15","15","13","13","18","13","18","12","10","11","13","5","12","4"
"4","Maschi","9","8","8","7","4","6","7","10","4","7","3","10","7","5","7","4","3","6"
"4","Femmine","12","6","9","8","14","8","4","4","9","10","10","8","6","5","4","7","2","6"
"4","Totale","21","14","17","15","18","14","11","14","13","17","13","18","13","10","11","11","5","12"
"5","Maschi","12","8","8","7","8","4","5","7","9","4","7","3","9","9","5","7","4","3"
"5","Femmine","14","11","6","9","7","13","6","5","4","7","13","9","9","8","5","4","7","2"
"5","Totale","26","19","14","16","15","17","11","12","13","11","20","12","18","17","10","11","11","5"
"6","Maschi","7","13","8","6","7","8","3","6","7","7","3","7","3","8","9","4","8","4"
"6","Femmine","8","15","11","6","8","5","12","6","5","4","7","12","9","7","8","5","5","7"
"6","Totale","15","28","19","12","15","13","15","12","12","11","10","19","12","15","17","9","13","11"
"7","Maschi","6","7","13","8","9","7","8","4","9","8","8","4","7","3","6","8","4","7"
"7","Femmine","8","8","13","11","6","8","5","14","5","5","4","7","12","8","7","7","5","5"
"7","Totale","14","15","26","19","15","15","13","18","14","13","12","11","19","11","13","15","9","12"
"8","Maschi","6","6","6","11","9","10","8","8","4","9","9","8","4","7","3","6","8","6"
