"Età","Sesso","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"0","Maschi","370","336","343","397","361","349","326","342","345","360","320","309","316","308","280","296","300","277"
"0","Femmine","334","322","318","346","310","350","319","326","291","305","302","316","330","313","308","277","257","235"
"0","Totale","704","658","661","743","671","699","645","668","636","665","622","625","646","621","588","573","557","512"
"1","Maschi","350","358","334","343","381","365","336","320","335","338","365","313","314","304","313","280","295","291"
"1","Femmine","323","330","317","326","335","314","341","300","315","276","277","301","316","330","316","302","277","254"
"1","Totale","673","688","651","669","716","679","677","620","650","614","642","614","630","634","629","582","572","545"
"2","Maschi","333","357","356","343","332","375","352","334","328","331","332","361","320","308","299","321","285","304"
"2","Femmine","364","313","334","326","319","358","314","332","301","300","280","278","303","311","328","322","307","278"
"2","Totale","697","670","690","669","651","733","666","666","629","631","612","639","623","619","627","643","592","582"
"3","Maschi","351","339","353","369","339","344","367","342","333","325","323","336","356","330","312","301","324","281"
"3","Femmine","308","352","309","336","329","308","357","309","332","301","289","278","303","303","306","323","320","302"
"3","Totale","659","691","662","705","668","652","724","651","665","626","612","614","659","633","618","624","644","583"
"4","Maschi","329","338","345","361","358","346","346","366","345","322","322","329","343","351","325","318","296","321"
"4","Femmine","331","313","355","314","327","322","295","352","308","341","296","296","285","300","305","305","325","319"
"4","Totale","660","651","700","675","685","668","641","718","653","663","618","625","628","651","630","623","621","640"
"5","Maschi","340","337","350","357","370","376","355","344","364","346","323","327","343","341","350","336","334","303"
"5","Femmine","307","328","323","356","330","343","328","296","344","299","339","299","305","284","306","296","298","321"
"5","Totale","647","665","673","713","700","719","683","640","708","645","662","626","648","625","656","632","632","624"
"6","Maschi","349","351","335","358","351","366","373","351","343","362","344","336","337","339","340","348","337","331"
"6","Femmine","304","307","338","330","355","332","341","334","292","334","294","344","304","317","286","300","306","303"
"6","Totale","653","658","673","688","706","698","714","685","635","696","638","680","641","656","626","648","643","634"
"7","Maschi","324","348","356","342","357","354","364","376","357","340","361","347","342","338","348","346","346","341"
"7","Femmine","334","308","316","343","332","367","334","337","341","290","321","286","342","310","318","292","302","305"
"7","Totale","658","656","672","685","689","721","698","713","698","630","682","633","684","648","666","638","648","646"
"8","Maschi","381","316","349","363","344","360","353","365","392","350","340","358","348","343","346","351","347","337"
"8","Femmine","303","340","312","322","347","336","368","334","335","350","291","319","292","341","320","323","295","300"
"8","Totale","684","656","661","685","691","696","721","699","727","700","631","677","640","684","666","674","642","637"
"9","Maschi","362","378","315","354","364","353","363","350","368","391","348","338","362","349","343","345","353","358"
"9","Femmine","330","301","346","312","328","348","339","370","329","329","351","292","317","299","337","326","338","293"
"9","Totale","692","679","661","666","692","701","702","720","697","720","699","630","679","648","680","671","691","651"
"10","Maschi","354","367","395","329","367","374","355","359","358","368","390","344","340","365","353","340","339","358"
"10","Femmine","328","331","304","351","309","338","347","344","367","328","324","364","291","324","313","335","327","338"
"10","Totale","682","698","699","680","676","712","702","703","725","696","714","708","631","689","666","675","666","696"
"11","Maschi","334","358","378","399","336","363","372","361","365","364","370","388","347","335","366","360","338","344"
"11","Femmine","356","327","333","300","347","319","334","353","344","360","335","329","362","293","337","328","343","321"
"11","Totale","690","685","711","699","683","682","706","714","709","724","705","717","709","628","703","688","681","665"
"12","Maschi","372","328","359","384","392","334","367","380","363","364","365","373","400","350","341","370","362","345"
"12","Femmine","344","360","338","340","294","360","320","338","361","344","365","343","330","367","301","338","337","342"
"12","Totale","716","688","697","724","686","694","687","718","724","708","730","716","730","717","642","708","699","687"
"13","Maschi","346","372","343","355","384","410","337","366","384","367","366","366","375","407","352","342","368","372"
"13","Femmine","316","345","364","343","345","304","362","322","345","365","345","372","341","334","366","306","339","340"
"13","Totale","662","717","707","698","729","714","699","688","729","732","711","738","716","741","718","648","707","712"
"14","Maschi","339","342","371","346","355","383","411","346","362","391","379","373","373","384","413","353","346","367"
"14","Femmine","340","318","358","365","341","353","305","368","319","350","369","351","377","339","342","365","308","345"
"14","Totale","679","660","729","711","696","736","716","714","681","741","748","724","750","723","755","718","654","712"
"15","Maschi","313","347","352","384","344","373","386","406","353","368","402","383","380","382","387","414","359","349"
"15","Femmine","301","334","322","358","366","340","356","312","364","317","352","374","355","377","349","343","366","309"
"15","Totale","614","681","674","742","710","713","742","718","717","685","754","757","735","759","736","757","725","658"
"16","Maschi","348","314","351","358","377","353","370","385","403","354","373","406","393","385","383","392","420","369"
"16","Femmine","356","293","335","322","363","375","345","359","318","360","328","350","389","361","386","354","344","368"
"16","Totale","704","607","686","680","740","728","715","744","721","714","701","756","782","746","769","746","764","737"
"17","Maschi","324","344","332","365","365","381","359","379","398","410","357","377","420","398","399","381","395","429"
"17","Femmine","311","353","299","338","317","361","372","351","365","316","361","331","360","388","364","380","354","351"
"17","Totale","635","697","631","703","682","742","731","730","763","726","718","708","780","786","763","761","749","780"
"18","Maschi","362","320","355","340","364","385","391","366","389","405","414","371","383","424","405","417","386","403"
"18","Femmine","344","309","359","299","334","333","362","383","352","372","329","370","341","352","389","364","374","353"
"18","Totale","706","629","714","639","698","718","753","749","741","777","743","741","724","776","794","781","760","756"
"19","Maschi","381","360","321","353","341","384","386","396","370","393","409","424","380","393","431","434","423","389"
"19","Femmine","391","338","326","379","297","344","337","369","388","365","376","340","372","346","360","394","378","384"
"19","Totale","772","698","647","732","638","728","723","765","758","758","785","764","752","739","791","828","801","773"
"20","Maschi","399","378","368","324","355","355","388","392","397","376","402","422","437","379","391","447","443","427"
"20","Femmine","352","388","350","334","375","321","354","340","369","400","368","382","349","381","353","366","389","383"
"20","Totale","751","766","718","658","730","676","742","732","766","776","770","804","786","760","744","813","832","810"
"21","Maschi","371","394","388","371","336","366","359","388","394","397","378","405","419","429","377","405","451","456"
"21","Femmine","379","342","393","352","329","388","325","367","340","380","405","376","389","355","382","357","372","399"
"21","Totale","750","736","781","723","665","754","684","755","734","777","783","781","808","784","759","762","823","855"
"22","Maschi","418","375","410","386","376","341","367","360","385","389","396","378","407","424","431","386","408","462"
"22","Femmine","376","377","352","404","354","333","399","339","363","352","377","404","372","400","351","383","372","388"
"22","Totale","794","752","762","790","730","674","766","699","748","741","773","782","779","824","782","769","780","850"
"23","Maschi","448","416","373","416","374","382","347","378","358","393","392","393","381","412","434","440","391","412"
"23","Femmine","466","374","402","373","410","373","346","414","350","384","361","380","408","384","397","349","393","376"
"23","Totale","914","790","775","789","784","755","693","792","708","777","753","773","789","796","831","789","784","788"
"24","Maschi","480","439","429","385","422","376","399","359","364","372","388","395","397","385","417","429","447","408"
"24","Femmine","442","458","386","410","363","406","375","358","415","355","379","367","384","425","389","393","357","393"
"24","Totale","922","897","815","795","785","782","774","717","779","727","767","762","781","810","806","822","804","801"
"25","Maschi","499","476","460","447","390","427","398","397","368","376","370","398","407","401","388","415","434","455"
"25","Femmine","478","433","462","398","402","377","410","374","354","426","349","381","371","392","434","379","397","364"
"25","Totale","977","909","922","845","792","804","808","771","722","802","719","779","778","793","822","794","831","819"
"26","Maschi","556","493","492","458","443","397","430","399","400","379","369","375","395","409","409","426","421","438"
"26","Femmine","555","477","458","470","408","421","391","406","371","380","427","350","388","367","399","436","382","408"
"26","Totale","1111","970","950","928","851","818","821","805","771","759","796","725","783","776","808","862","803","846"
"27","Maschi","579","547","508","512","466","447","396","429","393","419","383","372","375","396","435","441","424","444"
"27","Femmine","572","545","500","491","472","414","422","396","398","383","386","428","379","413","368","401","459","395"
"27","Totale","1151","1092","1008","1003","938","861","818","825","791","802","769","800","754","809","803","842","883","839"
"28","Maschi","559","569","544","520","499","492","436","404","419","399","405","393","388","387","400","467","471","436"
"28","Femmine","562","565","527","496","502","484","409","431","410","411","396","401","448","385","424","386","398","465"
"28","Totale","1121","1134","1071","1016","1001","976","845","835","829","810","801","794","836","772","824","853","869","901"
"29","Maschi","609","544","570","559","512","520","485","434","399","421","410","412","404","385","398","422","480","465"
"29","Femmine","602","555","567","536","486","521","479","400","436","411","402","398","394","454","388","425","400","420"
"29","Totale","1211","1099","1137","1095","998","1041","964","834","835","832","812","810","798","839","786","847","880","885"
"30","Maschi","651","608","552","575","544","520","513","467","453","398","423","418","418","426","395","420","432","495"
"30","Femmine","618","585","565","579","515","501","527","471","401","426","407","417","394","401","462","413","418","405"
"30","Totale","1269","1193","1117","1154","1059","1021","1040","938","854","824","830","835","812","827","857","833","850","900"
"31","Maschi","647","645","604","571","574","524","519","496","455","432","384","425","419","426","432","401","435","439"
"31","Femmine","608","587","578","569","563","539","509","523","469","405","430","402","432","390","403","457","393","438"
"31","Totale","1255","1232","1182","1140","1137","1063","1028","1019","924","837","814","827","851","816","835","858","828","877"
"32","Maschi","592","628","648","611","543","565","528","519","499","442","425","378","444","409","425","437","395","447"
"32","Femmine","704","602","612","604","552","563","541","491","495","449","403","419","405","421","392","392","449","406"
"32","Totale","1296","1230","1260","1215","1095","1128","1069","1010","994","891","828","797","849","830","817","829","844","853"
"33","Maschi","613","589","635","670","625","546","572","530","513","476","435","436","394","448","408","432","448","422"
"33","Femmine","592","700","619","630","593","575","558","542","478","481","451","403","429","413","427","402","385","449"
"33","Totale","1205","1289","1254","1300","1218","1121","1130","1072","991","957","886","839","823","861","835","834","833","871"
"34","Maschi","678","605","597","648","631","623","570","560","532","501","479","443","433","400","451","419","431","457"
"34","Femmine","677","586","696","610","615","624","565","563","538","461","469","446","413","431","414","425","423","395"
"34","Totale","1355","1191","1293","1258","1246","1247","1135","1123","1070","962","948","889","846","831","865","844","854","852"
"35","Maschi","681","664","609","593","631","631","617","565","545","512","492","478","454","430","410","442","428","444"
"35","Femmine","636","667","594","706","616","633","618","548","566","530","457","469","453","408","429","416","443","428"
"35","Totale","1317","1331","1203","1299","1247","1264","1235","1113","1111","1042","949","947","907","838","839","858","871","872"
"36","Maschi","680","666","669","617","585","623","624","600","561","526","512","503","468","463","437","413","429","427"
"36","Femmine","694","629","671","596","708","632","629","622","558","576","529","473","483","447","400","429","416","466"
"36","Totale","1374","1295","1340","1213","1293","1255","1253","1222","1119","1102","1041","976","951","910","837","842","845","893"
"37","Maschi","667","666","661","673","595","589","608","605","592","551","523","501","507","475","469","436","415","435"
"37","Femmine","705","697","642","681","587","711","620","620","610","547","592","539","472","483","446","400","431","433"
"37","Totale","1372","1363","1303","1354","1182","1300","1228","1225","1202","1098","1115","1040","979","958","915","836","846","868"
