;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
Busto Arsizio;;83679;83045;82754;82951
Ferno;;6736;6765;6685;6685
Gallarate;;54207;52787;52452;52811
Lonate Pozzolo;;11506;11483;11366;11364
Saronno;;38785;38755;38582;38442
Somma Lombardo;;17561;17785;17749;17767
Varese;;80724;79350;78740;78409
Cantù;;39790;39469;39382;39715
Como;;85543;84250;83361;83184
Erba;;15974;16208;16091;16148
Olgiate Comasco;;11667;11735;11780;11862
Bormio;;4160;4074;3990;3960
Chiavenna;;7293;7144;7235;7236
Morbegno;;12458;12237;12227;12230
Sondrio;;21477;21202;21192;21066
Arconate;;6649;6686;6758;6756
Arese;;19295;19463;19551;19514
Cassano d'Adda;;18762;19151;19194;19263
Cormano;;20348;20317;20327;20356
Corsico;;33669;34601;34438;34373
Cuggiono;;8188;8194;8138;8106
Inzago;;11258;11255;11245;11230
Lacchiarella;;8983;9060;9060;9055
Legnano;;59308;59855;59955;59941
Milano;;1406242;1374582;1349930;1354196
Motta Visconti;;8010;8053;8120;8126
Pioltello;;36437;36147;36202;36061
Trezzo sull'Adda;;12010;11981;11930;11951
Bergamo;;120783;119993;119476;119534
Casirate d'Adda;;4011;4057;4069;4055
Osio Sotto;;12560;12531;12487;12592
Brescia;;196340;197304;195906;196446
Darfo Boario Terme;;15688;15544;15546;15598
Gambara;;4656;4560;4549;4524
Lonato del Garda;;16622;16821;16827;16911
Ospitaletto;;14257;14620;14663;14694
Sarezzo;;13247;13199;13132;13129
Cornale e Bastida;;847;831;820;798
Ferrera Erbognone;;1091;1079;1065;1049
Mezzana Bigli;;1048;1026;1051;1046
Mortara;;15266;15395;15300;15360
Pavia;;71882;71122;70380;70636
Voghera;;39006;38435;38316;38637
Casalmaggiore;;15406;15022;14974;14974
Corte de' Cortesi con Cignone;;1075;1032;1061;1055
Crema;;34504;34210;33970;33786
Cremona;;72399;71223;70841;70637
Spinadesco;;1474;1495;1476;1449
Borgo Mantovano;;5481;5416;5319;5291
Magnacavallo;;1468;1446;1428;1394
Mantova;;48835;48755;48441;48653
Marmirolo;;7688;7673;7625;7645
Ponti sul Mincio;;2316;2336;2275;2295
Porto Mantovano;;16437;16481;16498;16614
Schivenoglia;;1127;1096;1090;1096
Viadana;;19713;19822;19781;19723
Colico;;7927;7970;7994;8074
Lecco;;48058;47454;46831;46871
Merate;;14492;14702;14661;14796
Moggio;;475;467;473;487
Nibionno;;3634;3660;3600;3571
Perledo;;895;878;864;848
Valmadrera;;11393;11210;11161;11131
Varenna;;743;741;725;693
Abbadia Cerreto;;275;282;275;279
Bertonico;;1073;1069;1071;1069
Lodi;;44928;44815;44716;44709
Montanaso Lombardo;;2252;2241;2234;2239
Agrate Brianza;;15244;15482;15505;15547
Carate Brianza;;17664;17824;17788;17817
Limbiate;;34319;34707;34809;34790
Meda;;23034;23324;23350;23388
Monza;;124840;122522;121984;121799
Vimercate;;25959;25941;25783;25876
;;;;;
;;;;;
;;;;;
;;;;;
