latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
46.502636,10.401283,1226.0,3600,Europe/Berlin,CET

time,temperature_2m_mean (°C),precipitation_sum (mm),precipitation_hours (h),wind_speed_10m_max (km/h),shortwave_radiation_sum (MJ/m²)
2023-10-21,8.8,0.50,5.0,9.1,9.95
2023-10-22,8.0,0.00,0.0,7.2,11.15
2023-10-23,7.9,0.30,3.0,12.0,8.79
2023-10-24,8.7,27.50,23.0,7.4,2.59
2023-10-25,7.5,-0.10,0.0,8.0,2.93
2023-10-26,8.1,1.80,11.0,8.2,2.10
2023-10-27,7.2,2.50,10.0,6.1,4.45
2023-10-28,5.6,0.50,1.0,10.5,4.02
2023-10-29,6.1,1.30,14.0,11.8,1.48
2023-10-30,9.0,31.50,16.0,12.2,1.42
2023-10-31,5.4,3.30,14.0,8.6,3.41
2023-11-01,4.0,0.50,4.0,10.5,2.82
2023-11-02,6.5,20.60,21.0,10.6,0.90
2023-11-03,1.2,1.80,15.0,8.8,2.83
2023-11-04,-0.4,8.60,9.0,9.8,2.34
