latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
46.199997,9.900009,293.0,3600,Europe/Berlin,CET

time,temperature_2m_mean (°C),precipitation_sum (mm),precipitation_hours (h),windspeed_10m_max (km/h)
2010-01-01,1.6,0.00,0.0,6.8
2010-01-02,-0.7,0.00,0.0,10.9
2010-01-03,-7.2,0.00,0.0,8.8
2010-01-04,-6.6,0.40,3.0,6.1
2010-01-05,-8.4,0.00,0.0,7.3
2010-01-06,-4.3,0.00,0.0,6.3
2010-01-07,-1.8,1.80,9.0,5.0
2010-01-08,1.3,11.50,24.0,6.9
2010-01-09,3.8,4.70,13.0,7.2
2010-01-10,3.3,2.30,12.0,4.7
2010-01-11,-1.2,0.00,0.0,5.7
2010-01-12,-2.4,0.00,0.0,4.6
2010-01-13,-2.3,0.00,0.0,5.0
2010-01-14,-0.3,0.10,1.0,4.8
2010-01-15,-2.8,0.00,0.0,7.2
2010-01-16,-5.3,0.00,0.0,7.1
2010-01-17,-0.7,1.20,6.0,8.0
2010-01-18,-4.4,0.00,0.0,7.5
2010-01-19,-5.6,0.00,0.0,7.3
2010-01-20,-5.4,0.00,0.0,7.4
2010-01-21,-2.5,0.00,0.0,8.0
2010-01-22,-4.8,0.00,0.0,9.8
2010-01-23,-2.9,0.00,0.0,8.4
2010-01-24,-2.7,0.00,0.0,5.4
2010-01-25,-1.1,0.00,0.0,4.2
2010-01-26,-2.1,0.00,0.0,6.4
2010-01-27,-3.2,0.00,0.0,7.7
2010-01-28,-0.5,0.00,0.0,8.8
2010-01-29,-1.9,1.20,5.0,8.3
2010-01-30,-0.9,0.10,1.0,7.7
2010-01-31,-4.8,0.10,1.0,8.4
2010-02-01,-8.0,0.00,0.0,9.2
2010-02-02,-5.3,0.00,0.0,7.2
2010-02-03,-2.2,0.00,0.0,6.0
2010-02-04,-0.8,0.00,0.0,4.8
2010-02-05,3.5,11.30,21.0,6.2
2010-02-06,6.2,1.00,4.0,8.3
2010-02-07,4.3,0.00,0.0,8.3
2010-02-08,-1.3,0.00,0.0,7.4
2010-02-09,-1.8,0.00,0.0,5.4
2010-02-10,-0.2,0.90,4.0,7.2
2010-02-11,-0.5,3.90,14.0,6.5
2010-02-12,-1.0,0.00,0.0,7.0
2010-02-13,-2.5,0.00,0.0,8.1
2010-02-14,-2.3,0.00,0.0,6.1
2010-02-15,-2.1,0.00,0.0,5.2
2010-02-16,0.4,0.00,0.0,4.4
2010-02-17,2.7,2.80,12.0,4.4
2010-02-18,7.1,2.40,8.0,4.7
2010-02-19,7.1,18.40,22.0,6.2
2010-02-20,3.6,2.30,10.0,7.6
2010-02-21,0.8,0.30,2.0,6.7
2010-02-22,3.8,2.70,9.0,4.8
2010-02-23,6.0,1.50,7.0,4.1
2010-02-24,6.5,0.00,0.0,5.2
2010-02-25,4.6,1.70,5.0,5.4
2010-02-26,6.9,8.90,17.0,7.3
2010-02-27,4.5,0.00,0.0,6.6
2010-02-28,5.6,6.00,19.0,5.7
2010-03-01,5.5,0.00,0.0,7.5
2010-03-02,6.6,0.00,0.0,6.6
2010-03-03,3.8,1.20,8.0,6.8
2010-03-04,6.0,2.10,10.0,7.2
2010-03-05,0.4,0.00,0.0,9.4
2010-03-06,-2.2,0.50,3.0,7.5
2010-03-07,-3.1,0.00,0.0,5.8
2010-03-08,-1.3,0.00,0.0,5.8
2010-03-09,-2.6,1.90,8.0,6.4
2010-03-10,1.9,6.90,24.0,6.7
2010-03-11,3.3,1.50,12.0,4.1
2010-03-12,3.0,0.00,0.0,5.7
2010-03-13,1.6,0.00,0.0,7.6
2010-03-14,2.7,0.00,0.0,8.7
2010-03-15,2.5,0.00,0.0,9.2
2010-03-16,3.0,0.00,0.0,8.7
2010-03-17,4.4,0.00,0.0,6.6
2010-03-18,7.7,0.00,0.0,5.0
2010-03-19,7.9,0.00,0.0,4.8
2010-03-20,8.1,0.00,0.0,4.8
2010-03-21,9.7,1.00,5.0,4.1
2010-03-22,10.8,1.10,4.0,4.8
2010-03-23,11.3,1.10,5.0,3.3
2010-03-24,9.9,0.30,3.0,4.8
2010-03-25,10.1,1.20,5.0,5.4
2010-03-26,9.2,32.00,22.0,7.2
2010-03-27,8.3,0.00,0.0,5.7
2010-03-28,9.2,0.00,0.0,6.2
2010-03-29,9.4,0.60,3.0,5.0
2010-03-30,9.1,11.50,19.0,6.9
2010-03-31,8.6,1.70,3.0,5.8
2010-04-01,5.4,10.30,11.0,7.3
2010-04-02,3.2,0.00,0.0,7.4
2010-04-03,5.5,6.80,11.0,6.0
2010-04-04,7.2,20.60,24.0,6.7
2010-04-05,7.2,0.00,0.0,9.4
2010-04-06,8.2,0.00,0.0,7.1
2010-04-07,10.0,0.00,0.0,4.6
2010-04-08,11.3,0.00,0.0,4.3
2010-04-09,13.2,0.00,0.0,4.6
2010-04-10,12.1,0.00,0.0,7.8
2010-04-11,8.3,2.60,6.0,6.6
2010-04-12,6.0,0.30,2.0,3.8
2010-04-13,6.8,0.00,0.0,4.2
2010-04-14,8.5,0.00,0.0,5.9
2010-04-15,8.6,0.10,1.0,4.7
2010-04-16,9.4,0.00,0.0,5.5
2010-04-17,10.7,0.90,4.0,5.4
2010-04-18,9.5,3.50,14.0,4.4
2010-04-19,11.4,0.00,0.0,6.9
2010-04-20,11.0,0.60,2.0,4.8
2010-04-21,12.0,0.00,0.0,6.5
2010-04-22,11.6,0.00,0.0,5.2
2010-04-23,12.1,0.20,2.0,3.9
2010-04-24,13.3,0.00,0.0,4.3
2010-04-25,13.7,1.30,1.0,5.6
2010-04-26,14.0,1.70,3.0,4.8
2010-04-27,13.5,0.40,3.0,4.9
2010-04-28,15.0,0.00,0.0,7.4
2010-04-29,16.3,0.00,0.0,5.4
2010-04-30,15.9,0.20,1.0,6.0
2010-05-01,14.5,4.60,14.0,6.3
2010-05-02,13.3,19.60,24.0,5.8
2010-05-03,12.7,24.40,23.0,5.2
2010-05-04,12.5,17.90,23.0,5.6
2010-05-05,12.0,26.90,24.0,7.0
2010-05-06,10.2,3.80,13.0,5.8
2010-05-07,10.4,3.10,11.0,6.0
2010-05-08,11.4,4.90,12.0,5.6
2010-05-09,10.7,8.70,13.0,6.5
2010-05-10,12.6,5.80,19.0,4.7
2010-05-11,13.1,6.20,16.0,5.1
2010-05-12,13.3,4.90,12.0,5.1
2010-05-13,12.5,6.50,14.0,4.4
2010-05-14,11.5,4.90,16.0,5.5
2010-05-15,11.9,0.00,0.0,8.7
2010-05-16,11.2,0.00,0.0,9.1
2010-05-17,12.4,0.00,0.0,8.4
2010-05-18,12.7,0.00,0.0,8.3
2010-05-19,12.4,0.20,1.0,7.6
2010-05-20,15.2,0.50,3.0,7.1
2010-05-21,17.2,0.40,3.0,6.2
2010-05-22,18.1,0.80,4.0,5.4
2010-05-23,19.0,0.00,0.0,4.2
2010-05-24,19.6,0.00,0.0,6.1
2010-05-25,20.2,1.40,3.0,8.2
2010-05-26,18.4,7.60,13.0,7.6
2010-05-27,16.0,6.10,12.0,4.0
2010-05-28,16.0,3.60,10.0,7.0
2010-05-29,17.0,4.90,9.0,4.7
2010-05-30,17.2,6.80,16.0,5.7
2010-05-31,15.4,2.80,10.0,11.4
2010-06-01,15.9,0.00,0.0,8.3
2010-06-02,16.4,0.20,2.0,10.4
2010-06-03,18.2,0.80,4.0,9.4
2010-06-04,21.2,0.30,2.0,5.9
2010-06-05,21.1,1.10,7.0,6.2
2010-06-06,22.0,0.50,3.0,6.6
2010-06-07,20.3,7.70,13.0,5.7
2010-06-08,20.4,2.90,11.0,6.8
2010-06-09,20.7,1.80,9.0,8.0
2010-06-10,22.3,0.10,1.0,8.3
