latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
45.5,9.199997,136.0,3600,Europe/Berlin,CET

time,temperature_2m_mean (°C),precipitation_sum (mm),precipitation_hours (h),windspeed_10m_max (km/h)
2010-01-01,2.8,0.00,0.0,8.4
2010-01-02,1.2,0.00,0.0,31.2
2010-01-03,-0.7,0.00,0.0,15.8
2010-01-04,-0.6,0.70,4.0,5.4
2010-01-05,-0.3,0.00,0.0,6.2
2010-01-06,1.2,0.00,0.0,4.5
2010-01-07,1.8,1.40,5.0,10.0
2010-01-08,1.5,28.40,24.0,10.2
2010-01-09,2.5,18.80,19.0,10.8
2010-01-10,2.7,3.30,8.0,11.9
2010-01-11,1.1,0.00,0.0,5.4
2010-01-12,1.9,0.20,2.0,6.1
2010-01-13,2.2,2.00,12.0,6.8
2010-01-14,2.4,0.40,3.0,6.5
2010-01-15,2.3,0.00,0.0,6.9
2010-01-16,1.3,0.00,0.0,7.2
2010-01-17,1.6,0.00,0.0,5.4
2010-01-18,0.9,0.00,0.0,4.5
2010-01-19,-0.2,0.00,0.0,6.2
2010-01-20,0.2,0.00,0.0,4.7
2010-01-21,0.4,0.00,0.0,7.1
2010-01-22,-0.3,0.00,0.0,5.9
2010-01-23,0.8,0.00,0.0,6.5
2010-01-24,0.3,0.00,0.0,8.0
2010-01-25,0.3,0.00,0.0,6.0
2010-01-26,0.6,0.20,2.0,8.1
2010-01-27,0.2,0.00,0.0,7.2
2010-01-28,1.0,0.00,0.0,11.6
2010-01-29,0.2,1.50,5.0,9.3
2010-01-30,0.5,0.00,0.0,15.1
2010-01-31,0.2,1.20,5.0,17.7
2010-02-01,-1.3,0.00,0.0,9.4
2010-02-02,-0.2,0.00,0.0,8.3
2010-02-03,0.7,0.00,0.0,8.4
2010-02-04,2.1,0.10,1.0,4.7
2010-02-05,2.4,29.40,24.0,11.3
2010-02-06,2.9,1.50,3.0,8.7
2010-02-07,1.7,0.00,0.0,6.2
2010-02-08,1.7,0.00,0.0,8.4
